Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,3.940000,3.990000,3.870000,3.920000,3.920000,222200
2016-01-05,3.950000,3.990000,3.890000,3.910000,3.910000,127900
2016-01-06,3.930000,3.930000,3.700000,3.730000,3.730000,380000
2016-01-07,3.650000,3.720000,3.510000,3.570000,3.570000,345200
2016-01-08,3.580000,3.650000,3.470000,3.510000,3.510000,296800
2016-01-11,3.550000,3.560000,3.280000,3.320000,3.320000,310900
2016-01-12,3.400000,3.490000,3.260000,3.370000,3.370000,270800
2016-01-13,3.370000,3.450000,2.950000,2.970000,2.970000,527700
2016-01-14,2.910000,3.060000,2.910000,2.950000,2.950000,527900
2016-01-15,2.880000,2.930000,2.650000,2.930000,2.930000,329800
2016-01-19,2.810000,3.000000,2.770000,2.820000,2.820000,221700
2016-01-20,2.780000,2.990000,2.680000,2.930000,2.930000,278000
2016-01-21,3.310000,3.500000,3.150000,3.420000,3.420000,719200
2016-01-22,3.500000,3.580000,3.420000,3.580000,3.580000,319100
2016-01-25,3.580000,3.640000,3.450000,3.470000,3.470000,251200
2016-01-26,3.500000,3.550000,3.330000,3.520000,3.520000,219800
2016-01-27,3.520000,3.520000,3.270000,3.280000,3.280000,268900
2016-01-28,3.300000,3.370000,3.210000,3.340000,3.340000,152700
2016-01-29,3.380000,3.500000,3.230000,3.350000,3.350000,191900
2016-02-01,3.340000,3.380000,3.150000,3.300000,3.300000,109500
2016-02-02,3.270000,3.290000,3.150000,3.220000,3.220000,148900
2016-02-03,3.240000,3.240000,2.980000,3.070000,3.070000,219500
2016-02-04,3.070000,3.280000,3.070000,3.180000,3.180000,118900
2016-02-05,3.180000,3.180000,3.010000,3.020000,3.020000,164200
2016-02-08,2.980000,3.000000,2.760000,2.820000,2.820000,391000
2016-02-09,2.790000,2.980000,2.720000,2.920000,2.920000,199400
2016-02-10,2.930000,3.120000,2.850000,2.890000,2.890000,206700
2016-02-11,2.820000,2.950000,2.780000,2.920000,2.920000,159200
2016-02-12,2.970000,3.100000,2.810000,3.100000,3.100000,199000
2016-02-16,3.130000,3.200000,3.080000,3.140000,3.140000,231600
2016-02-17,3.170000,3.290000,3.120000,3.280000,3.280000,130700
2016-02-18,3.240000,3.350000,2.990000,3.030000,3.030000,697000
2016-02-19,3.030000,3.290000,2.970000,3.230000,3.230000,233700
2016-02-22,3.300000,3.360000,3.160000,3.200000,3.200000,166000
2016-02-23,3.170000,3.280000,3.060000,3.080000,3.080000,176000
2016-02-24,3.060000,3.150000,2.960000,3.120000,3.120000,90400
2016-02-25,3.100000,3.200000,3.010000,3.090000,3.090000,91000
2016-02-26,3.080000,3.150000,3.020000,3.050000,3.050000,237900
2016-02-29,3.080000,3.160000,3.010000,3.010000,3.010000,119300
2016-03-01,3.050000,3.110000,2.980000,3.090000,3.090000,170200
2016-03-02,3.080000,3.300000,3.040000,3.270000,3.270000,260700
2016-03-03,3.240000,3.300000,3.110000,3.290000,3.290000,264300
2016-03-04,3.310000,3.580000,3.230000,3.380000,3.380000,265300
2016-03-07,3.390000,3.800000,3.390000,3.780000,3.780000,250700
2016-03-08,3.770000,3.770000,3.500000,3.530000,3.530000,234100
2016-03-09,3.570000,3.590000,3.410000,3.560000,3.560000,98400
2016-03-10,3.570000,3.660000,3.410000,3.430000,3.430000,99600
2016-03-11,3.470000,3.600000,3.350000,3.550000,3.550000,117600
2016-03-14,3.520000,3.660000,3.480000,3.590000,3.590000,107900
2016-03-15,3.520000,3.570000,3.330000,3.350000,3.350000,187300
2016-03-16,3.330000,3.460000,3.260000,3.320000,3.320000,93500
2016-03-17,3.310000,3.480000,3.090000,3.200000,3.200000,228100
2016-03-18,3.220000,3.330000,3.170000,3.290000,3.290000,284800
2016-03-21,3.290000,3.410000,3.280000,3.370000,3.370000,139800
2016-03-22,3.360000,3.500000,3.270000,3.450000,3.450000,116400
2016-03-23,3.410000,3.500000,3.100000,3.130000,3.130000,176800
2016-03-24,3.140000,3.290000,3.030000,3.190000,3.190000,71000
2016-03-28,3.190000,3.190000,3.070000,3.130000,3.130000,124500
2016-03-29,3.080000,3.300000,3.060000,3.300000,3.300000,225900
2016-03-30,3.340000,3.410000,3.260000,3.300000,3.300000,154700
2016-03-31,3.300000,3.360000,3.090000,3.100000,3.100000,496700
2016-04-01,3.100000,3.340000,3.100000,3.270000,3.270000,179700
2016-04-04,3.240000,3.390000,3.210000,3.360000,3.360000,139100
2016-04-05,3.320000,3.340000,3.200000,3.210000,3.210000,124800
2016-04-06,3.220000,3.480000,3.220000,3.470000,3.470000,247500
2016-04-07,3.470000,3.480000,3.320000,3.380000,3.380000,148800
2016-04-08,3.430000,3.460000,3.300000,3.360000,3.360000,143900
2016-04-11,3.370000,3.480000,3.370000,3.390000,3.390000,66400
2016-04-12,3.420000,3.630000,3.350000,3.530000,3.530000,177500
2016-04-13,3.570000,3.950000,3.460000,3.830000,3.830000,449800
2016-04-14,3.860000,3.980000,3.690000,3.880000,3.880000,219000
2016-04-15,3.870000,3.970000,3.850000,3.960000,3.960000,101800
2016-04-18,3.980000,3.990000,3.860000,3.920000,3.920000,96300
2016-04-19,3.900000,3.980000,3.770000,3.870000,3.870000,177700
2016-04-20,3.940000,4.140000,3.820000,4.050000,4.050000,137900
2016-04-21,4.090000,4.330000,3.960000,4.100000,4.100000,352500
2016-04-22,4.070000,4.180000,4.040000,4.120000,4.120000,136100
2016-04-25,4.120000,4.170000,4.010000,4.140000,4.140000,92100
2016-04-26,4.110000,4.140000,4.000000,4.110000,4.110000,93700
2016-04-27,4.080000,4.190000,4.020000,4.080000,4.080000,95800
2016-04-28,4.030000,4.190000,4.010000,4.070000,4.070000,84900
2016-04-29,4.050000,4.150000,3.800000,3.900000,3.900000,590900
2016-05-02,3.890000,3.950000,3.750000,3.900000,3.900000,150500
2016-05-03,3.840000,3.900000,3.740000,3.770000,3.770000,143100
2016-05-04,3.610000,3.690000,3.430000,3.500000,3.500000,253600
2016-05-05,3.490000,3.490000,3.330000,3.350000,3.350000,190100
2016-05-06,3.340000,3.430000,3.280000,3.300000,3.300000,317400
2016-05-09,3.300000,3.700000,3.300000,3.470000,3.470000,274800
2016-05-10,3.530000,3.640000,3.450000,3.510000,3.510000,119400
2016-05-11,3.510000,3.600000,3.360000,3.370000,3.370000,128600
2016-05-12,3.400000,3.490000,3.250000,3.300000,3.300000,175200
2016-05-13,3.360000,3.440000,3.340000,3.420000,3.420000,151900
2016-05-16,3.440000,3.530000,3.390000,3.480000,3.480000,79500
2016-05-17,3.520000,3.520000,3.360000,3.480000,3.480000,187200
2016-05-18,3.460000,3.530000,3.460000,3.510000,3.510000,71400
2016-05-19,3.490000,3.550000,3.420000,3.470000,3.470000,93500
2016-05-20,3.500000,3.550000,3.480000,3.550000,3.550000,113400
2016-05-23,3.550000,3.720000,3.510000,3.600000,3.600000,115300
2016-05-24,3.640000,3.780000,3.600000,3.770000,3.770000,122300
2016-05-25,3.780000,3.940000,3.770000,3.870000,3.870000,133600
2016-05-26,3.870000,3.980000,3.770000,3.770000,3.770000,54800
2016-05-27,3.770000,3.950000,3.770000,3.840000,3.840000,121800
2016-05-31,3.840000,3.970000,3.840000,3.920000,3.920000,98500
2016-06-01,3.900000,4.000000,3.840000,3.970000,3.970000,112500
2016-06-02,3.980000,4.130000,3.960000,4.130000,4.130000,146300
2016-06-03,4.090000,4.120000,3.950000,4.070000,4.070000,92400
2016-06-06,4.110000,4.110000,3.970000,4.060000,4.060000,329100
2016-06-07,4.040000,4.120000,4.020000,4.090000,4.090000,127100
2016-06-08,4.080000,4.150000,4.000000,4.110000,4.110000,113300
2016-06-09,4.090000,4.140000,4.000000,4.100000,4.100000,128700
2016-06-10,4.060000,4.060000,3.950000,3.950000,3.950000,175900
2016-06-13,3.910000,4.020000,3.760000,3.780000,3.780000,146700
2016-06-14,3.780000,3.840000,3.630000,3.720000,3.720000,103300
2016-06-15,3.720000,3.760000,3.610000,3.640000,3.640000,140100
2016-06-16,3.630000,3.770000,3.560000,3.680000,3.680000,139800
2016-06-17,3.700000,3.700000,3.330000,3.400000,3.400000,520400
2016-06-20,3.460000,3.630000,3.320000,3.420000,3.420000,203700
2016-06-21,3.420000,3.530000,3.200000,3.310000,3.310000,200000
2016-06-22,3.310000,3.470000,3.260000,3.320000,3.320000,88100
2016-06-23,3.370000,3.530000,3.290000,3.520000,3.520000,143900
