Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.200000,2.200000,2.150000,2.200000,2.200000,14800
2010-01-05,2.200000,2.200000,2.170000,2.200000,2.200000,2400
2010-01-06,2.150000,2.200000,2.100000,2.100000,2.100000,3400
2010-01-07,2.100000,2.110000,2.100000,2.110000,2.110000,400
2010-01-08,2.110000,2.150000,2.000000,2.050000,2.050000,7400
2010-01-11,2.050000,2.180000,2.050000,2.180000,2.180000,2200
2010-01-12,2.180000,2.180000,2.060000,2.060000,2.060000,4400
2010-01-13,2.180000,2.180000,2.120000,2.180000,2.180000,7200
2010-01-14,2.000000,2.050000,2.000000,2.050000,2.050000,1600
2010-01-15,2.050000,2.150000,2.050000,2.090000,2.090000,14600
2010-01-19,2.180000,2.300000,2.090000,2.300000,2.300000,15700
2010-01-20,2.300000,2.300000,2.210000,2.210000,2.210000,13200
2010-01-21,2.200000,2.210000,2.140000,2.140000,2.140000,2500
2010-01-22,2.210000,2.500000,2.200000,2.200000,2.200000,20800
2010-01-25,2.210000,2.320000,1.980000,1.980000,1.980000,63700
2010-01-26,2.100000,2.250000,2.100000,2.160000,2.160000,17500
2010-01-27,2.190000,2.190000,2.120000,2.120000,2.120000,4800
2010-01-28,2.120000,2.120000,2.020000,2.020000,2.020000,2500
2010-01-29,2.020000,2.120000,2.020000,2.110000,2.110000,4300
2010-02-01,2.120000,2.130000,2.020000,2.120000,2.120000,6600
2010-02-02,2.020000,2.120000,2.020000,2.120000,2.120000,1100
2010-02-03,2.050000,2.120000,2.050000,2.070000,2.070000,6100
2010-02-04,2.120000,2.150000,2.070000,2.150000,2.150000,17400
2010-02-05,2.150000,2.200000,2.070000,2.200000,2.200000,20900
2010-02-08,2.300000,2.310000,2.100000,2.110000,2.110000,37400
2010-02-09,2.120000,2.120000,2.100000,2.100000,2.100000,2900
2010-02-10,2.100000,2.120000,2.100000,2.100000,2.100000,10600
2010-02-11,2.250000,2.250000,2.120000,2.120000,2.120000,6200
2010-02-12,2.120000,2.150000,2.100000,2.150000,2.150000,2700
2010-02-16,2.100000,2.410000,2.100000,2.410000,2.410000,129900
2010-02-17,2.400000,2.530000,2.370000,2.530000,2.530000,196000
2010-02-18,2.560000,2.620000,2.410000,2.590000,2.590000,122500
2010-02-19,2.620000,2.640000,2.500000,2.580000,2.580000,50400
2010-02-22,2.500000,2.620000,2.500000,2.620000,2.620000,23400
2010-02-23,2.620000,2.630000,2.530000,2.600000,2.600000,9100
2010-02-24,2.620000,2.620000,2.540000,2.540000,2.540000,9600
2010-02-25,2.550000,2.590000,2.530000,2.590000,2.590000,8100
2010-02-26,2.630000,2.630000,2.520000,2.550000,2.550000,13300
2010-03-01,2.540000,2.550000,2.540000,2.550000,2.550000,3300
2010-03-02,2.520000,2.520000,2.500000,2.510000,2.510000,16400
2010-03-03,2.600000,3.000000,2.600000,2.880000,2.880000,357600
2010-03-04,2.930000,2.950000,2.890000,2.930000,2.930000,108200
2010-03-05,2.930000,2.970000,2.700000,2.830000,2.830000,68300
2010-03-08,2.650000,2.830000,2.540000,2.570000,2.570000,62800
2010-03-09,2.500000,2.970000,2.500000,2.960000,2.960000,122800
2010-03-10,2.970000,3.200000,2.960000,3.190000,3.190000,160000
2010-03-11,3.170000,3.190000,2.980000,3.070000,3.070000,74600
2010-03-12,3.060000,3.210000,3.060000,3.210000,3.210000,33800
2010-03-15,3.110000,3.110000,3.010000,3.050000,3.050000,6300
2010-03-16,3.180000,3.210000,3.090000,3.210000,3.210000,23200
2010-03-17,3.190000,3.310000,3.190000,3.240000,3.240000,42400
2010-03-18,3.260000,3.310000,3.190000,3.260000,3.260000,20500
2010-03-19,3.100000,3.180000,3.010000,3.100000,3.100000,39200
2010-03-22,3.270000,3.310000,3.060000,3.120000,3.120000,22600
2010-03-23,3.010000,3.160000,3.010000,3.150000,3.150000,42000
2010-03-24,3.150000,3.170000,3.050000,3.070000,3.070000,51200
2010-03-25,3.170000,3.180000,3.100000,3.150000,3.150000,13300
2010-03-26,3.100000,3.170000,3.100000,3.100000,3.100000,13200
2010-03-29,3.150000,3.170000,3.100000,3.100000,3.100000,20700
2010-03-30,3.140000,3.140000,3.050000,3.140000,3.140000,50600
2010-03-31,3.080000,3.140000,3.080000,3.140000,3.140000,16700
2010-04-01,3.140000,3.160000,3.050000,3.050000,3.050000,15000
2010-04-05,3.100000,3.160000,3.080000,3.100000,3.100000,5700
2010-04-06,3.160000,3.160000,3.100000,3.140000,3.140000,5800
2010-04-07,3.160000,3.170000,3.140000,3.140000,3.140000,19800
2010-04-08,3.170000,3.180000,3.150000,3.180000,3.180000,51300
2010-04-09,3.200000,3.200000,3.140000,3.150000,3.150000,17400
2010-04-12,3.200000,3.210000,3.150000,3.150000,3.150000,6700
2010-04-13,3.140000,3.140000,3.050000,3.060000,3.060000,24900
2010-04-14,3.100000,3.100000,3.010000,3.010000,3.010000,16800
2010-04-15,3.020000,3.050000,2.950000,3.000000,3.000000,22100
2010-04-16,3.000000,3.100000,2.970000,2.980000,2.980000,19400
2010-04-19,3.000000,3.000000,2.830000,2.830000,2.830000,25800
2010-04-20,2.900000,2.920000,2.800000,2.810000,2.810000,19100
2010-04-21,2.810000,2.810000,2.750000,2.750000,2.750000,22600
2010-04-22,2.750000,2.800000,2.710000,2.710000,2.710000,13200
2010-04-23,2.870000,2.870000,2.610000,2.700000,2.700000,27600
2010-04-26,2.700000,2.720000,2.300000,2.600000,2.600000,66000
2010-04-27,2.550000,2.690000,2.500000,2.550000,2.550000,14200
2010-04-28,2.500000,3.000000,2.300000,2.350000,2.350000,33700
2010-04-29,2.400000,2.600000,2.400000,2.600000,2.600000,8600
2010-04-30,2.600000,2.700000,2.600000,2.600000,2.600000,4700
2010-05-03,2.600000,2.700000,2.600000,2.700000,2.700000,46800
2010-05-04,2.700000,3.020000,2.700000,3.010000,3.010000,42000
2010-05-05,3.010000,3.040000,2.950000,3.000000,3.000000,14000
2010-05-06,2.950000,3.000000,2.650000,2.650000,2.650000,11200
2010-05-07,2.700000,3.030000,2.650000,2.750000,2.750000,12100
2010-05-10,2.760000,2.900000,2.650000,2.650000,2.650000,10100
2010-05-11,2.750000,2.900000,2.600000,2.900000,2.900000,24500
2010-05-12,2.850000,2.890000,2.500000,2.700000,2.700000,121700
2010-05-13,2.600000,2.700000,2.600000,2.600000,2.600000,7300
2010-05-14,2.550000,2.850000,2.500000,2.800000,2.800000,175000
