Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.300000,4.300000,4.300000,4.300000,4.300000,300
2010-01-05,4.300000,4.300000,4.300000,4.300000,4.300000,100
2010-01-06,4.300000,4.300000,4.300000,4.300000,4.300000,0
2010-01-07,4.300000,4.300000,3.500000,4.300000,4.300000,300
2010-01-08,4.300000,4.300000,4.300000,4.300000,4.300000,0
2010-01-11,4.300000,4.300000,4.300000,4.300000,4.300000,0
2010-01-12,4.300000,4.300000,4.300000,4.300000,4.300000,0
2010-01-13,4.200000,4.200000,4.100000,4.100000,4.100000,1500
2010-01-14,4.100000,4.100000,4.100000,4.100000,4.100000,100
2010-01-15,4.100000,4.100000,4.100000,4.100000,4.100000,0
2010-01-19,4.100000,4.100000,4.100000,4.100000,4.100000,0
2010-01-20,4.100000,4.100000,4.100000,4.100000,4.100000,0
2010-01-21,4.100000,4.100000,4.100000,4.100000,4.100000,0
2010-01-22,3.700000,3.700000,3.700000,3.700000,3.700000,100
2010-01-25,3.400000,3.400000,3.400000,3.400000,3.400000,1500
2010-01-26,3.400000,3.400000,3.400000,3.400000,3.400000,100
2010-01-27,3.000000,3.500000,3.000000,3.500000,3.500000,500
2010-01-28,3.500000,3.500000,3.500000,3.500000,3.500000,100
2010-01-29,3.500000,3.500000,3.500000,3.500000,3.500000,0
2010-02-01,3.500000,3.500000,3.500000,3.500000,3.500000,0
2010-02-02,3.500000,3.500000,3.500000,3.500000,3.500000,0
2010-02-03,3.900000,3.900000,3.900000,3.900000,3.900000,100
2010-02-04,3.900000,3.900000,3.900000,3.900000,3.900000,0
2010-02-05,3.900000,3.900000,3.900000,3.900000,3.900000,0
2010-02-08,3.500000,3.500000,3.500000,3.500000,3.500000,900
2010-02-09,3.500000,3.500000,3.500000,3.500000,3.500000,0
2010-02-10,3.500000,3.500000,3.500000,3.500000,3.500000,0
2010-02-11,3.500000,3.500000,3.500000,3.500000,3.500000,0
2010-02-12,3.500000,3.500000,3.500000,3.500000,3.500000,0
2010-02-16,3.500000,3.500000,3.500000,3.500000,3.500000,0
2010-02-17,3.500000,3.500000,3.500000,3.500000,3.500000,0
2010-02-18,3.500000,3.500000,3.500000,3.500000,3.500000,600
2010-02-19,3.700000,3.700000,3.700000,3.700000,3.700000,1000
2010-02-22,3.900000,3.900000,3.900000,3.900000,3.900000,0
2010-02-23,3.500000,3.500000,3.500000,3.500000,3.500000,100
2010-02-24,3.500000,3.500000,3.400000,3.400000,3.400000,1500
2010-02-25,3.400000,3.400000,3.400000,3.400000,3.400000,100
2010-02-26,3.400000,3.600000,3.400000,3.600000,3.600000,3000
2010-03-01,3.600000,3.600000,2.500000,2.500000,2.500000,1500
2010-03-02,3.000000,3.200000,2.700000,3.200000,3.200000,5400
2010-03-03,4.000000,4.200000,3.700000,4.200000,4.200000,4000
2010-03-04,3.500000,3.500000,3.500000,3.500000,3.500000,300
2010-03-05,3.500000,3.500000,3.500000,3.500000,3.500000,200
2010-03-08,4.700000,4.700000,4.700000,4.700000,4.700000,0
2010-03-09,4.700000,4.700000,4.700000,4.700000,4.700000,0
2010-03-10,3.000000,3.500000,3.000000,3.500000,3.500000,300
2010-03-11,4.700000,4.700000,4.200000,4.200000,4.200000,900
2010-03-12,4.200000,5.000000,4.000000,5.000000,5.000000,9900
2010-03-15,5.000000,7.100000,4.300000,6.000000,6.000000,22300
2010-03-16,6.000000,6.000000,5.500000,5.500000,5.500000,800
2010-03-17,5.500000,6.000000,4.500000,5.100000,5.100000,2500
2010-03-18,5.100000,5.100000,4.500000,4.500000,4.500000,7000
2010-03-19,5.100000,5.100000,5.100000,5.100000,5.100000,100
2010-03-22,5.100000,5.100000,5.100000,5.100000,5.100000,0
2010-03-23,5.100000,5.100000,5.100000,5.100000,5.100000,0
2010-03-24,5.100000,5.100000,5.000000,5.000000,5.000000,1000
2010-03-25,5.000000,5.000000,5.000000,5.000000,5.000000,0
2010-03-26,5.100000,5.100000,4.500000,5.100000,5.100000,1200
2010-03-29,5.000000,5.000000,4.800000,4.800000,4.800000,2900
2010-03-30,4.600000,4.700000,4.300000,4.700000,4.700000,2700
2010-03-31,4.600000,4.600000,4.600000,4.600000,4.600000,800
2010-04-01,4.700000,4.700000,4.700000,4.700000,4.700000,0
2010-04-05,4.700000,4.700000,4.700000,4.700000,4.700000,200
2010-04-06,4.500000,4.700000,4.500000,4.700000,4.700000,400
2010-04-07,4.200000,4.700000,4.200000,4.700000,4.700000,300
2010-04-08,4.700000,4.700000,4.700000,4.700000,4.700000,0
2010-04-09,4.500000,4.700000,4.500000,4.700000,4.700000,200
2010-04-12,4.700000,4.800000,4.700000,4.800000,4.800000,1100
2010-04-13,4.600000,4.600000,4.600000,4.600000,4.600000,1200
2010-04-14,4.600000,4.600000,4.600000,4.600000,4.600000,0
2010-04-15,4.100000,4.500000,4.100000,4.400000,4.400000,0
2010-04-16,4.500000,4.600000,4.100000,4.600000,4.600000,1100
2010-04-19,4.600000,4.600000,4.600000,4.600000,4.600000,400
2010-04-20,4.600000,4.600000,4.500000,4.500000,4.500000,600
2010-04-21,4.500000,4.600000,4.500000,4.600000,4.600000,700
2010-04-22,4.600000,4.600000,4.600000,4.600000,4.600000,0
2010-04-23,4.500000,4.600000,4.500000,4.600000,4.600000,2200
2010-04-26,4.600000,4.600000,4.500000,4.500000,4.500000,800
2010-04-27,3.900000,4.500000,3.900000,4.500000,4.500000,200
2010-04-28,4.500000,4.500000,4.100000,4.100000,4.100000,2600
2010-04-29,4.500000,4.500000,4.400000,4.400000,4.400000,500
2010-04-30,4.400000,4.400000,4.400000,4.400000,4.400000,1100
2010-05-03,3.800000,4.400000,3.800000,4.400000,4.400000,1800
2010-05-04,3.800000,4.400000,3.800000,4.400000,4.400000,200
2010-05-05,4.400000,4.400000,4.300000,4.300000,4.300000,1500
2010-05-06,3.600000,4.300000,3.600000,4.300000,4.300000,900
2010-05-07,4.400000,4.500000,4.000000,4.200000,4.200000,5500
2010-05-10,4.200000,4.200000,4.200000,4.200000,4.200000,0
2010-05-11,4.300000,4.300000,3.300000,3.300000,3.300000,1500
2010-05-12,3.500000,4.300000,3.500000,4.300000,4.300000,0
2010-05-13,4.300000,4.500000,4.300000,4.500000,4.500000,900
2010-05-14,4.500000,4.500000,4.500000,4.500000,4.500000,0
2010-05-17,4.500000,4.500000,4.500000,4.500000,4.500000,0
2010-05-18,4.500000,4.500000,4.500000,4.500000,4.500000,0
2010-05-19,4.500000,4.500000,4.500000,4.500000,4.500000,0
2010-05-20,4.400000,4.400000,4.400000,4.400000,4.400000,100
2010-05-21,4.300000,4.400000,4.300000,4.300000,4.300000,700
2010-05-24,4.300000,4.300000,4.300000,4.300000,4.300000,0
2010-05-25,4.400000,4.500000,4.300000,4.300000,4.300000,4100
2010-05-26,4.200000,4.200000,4.200000,4.200000,4.200000,300
2010-05-27,4.600000,4.600000,4.300000,4.300000,4.300000,4600
2010-05-28,4.500000,4.600000,4.500000,4.600000,4.600000,200
2010-06-01,5.000000,5.000000,4.600000,4.600000,4.600000,3900
2010-06-02,4.600000,4.600000,4.600000,4.600000,4.600000,0
2010-06-03,4.500000,4.600000,4.400000,4.400000,4.400000,3700
2010-06-04,4.600000,4.600000,4.300000,4.300000,4.300000,800
2010-06-07,4.500000,4.500000,4.500000,4.500000,4.500000,500
2010-06-08,4.500000,4.500000,4.500000,4.500000,4.500000,300
2010-06-09,4.500000,4.700000,4.500000,4.700000,4.700000,600
2010-06-10,4.700000,4.700000,4.500000,4.500000,4.500000,1500
2010-06-11,4.500000,4.500000,4.500000,4.500000,4.500000,0
2010-06-14,4.500000,4.500000,4.500000,4.500000,4.500000,0
2010-06-15,4.500000,4.500000,4.500000,4.500000,4.500000,100
2010-06-16,4.300000,4.300000,4.300000,4.300000,4.300000,0
2010-06-17,4.300000,4.300000,4.300000,4.300000,4.300000,700
2010-06-18,4.000000,4.000000,4.000000,4.000000,4.000000,200
2010-06-21,4.000000,4.000000,4.000000,4.000000,4.000000,0
2010-06-22,4.300000,4.300000,4.300000,4.300000,4.300000,600
2010-06-23,4.300000,4.300000,4.300000,4.300000,4.300000,500
2010-06-24,4.400000,4.400000,4.400000,4.400000,4.400000,300
2010-06-25,4.300000,4.300000,4.000000,4.000000,4.000000,1500
2010-06-28,4.000000,4.000000,4.000000,4.000000,4.000000,0
2010-06-29,4.000000,4.000000,4.000000,4.000000,4.000000,100
2010-06-30,4.200000,4.200000,4.000000,4.000000,4.000000,800
2010-07-01,4.000000,4.000000,4.000000,4.000000,4.000000,0
2010-07-02,4.000000,4.000000,4.000000,4.000000,4.000000,200
2010-07-06,3.500000,4.000000,3.500000,4.000000,4.000000,100
2010-07-07,4.000000,4.000000,4.000000,4.000000,4.000000,600
2010-07-08,4.000000,4.000000,4.000000,4.000000,4.000000,0
2010-07-09,4.000000,4.000000,4.000000,4.000000,4.000000,1300
2010-07-12,4.000000,4.000000,4.000000,4.000000,4.000000,0
2010-07-13,3.500000,3.600000,3.500000,3.600000,3.600000,700
2010-07-14,3.800000,3.800000,3.800000,3.800000,3.800000,500
2010-07-15,3.700000,3.700000,3.700000,3.700000,3.700000,500
2010-07-16,3.800000,3.800000,3.800000,3.800000,3.800000,500
2010-07-19,3.900000,4.000000,3.900000,3.900000,3.900000,4700
2010-07-20,3.900000,3.900000,3.800000,3.800000,3.800000,1100
2010-07-21,3.500000,3.500000,3.500000,3.500000,3.500000,500
2010-07-22,3.500000,3.500000,3.500000,3.500000,3.500000,400
2010-07-23,3.900000,4.000000,3.900000,4.000000,4.000000,1200
2010-07-26,4.000000,4.000000,4.000000,4.000000,4.000000,0
2010-07-27,4.000000,4.000000,4.000000,4.000000,4.000000,0
2010-07-28,4.000000,4.000000,4.000000,4.000000,4.000000,0
2010-07-29,3.800000,3.800000,3.800000,3.800000,3.800000,500
2010-07-30,4.000000,4.300000,4.000000,4.300000,4.300000,1100
2010-08-02,3.800000,3.800000,3.800000,3.800000,3.800000,0
2010-08-03,4.000000,4.000000,4.000000,4.000000,4.000000,1200
2010-08-04,4.000000,4.000000,4.000000,4.000000,4.000000,0
2010-08-05,4.000000,4.000000,4.000000,4.000000,4.000000,0
2010-08-06,4.000000,4.000000,4.000000,4.000000,4.000000,500
2010-08-09,4.200000,4.200000,4.200000,4.200000,4.200000,200
2010-08-10,4.300000,4.300000,4.100000,4.100000,4.100000,1200
2010-08-11,4.100000,4.100000,4.000000,4.000000,4.000000,900
2010-08-12,4.100000,4.100000,4.000000,4.000000,4.000000,1000
2010-08-13,4.100000,4.100000,4.100000,4.100000,4.100000,200
2010-08-16,3.900000,3.900000,3.900000,3.900000,3.900000,500
2010-08-17,3.900000,4.200000,3.900000,4.200000,4.200000,2200
2010-08-18,4.200000,4.200000,4.200000,4.200000,4.200000,0
2010-08-19,4.200000,4.200000,4.200000,4.200000,4.200000,200
2010-08-20,4.200000,4.200000,4.200000,4.200000,4.200000,0
2010-08-23,4.000000,4.000000,4.000000,4.000000,4.000000,0
2010-08-24,3.700000,4.200000,3.700000,4.200000,4.200000,1500
2010-08-25,4.200000,4.200000,4.200000,4.200000,4.200000,0
2010-08-26,4.300000,4.300000,4.100000,4.100000,4.100000,500
2010-08-27,4.100000,4.500000,4.100000,4.500000,4.500000,1100
2010-08-30,4.500000,4.500000,4.500000,4.500000,4.500000,0
2010-08-31,4.500000,4.500000,4.200000,4.200000,4.200000,1500
2010-09-01,4.000000,4.000000,4.000000,4.000000,4.000000,1100
2010-09-02,4.000000,4.000000,4.000000,4.000000,4.000000,2300
2010-09-03,3.900000,3.900000,3.900000,3.900000,3.900000,1000
2010-09-07,3.900000,3.900000,3.900000,3.900000,3.900000,1000
2010-09-08,3.900000,3.900000,3.900000,3.900000,3.900000,500
2010-09-09,4.000000,4.000000,4.000000,4.000000,4.000000,400
2010-09-10,3.900000,4.100000,3.900000,4.100000,4.100000,1400
2010-09-13,4.000000,4.000000,3.900000,4.000000,4.000000,2400
2010-09-14,4.000000,4.000000,3.900000,4.000000,4.000000,5000
2010-09-15,4.000000,4.100000,4.000000,4.000000,4.000000,2600
2010-09-16,4.000000,4.000000,4.000000,4.000000,4.000000,1600
2010-09-17,3.900000,3.900000,3.900000,3.900000,3.900000,1000
2010-09-20,3.900000,3.900000,3.900000,3.900000,3.900000,600
2010-09-21,3.900000,3.900000,3.900000,3.900000,3.900000,600
