Date,Open,High,Low,Close,Adj Close,Volume
2010-04-22,13.000000,13.800000,12.620000,13.260000,13.260000,3331300
2010-04-23,13.380000,14.200000,13.280000,14.040000,14.040000,324800
2010-04-26,14.500000,14.860000,14.200000,14.450000,14.450000,235900
2010-04-27,14.230000,14.980000,14.120000,14.300000,14.300000,109600
2010-04-28,14.160000,14.740000,13.870000,13.880000,13.880000,94000
2010-04-29,13.560000,14.240000,13.050000,13.500000,13.500000,188400
2010-04-30,13.630000,14.020000,13.260000,13.620000,13.620000,94400
2010-05-03,14.090000,14.500000,13.710000,14.110000,14.110000,36900
2010-05-04,14.000000,14.060000,13.270000,13.700000,13.700000,54800
2010-05-05,13.440000,13.900000,13.250000,13.400000,13.400000,33100
2010-05-06,13.410000,13.550000,13.000000,13.110000,13.110000,61300
2010-05-07,13.150000,13.850000,13.000000,13.200000,13.200000,17000
2010-05-10,13.860000,13.950000,13.120000,13.760000,13.760000,35700
2010-05-11,13.760000,13.760000,13.400000,13.630000,13.630000,18600
2010-05-12,13.420000,13.420000,13.000000,13.040000,13.040000,101200
2010-05-13,13.010000,13.480000,13.000000,13.020000,13.020000,138600
2010-05-14,13.000000,13.150000,12.980000,13.030000,13.030000,220000
2010-05-17,13.210000,13.270000,12.980000,13.030000,13.030000,260100
2010-05-18,13.180000,13.400000,13.000000,13.000000,13.000000,114000
2010-05-19,13.050000,13.120000,12.750000,12.780000,12.780000,270000
2010-05-20,12.500000,12.970000,12.500000,12.910000,12.910000,160600
2010-05-21,12.840000,13.090000,12.750000,13.000000,13.000000,137900
2010-05-24,13.000000,13.190000,12.720000,12.930000,12.930000,28400
2010-05-25,12.700000,12.910000,12.500000,12.640000,12.640000,20200
2010-05-26,12.800000,12.990000,11.250000,11.400000,11.400000,129800
2010-05-27,11.670000,11.840000,10.590000,10.880000,10.880000,124000
2010-05-28,10.890000,10.890000,10.200000,10.340000,10.340000,206200
2010-06-01,10.320000,10.940000,10.110000,10.800000,10.800000,77400
2010-06-02,10.820000,10.820000,10.320000,10.580000,10.580000,12600
2010-06-03,10.520000,10.970000,10.400000,10.720000,10.720000,21000
2010-06-04,10.600000,10.930000,10.340000,10.640000,10.640000,40000
2010-06-07,10.750000,10.750000,9.800000,9.840000,9.840000,39800
2010-06-08,9.940000,10.560000,9.770000,9.970000,9.970000,32600
2010-06-09,10.150000,10.810000,9.780000,9.790000,9.790000,19000
2010-06-10,10.040000,10.280000,9.550000,10.030000,10.030000,69400
2010-06-11,10.000000,10.150000,9.150000,10.010000,10.010000,81000
2010-06-14,10.020000,10.370000,9.800000,10.030000,10.030000,20400
2010-06-15,10.030000,10.280000,9.820000,10.150000,10.150000,14700
2010-06-16,10.150000,10.970000,10.110000,10.560000,10.560000,41600
2010-06-17,10.540000,10.940000,10.210000,10.280000,10.280000,18800
2010-06-18,10.240000,10.360000,9.450000,9.500000,9.500000,32600
2010-06-21,9.550000,10.780000,9.430000,10.410000,10.410000,183900
2010-06-22,10.370000,10.680000,9.830000,10.250000,10.250000,96200
2010-06-23,10.300000,10.430000,9.950000,9.980000,9.980000,41800
2010-06-24,9.990000,10.550000,9.960000,10.080000,10.080000,126000
2010-06-25,10.260000,10.260000,8.860000,9.000000,9.000000,930000
2010-06-28,9.010000,9.040000,8.700000,8.900000,8.900000,43000
2010-06-29,8.840000,9.000000,8.650000,8.690000,8.690000,100600
2010-06-30,8.720000,9.100000,8.720000,8.760000,8.760000,14800
2010-07-01,8.820000,9.190000,8.490000,8.500000,8.500000,88300
2010-07-02,8.550000,8.550000,7.810000,7.870000,7.870000,90600
2010-07-06,7.920000,8.520000,7.090000,7.250000,7.250000,317400
2010-07-07,7.240000,7.510000,6.880000,7.110000,7.110000,292200
2010-07-08,7.230000,7.500000,6.910000,7.240000,7.240000,238600
2010-07-09,7.220000,7.450000,7.220000,7.400000,7.400000,40300
2010-07-12,7.430000,7.430000,7.300000,7.320000,7.320000,44300
2010-07-13,7.400000,8.590000,7.390000,8.440000,8.440000,78800
2010-07-14,8.940000,10.130000,8.640000,9.700000,9.700000,211600
2010-07-15,9.700000,9.860000,9.300000,9.650000,9.650000,142100
2010-07-16,9.670000,9.940000,9.350000,9.660000,9.660000,65400
2010-07-19,9.830000,9.830000,9.430000,9.690000,9.690000,37300
2010-07-20,9.690000,9.820000,9.460000,9.620000,9.620000,30700
2010-07-21,9.660000,10.220000,9.660000,9.770000,9.770000,28400
2010-07-22,9.910000,9.910000,9.260000,9.490000,9.490000,97800
2010-07-23,9.430000,9.440000,9.050000,9.420000,9.420000,68100
