Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.070000,5.250000,4.660000,4.770000,4.770000,3385100
2010-01-05,4.700000,4.720000,4.490000,4.590000,4.590000,1173500
2010-01-06,4.530000,4.890000,4.500000,4.640000,4.640000,1553100
2010-01-07,4.740000,4.860000,4.530000,4.570000,4.570000,678600
2010-01-08,4.610000,4.620000,4.420000,4.590000,4.590000,581400
2010-01-11,4.680000,4.940000,4.610000,4.680000,4.680000,1051400
2010-01-12,4.600000,4.800000,4.550000,4.720000,4.720000,624400
2010-01-13,4.710000,4.750000,4.560000,4.630000,4.630000,378600
2010-01-14,4.650000,4.770000,4.620000,4.640000,4.640000,264000
2010-01-15,4.680000,4.710000,4.560000,4.620000,4.620000,255200
2010-01-19,4.720000,4.750000,4.590000,4.670000,4.670000,419500
2010-01-20,4.650000,4.660000,4.590000,4.600000,4.600000,164500
2010-01-21,4.720000,4.740000,4.420000,4.440000,4.440000,546800
2010-01-22,4.460000,4.580000,4.380000,4.420000,4.420000,430700
2010-01-25,4.440000,4.450000,4.150000,4.180000,4.180000,500700
2010-01-26,4.140000,4.190000,3.990000,4.000000,4.000000,397500
2010-01-27,4.000000,4.000000,3.800000,4.000000,4.000000,415700
2010-01-28,3.980000,4.140000,3.920000,3.920000,3.920000,166400
2010-01-29,3.950000,4.040000,3.820000,3.920000,3.920000,225800
2010-02-01,3.920000,3.980000,3.810000,3.950000,3.950000,193100
2010-02-02,4.510000,4.700000,4.310000,4.670000,4.670000,2066500
2010-02-03,4.680000,4.720000,4.310000,4.410000,4.410000,597400
2010-02-04,4.360000,4.400000,4.000000,4.080000,4.080000,540700
2010-02-05,4.060000,4.240000,3.970000,4.130000,4.130000,376800
2010-02-08,4.230000,4.230000,4.030000,4.100000,4.100000,220600
2010-02-09,4.350000,4.450000,4.200000,4.450000,4.450000,530000
2010-02-10,4.440000,4.590000,4.250000,4.420000,4.420000,291100
2010-02-11,4.370000,4.500000,4.250000,4.300000,4.300000,313300
2010-02-12,4.340000,4.390000,4.250000,4.360000,4.360000,162400
2010-02-16,4.480000,4.500000,4.300000,4.350000,4.350000,353700
2010-02-17,4.390000,4.490000,4.320000,4.490000,4.490000,186800
2010-02-18,4.480000,4.560000,4.430000,4.530000,4.530000,169700
2010-02-19,4.520000,4.520000,4.380000,4.490000,4.490000,124200
2010-02-22,4.500000,4.820000,4.490000,4.770000,4.770000,665600
2010-02-23,4.790000,4.810000,4.420000,4.580000,4.580000,256400
2010-02-24,4.620000,4.670000,4.470000,4.520000,4.520000,161100
2010-02-25,4.410000,4.500000,4.300000,4.420000,4.420000,122000
2010-02-26,4.390000,4.470000,4.360000,4.400000,4.400000,101500
2010-03-01,4.500000,4.650000,4.500000,4.560000,4.560000,196300
2010-03-02,4.700000,4.860000,4.670000,4.770000,4.770000,334200
2010-03-03,4.850000,4.940000,4.750000,4.900000,4.900000,234100
2010-03-04,4.940000,4.980000,4.880000,4.920000,4.920000,240200
2010-03-05,4.960000,4.990000,4.900000,4.960000,4.960000,184300
2010-03-08,4.910000,5.000000,4.730000,5.000000,5.000000,203500
2010-03-09,5.000000,5.000000,4.830000,4.850000,4.850000,163600
2010-03-10,4.910000,4.960000,4.790000,4.870000,4.870000,152700
2010-03-11,4.850000,4.890000,4.650000,4.850000,4.850000,123500
2010-03-12,4.850000,5.120000,4.850000,4.970000,4.970000,833000
2010-03-15,5.070000,5.100000,4.800000,4.930000,4.930000,246300
2010-03-16,5.300000,5.320000,5.030000,5.110000,5.110000,799300
2010-03-17,5.120000,5.250000,5.000000,5.160000,5.160000,372100
2010-03-18,5.100000,5.160000,5.050000,5.100000,5.100000,260200
2010-03-19,5.090000,5.090000,4.710000,4.870000,4.870000,396500
2010-03-22,4.770000,4.900000,4.760000,4.870000,4.870000,140200
2010-03-23,4.840000,5.080000,4.830000,5.020000,5.020000,349800
2010-03-24,5.000000,5.240000,4.920000,5.170000,5.170000,276100
2010-03-25,5.150000,5.200000,5.020000,5.050000,5.050000,131500
2010-03-26,5.110000,5.150000,4.890000,4.960000,4.960000,192400
2010-03-29,4.990000,5.000000,4.850000,4.900000,4.900000,139100
2010-03-30,4.890000,4.930000,4.840000,4.900000,4.900000,79300
2010-03-31,4.900000,4.920000,4.850000,4.900000,4.900000,70900
2010-04-01,4.990000,5.100000,4.910000,5.020000,5.020000,213800
2010-04-05,5.100000,5.250000,4.980000,5.250000,5.250000,324700
2010-04-06,5.270000,5.300000,5.150000,5.240000,5.240000,205800
2010-04-07,5.240000,5.240000,5.020000,5.080000,5.080000,155400
2010-04-08,5.060000,5.100000,4.930000,5.070000,5.070000,92200
2010-04-09,5.170000,5.170000,4.920000,4.960000,4.960000,211800
2010-04-12,4.990000,4.990000,4.850000,4.860000,4.860000,313300
2010-04-13,4.900000,4.950000,4.770000,4.800000,4.800000,138600
2010-04-14,4.850000,4.940000,4.780000,4.880000,4.880000,83400
2010-04-15,4.880000,4.880000,4.780000,4.840000,4.840000,49000
2010-04-16,4.840000,4.900000,4.770000,4.770000,4.770000,97100
2010-04-19,4.770000,4.830000,4.510000,4.510000,4.510000,365700
2010-04-20,4.660000,4.760000,4.510000,4.630000,4.630000,94200
2010-04-21,4.700000,4.780000,4.520000,4.740000,4.740000,104200
2010-04-22,4.900000,5.070000,4.870000,4.940000,4.940000,151700
2010-04-23,5.020000,5.020000,4.850000,4.900000,4.900000,100900
2010-04-26,4.970000,4.980000,4.780000,4.810000,4.810000,92700
2010-04-27,4.850000,4.890000,4.590000,4.660000,4.660000,114900
2010-04-28,4.700000,4.850000,4.590000,4.850000,4.850000,102100
2010-04-29,4.870000,4.870000,4.610000,4.660000,4.660000,128200
2010-04-30,4.690000,4.830000,4.680000,4.780000,4.780000,105700
2010-05-03,4.850000,4.880000,4.770000,4.810000,4.810000,86900
2010-05-04,4.700000,4.830000,4.610000,4.610000,4.610000,180900
2010-05-05,4.580000,4.730000,4.470000,4.650000,4.650000,163800
2010-05-06,4.580000,4.600000,4.100000,4.250000,4.250000,290300
2010-05-07,4.320000,4.390000,4.150000,4.280000,4.280000,143500
2010-05-10,4.510000,4.530000,4.330000,4.410000,4.410000,71300
2010-05-11,4.590000,4.760000,4.590000,4.700000,4.700000,185000
2010-05-12,4.770000,4.830000,4.650000,4.780000,4.780000,124500
2010-05-13,4.750000,4.810000,4.660000,4.700000,4.700000,81900
2010-05-14,4.700000,4.700000,4.500000,4.610000,4.610000,65500
2010-05-17,4.610000,4.610000,4.400000,4.540000,4.540000,147400
2010-05-18,4.600000,4.600000,4.400000,4.430000,4.430000,95400
2010-05-19,4.420000,4.560000,4.420000,4.460000,4.460000,142500
2010-05-20,4.420000,4.430000,4.200000,4.260000,4.260000,259600
2010-05-21,4.260000,4.440000,4.180000,4.210000,4.210000,145200
2010-05-24,4.200000,4.300000,4.130000,4.200000,4.200000,133700
2010-05-25,4.090000,4.130000,3.900000,4.100000,4.100000,234600
2010-05-26,4.300000,4.320000,4.090000,4.110000,4.110000,117500
2010-05-27,4.250000,4.320000,4.150000,4.310000,4.310000,39000
2010-05-28,4.280000,4.290000,4.150000,4.270000,4.270000,56700
2010-06-01,4.120000,4.150000,4.040000,4.040000,4.040000,123300
2010-06-02,4.050000,4.180000,4.050000,4.140000,4.140000,39800
2010-06-03,4.150000,4.190000,4.060000,4.130000,4.130000,58300
2010-06-04,4.050000,4.120000,4.030000,4.050000,4.050000,122700
2010-06-07,4.050000,4.070000,3.900000,3.900000,3.900000,169000
2010-06-08,3.890000,3.890000,3.700000,3.830000,3.830000,157100
2010-06-09,3.900000,4.010000,3.790000,3.880000,3.880000,66700
2010-06-10,3.990000,3.990000,3.840000,3.920000,3.920000,57600
2010-06-11,3.960000,3.970000,3.870000,3.950000,3.950000,46700
2010-06-14,4.000000,4.140000,3.950000,4.050000,4.050000,70800
2010-06-15,4.050000,4.100000,3.950000,4.050000,4.050000,93500
2010-06-16,4.080000,4.080000,3.970000,4.020000,4.020000,41700
2010-06-17,4.020000,4.080000,3.920000,3.980000,3.980000,78000
2010-06-18,3.850000,4.070000,3.850000,4.000000,4.000000,43000
2010-06-21,4.070000,4.070000,3.880000,3.960000,3.960000,44500
2010-06-22,3.940000,3.960000,3.860000,3.860000,3.860000,56000
2010-06-23,3.850000,3.890000,3.750000,3.890000,3.890000,67100
2010-06-24,3.790000,3.830000,3.780000,3.810000,3.810000,35100
2010-06-25,3.750000,3.880000,3.750000,3.820000,3.820000,29300
2010-06-28,3.820000,3.820000,3.670000,3.700000,3.700000,127000
2010-06-29,3.580000,3.610000,3.420000,3.430000,3.430000,242700
2010-06-30,3.390000,3.450000,3.260000,3.330000,3.330000,132900
2010-07-01,3.420000,3.500000,3.110000,3.430000,3.430000,204200
2010-07-02,3.430000,3.490000,3.340000,3.380000,3.380000,144400
2010-07-06,3.380000,3.450000,3.230000,3.280000,3.280000,105400
2010-07-07,3.150000,3.230000,3.040000,3.150000,3.150000,345300
2010-07-08,3.210000,3.210000,3.100000,3.170000,3.170000,95300
2010-07-09,3.160000,3.410000,3.160000,3.360000,3.360000,149800
2010-07-12,3.370000,3.810000,3.370000,3.750000,3.750000,290100
2010-07-13,3.750000,3.970000,3.750000,3.880000,3.880000,184800
2010-07-14,3.850000,3.910000,3.780000,3.800000,3.800000,50600
2010-07-15,3.760000,3.760000,3.550000,3.710000,3.710000,84100
2010-07-16,3.720000,3.850000,3.540000,3.590000,3.590000,66500
2010-07-19,3.560000,3.590000,3.460000,3.470000,3.470000,49500
2010-07-20,3.460000,3.580000,3.420000,3.570000,3.570000,42300
2010-07-21,3.540000,3.910000,3.530000,3.690000,3.690000,84600
2010-07-22,3.700000,3.880000,3.600000,3.660000,3.660000,60300
2010-07-23,3.720000,3.880000,3.660000,3.860000,3.860000,51600
2010-07-26,3.870000,4.070000,3.680000,3.930000,3.930000,98900
2010-07-27,4.000000,4.230000,3.900000,4.100000,4.100000,121100
2010-07-28,4.160000,4.270000,4.100000,4.240000,4.240000,99600
2010-07-29,4.230000,4.290000,4.130000,4.170000,4.170000,31400
2010-07-30,4.170000,4.300000,4.150000,4.210000,4.210000,86800
2010-08-02,4.250000,4.480000,4.250000,4.360000,4.360000,116800
2010-08-03,4.390000,4.400000,4.350000,4.360000,4.360000,47100
2010-08-04,4.350000,4.440000,4.260000,4.380000,4.380000,37400
2010-08-05,4.350000,4.360000,4.300000,4.340000,4.340000,23600
2010-08-06,4.270000,4.430000,4.270000,4.410000,4.410000,52100
2010-08-09,4.450000,4.470000,4.340000,4.350000,4.350000,42600
2010-08-10,4.270000,4.400000,4.270000,4.380000,4.380000,20700
2010-08-11,4.260000,4.300000,4.170000,4.170000,4.170000,45200
2010-08-12,4.050000,4.120000,3.980000,4.030000,4.030000,71200
2010-08-13,3.990000,4.100000,3.990000,4.070000,4.070000,33300
2010-08-16,4.070000,4.220000,4.070000,4.110000,4.110000,22300
2010-08-17,4.170000,4.220000,4.070000,4.190000,4.190000,48300
2010-08-18,4.150000,4.250000,4.080000,4.150000,4.150000,28600
2010-08-19,4.150000,4.200000,4.080000,4.080000,4.080000,30400
2010-08-20,4.030000,4.060000,3.950000,4.000000,4.000000,32000
2010-08-23,4.000000,4.000000,3.870000,3.920000,3.920000,42000
2010-08-24,3.860000,3.890000,3.670000,3.730000,3.730000,62100
2010-08-25,3.620000,3.750000,3.600000,3.700000,3.700000,33700
