Date,Open,High,Low,Close,Adj Close,Volume
2016-06-02,8.000000,8.450000,7.140000,7.250000,7.250000,1979500
2016-06-03,7.200000,7.505000,7.000000,7.060000,7.060000,569900
2016-06-06,7.060000,7.410000,6.850000,7.000000,7.000000,245500
2016-06-07,7.000000,7.024000,6.890000,6.920000,6.920000,56800
2016-06-08,7.000000,7.000000,6.860000,7.000000,7.000000,147400
2016-06-09,6.800000,6.960000,6.740000,6.960000,6.960000,30000
2016-06-10,7.020000,7.020000,6.780000,6.900000,6.900000,51000
2016-06-13,6.916000,6.950000,6.725000,6.900000,6.900000,68000
2016-06-14,6.940000,6.990000,6.750000,6.990000,6.990000,28800
2016-06-15,6.820000,7.110000,6.760000,7.010000,7.010000,23200
2016-06-16,7.057000,7.150000,6.938000,7.000000,7.000000,28200
2016-06-17,6.920000,7.100000,6.900000,7.100000,7.100000,27300
2016-06-20,7.100000,7.150000,7.000000,7.040000,7.040000,11000
2016-06-21,7.035000,7.100000,6.850000,6.970000,6.970000,42700
2016-06-22,6.870000,7.100000,6.750000,7.100000,7.100000,58100
2016-06-23,7.000000,7.000000,6.850000,6.900000,6.900000,23000
2016-06-24,6.700000,6.831000,6.670000,6.800000,6.800000,37400
2016-06-27,6.810000,7.350000,6.790000,7.000000,7.000000,293800
2016-06-28,7.030000,7.200000,6.800000,6.910000,6.910000,58000
2016-06-29,6.849000,6.940000,6.800000,6.930000,6.930000,8200
2016-06-30,6.750000,7.030000,6.750000,7.010000,7.010000,79100
2016-07-01,7.200000,7.200000,6.750000,6.780000,6.780000,32000
2016-07-05,6.810000,7.130000,6.810000,6.900000,6.900000,26000
2016-07-06,6.810000,6.810000,6.500000,6.630000,6.630000,16900
2016-07-07,6.620000,6.790000,6.550000,6.790000,6.790000,9600
2016-07-08,6.750000,6.750000,6.500000,6.545000,6.545000,11800
2016-07-11,6.650000,6.700000,5.750000,6.550000,6.550000,16400
2016-07-12,6.410000,6.893000,6.300000,6.780000,6.780000,19200
2016-07-13,7.070000,7.200000,7.000000,7.000000,7.000000,30700
2016-07-14,7.030000,7.039000,6.370000,6.750000,6.750000,15400
2016-07-15,6.760000,6.760000,6.480000,6.600000,6.600000,7700
2016-07-18,6.760000,6.760000,6.470000,6.590000,6.590000,4500
2016-07-19,6.500000,6.620000,6.490000,6.490000,6.490000,3800
2016-07-20,6.490000,6.800000,6.470000,6.550000,6.550000,11100
2016-07-21,6.493000,6.493000,6.493000,6.493000,6.493000,2200
2016-07-22,6.520000,6.790000,6.470000,6.590000,6.590000,9700
2016-07-25,6.580000,6.600000,6.500000,6.570000,6.570000,6000
2016-07-26,6.490000,6.770000,6.490000,6.720000,6.720000,11200
2016-07-27,6.710000,6.710000,6.520000,6.520000,6.520000,4100
2016-07-28,6.610000,6.640000,6.520000,6.530000,6.530000,4200
2016-07-29,6.580000,6.580000,6.050000,6.050000,6.050000,32200
2016-08-01,5.950000,6.430000,5.950000,6.080000,6.080000,24300
2016-08-02,6.300000,6.450000,6.300000,6.440000,6.440000,3300
2016-08-03,6.140000,6.730000,6.130000,6.410000,6.410000,7500
2016-08-04,6.400000,6.480000,6.400000,6.480000,6.480000,1000
2016-08-05,6.460000,6.470000,6.150000,6.190000,6.190000,14100
2016-08-08,6.220000,6.237000,5.870000,6.005000,6.005000,13300
2016-08-09,6.682000,6.770000,5.650000,6.770000,6.770000,22800
2016-08-10,6.470000,6.800000,6.460000,6.770000,6.770000,5100
2016-08-11,6.310000,7.190000,5.990000,7.190000,7.190000,18000
2016-08-12,7.190000,7.199000,6.840000,7.190000,7.190000,4500
2016-08-15,6.930000,7.196000,6.930000,7.140000,7.140000,5800
2016-08-16,7.120000,7.120000,6.700000,6.760000,6.760000,8700
2016-08-17,6.730000,7.000000,6.720000,7.000000,7.000000,11500
2016-08-18,6.920000,7.000000,6.879000,7.000000,7.000000,3100
2016-08-19,6.950000,7.020000,6.720000,7.020000,7.020000,3200
2016-08-22,7.000000,7.080000,6.960000,7.080000,7.080000,2700
2016-08-23,7.070000,7.450000,6.880000,7.450000,7.450000,26100
2016-08-24,7.450000,7.450000,7.010000,7.130000,7.130000,10200
2016-08-25,7.140000,7.300000,6.950000,7.200000,7.200000,38100
2016-08-26,7.100000,7.100000,6.887000,7.010000,7.010000,7400
2016-08-29,7.037000,7.290000,7.037000,7.130000,7.130000,36900
2016-08-30,7.200000,7.460000,7.150000,7.460000,7.460000,52100
2016-08-31,7.345000,7.400000,7.155000,7.380000,7.380000,8800
2016-09-01,7.150000,7.750000,7.150000,7.710000,7.710000,19900
2016-09-02,7.730000,8.180000,7.670000,8.160000,8.160000,16000
2016-09-06,8.060000,8.250000,7.710000,8.105000,8.105000,28800
2016-09-07,8.080000,8.330000,7.640000,8.300000,8.300000,28300
2016-09-08,8.260000,8.300000,7.830000,8.180000,8.180000,27800
2016-09-09,8.160000,8.500000,8.160000,8.400000,8.400000,20500
2016-09-12,8.400000,8.470000,7.680000,7.920000,7.920000,46000
2016-09-13,7.650000,8.300000,7.360000,8.000000,8.000000,28300
2016-09-14,7.910000,8.450000,7.910000,8.140000,8.140000,26300
2016-09-15,8.205000,8.450000,7.950000,8.130000,8.130000,97100
2016-09-16,8.350000,8.800000,8.030000,8.370000,8.370000,378900
2016-09-19,8.620000,11.310000,8.350000,10.440000,10.440000,171200
2016-09-20,10.400000,12.000000,10.000000,11.010000,11.010000,252400
2016-09-21,10.800000,12.000000,10.500000,11.880000,11.880000,67700
2016-09-22,11.950000,12.500000,11.211000,11.750000,11.750000,87000
2016-09-23,11.770000,13.980000,11.500000,13.980000,13.980000,61000
2016-09-26,14.100000,16.790001,14.100000,15.260000,15.260000,231900
2016-09-27,15.150000,17.114000,14.560000,16.650000,16.650000,228600
2016-09-28,16.650000,17.670000,15.150000,17.540001,17.540001,274400
2016-09-29,17.690001,18.200001,15.060000,16.500000,16.500000,193200
2016-09-30,16.600000,18.020000,15.668000,17.350000,17.350000,754300
2016-10-03,17.350000,18.607000,16.590000,18.070000,18.070000,378500
2016-10-04,18.120001,18.120001,16.760000,17.330000,17.330000,96000
2016-10-05,17.270000,18.780001,17.100000,18.400000,18.400000,107700
2016-10-06,18.270000,20.750000,17.701000,20.150000,20.150000,133000
2016-10-07,20.270000,23.500000,20.090000,23.370001,23.370001,324800
2016-10-10,24.400000,25.080000,23.290001,24.680000,24.680000,215700
2016-10-11,24.680000,24.930000,23.480000,24.719999,24.719999,130700
2016-10-12,24.520000,24.594999,21.150000,21.410000,21.410000,320700
2016-10-13,21.290001,22.118999,18.080000,19.110001,19.110001,342000
2016-10-14,19.270000,20.469999,19.270000,20.160000,20.160000,53600
2016-10-17,20.350000,22.200001,19.990000,21.230000,21.230000,117700
2016-10-18,21.350000,22.240000,21.350000,21.860001,21.860001,64000
2016-10-19,21.860001,22.190001,20.040001,20.190001,20.190001,107400
2016-10-20,20.680000,20.680000,18.969999,19.500000,19.500000,86000
2016-10-21,19.320000,19.320000,18.510000,18.879999,18.879999,84400
2016-10-24,19.090000,20.280001,19.059999,19.719999,19.719999,30700
2016-10-25,20.350000,20.350000,19.129999,19.750000,19.750000,183100
2016-10-26,19.750000,19.750000,18.868999,19.440001,19.440001,107900
2016-10-27,19.350000,20.480000,19.090000,19.420000,19.420000,128900
2016-10-28,18.879999,20.160999,18.879999,19.930000,19.930000,66200
2016-10-31,20.080000,21.830000,19.660000,21.629999,21.629999,186600
2016-11-01,21.799999,22.309999,18.080000,18.150000,18.150000,199400
2016-11-02,18.010000,18.250000,14.370000,14.480000,14.480000,141700
2016-11-03,14.540000,14.890000,13.650000,14.800000,14.800000,139000
2016-11-04,14.800000,16.545000,14.800000,16.100000,16.100000,117200
2016-11-07,16.360001,16.900000,16.010000,16.480000,16.480000,93200
2016-11-08,16.420000,16.900000,15.832000,16.709999,16.709999,141800
2016-11-09,15.150000,17.730000,13.930000,17.709999,17.709999,165600
2016-11-10,17.879999,19.920000,17.879999,19.080000,19.080000,117000
2016-11-11,19.080000,20.000000,18.840000,19.830000,19.830000,111800
2016-11-14,19.980000,21.129999,19.780001,20.990000,20.990000,58200
2016-11-15,21.219999,21.750000,20.620001,20.840000,20.840000,82600
2016-11-16,20.799999,21.490000,20.549999,20.670000,20.670000,52600
2016-11-17,20.840000,22.180000,20.059999,21.950001,21.950001,68500
2016-11-18,21.969999,24.730000,21.219999,23.049999,23.049999,81000
2016-11-21,23.049999,23.150000,22.559999,22.950001,22.950001,58500
2016-11-22,23.010000,23.790001,22.030001,22.389999,22.389999,75400
2016-11-23,22.139999,22.139999,20.920000,21.719999,21.719999,61100
2016-11-25,21.790001,22.969999,20.840000,21.420000,21.420000,58000
2016-11-28,21.549999,22.049999,20.740000,21.820000,21.820000,114100
2016-11-29,21.570000,21.570000,18.459999,18.510000,18.510000,121200
2016-11-30,17.770000,18.000000,14.171000,14.640000,14.640000,417400
2016-12-01,14.520000,15.900000,13.900000,15.360000,15.360000,162800
2016-12-02,15.590000,17.309999,15.310000,15.620000,15.620000,106300
2016-12-05,15.640000,16.129999,14.216000,14.830000,14.830000,133600
2016-12-06,14.900000,15.495000,14.260000,15.180000,15.180000,114800
2016-12-07,15.020000,15.050000,14.240000,14.430000,14.430000,111800
2016-12-08,13.940000,14.140000,11.260000,11.530000,11.530000,379500
2016-12-09,8.800000,9.720000,8.610000,9.000000,9.000000,3475800
2016-12-12,9.090000,9.400000,8.600000,8.680000,8.680000,594600
2016-12-13,8.650000,8.930000,8.087000,8.500000,8.500000,716800
2016-12-14,8.560000,9.100000,8.510000,8.580000,8.580000,378000
2016-12-15,8.510000,9.100000,8.500000,8.900000,8.900000,269600
2016-12-16,8.950000,9.430000,8.890000,9.070000,9.070000,977200
2016-12-19,9.100000,9.430000,8.950000,9.260000,9.260000,252300
2016-12-20,9.260000,9.400000,8.910000,8.990000,8.990000,161400
2016-12-21,9.040000,9.240000,8.650000,9.010000,9.010000,239200
2016-12-22,9.000000,9.190000,8.990000,9.090000,9.090000,134300
2016-12-23,9.080000,9.350000,8.930000,9.050000,9.050000,228000
2016-12-27,9.130000,9.240000,8.990000,9.000000,9.000000,119500
2016-12-28,9.070000,9.115000,8.900000,9.000000,9.000000,116300
2016-12-29,9.100000,9.200000,8.980000,8.990000,8.990000,115100
2016-12-30,8.990000,9.050000,8.890000,8.940000,8.940000,173700
2017-01-03,9.020000,9.430000,9.000000,9.370000,9.370000,153700
2017-01-04,9.400000,10.100000,9.370000,9.870000,9.870000,315400
2017-01-05,9.870000,10.130000,9.510000,10.080000,10.080000,329600
2017-01-06,10.400000,10.461000,10.050000,10.160000,10.160000,156900
2017-01-09,10.200000,10.350000,9.280000,9.350000,9.350000,161200
2017-01-10,9.390000,9.670000,9.220000,9.660000,9.660000,226000
2017-01-11,9.680000,9.920000,9.080000,9.410000,9.410000,162800
2017-01-12,9.350000,9.443000,9.010000,9.170000,9.170000,242300
2017-01-13,9.210000,9.640000,9.100000,9.250000,9.250000,164700
2017-01-17,9.220000,9.220000,8.680000,8.810000,8.810000,186000
2017-01-18,8.790000,8.840000,8.390000,8.590000,8.590000,174700
2017-01-19,8.650000,8.650000,8.010000,8.220000,8.220000,161300
2017-01-20,8.160000,8.160000,7.620000,7.690000,7.690000,146300
2017-01-23,7.640000,7.680000,7.260000,7.490000,7.490000,122900
2017-01-24,7.500000,8.050000,7.350000,7.930000,7.930000,168200
2017-01-25,8.030000,8.390000,7.960000,8.330000,8.330000,224200
2017-01-26,8.270000,8.305000,8.000000,8.090000,8.090000,157100
2017-01-27,8.090000,8.110000,7.720000,7.870000,7.870000,125900
2017-01-30,7.840000,7.900000,7.210000,7.250000,7.250000,148100
2017-01-31,7.240000,7.690000,7.220000,7.450000,7.450000,263600
2017-02-01,7.510000,7.640000,7.380000,7.470000,7.470000,93300
2017-02-02,7.440000,7.440000,7.180000,7.380000,7.380000,100700
2017-02-03,7.410000,7.800000,7.350000,7.640000,7.640000,191300
2017-02-06,7.580000,7.590000,7.210000,7.250000,7.250000,58800
2017-02-07,7.290000,7.330000,7.050000,7.100000,7.100000,145600
2017-02-08,7.020000,7.250000,7.000000,7.210000,7.210000,68800
2017-02-09,7.220000,7.730000,7.220000,7.550000,7.550000,134300
2017-02-10,7.600000,7.815000,7.450000,7.710000,7.710000,77700
2017-02-13,7.770000,8.150000,7.470000,7.540000,7.540000,86100
2017-02-14,7.520000,7.650000,7.360000,7.580000,7.580000,69900
2017-02-15,7.610000,7.710000,7.450000,7.670000,7.670000,120500
2017-02-16,7.700000,7.980000,7.370000,7.640000,7.640000,98900
2017-02-17,7.620000,7.670000,7.370000,7.670000,7.670000,82500
2017-02-21,7.660000,7.670000,7.415000,7.640000,7.640000,168300
2017-02-22,7.570000,7.600000,7.100000,7.190000,7.190000,152000
2017-02-23,7.190000,7.200000,6.501000,6.900000,6.900000,193800
2017-02-24,7.700000,8.150000,7.100000,8.060000,8.060000,542900
2017-02-27,8.440000,8.756000,8.220000,8.640000,8.640000,365900
2017-02-28,8.720000,9.050000,7.840000,7.850000,7.850000,262600
2017-03-01,7.990000,8.740000,7.501000,8.450000,8.450000,754600
2017-03-02,8.600000,9.420000,8.380000,8.530000,8.530000,467800
2017-03-03,8.780000,8.780000,8.370000,8.470000,8.470000,194500
2017-03-06,8.500000,8.500000,7.690000,7.710000,7.710000,203900
2017-03-07,7.780000,7.780000,7.010000,7.120000,7.120000,211500
2017-03-08,7.200000,7.490000,7.050000,7.260000,7.260000,118600
2017-03-09,7.270000,7.490000,7.190000,7.290000,7.290000,115800
2017-03-10,7.400000,7.470000,7.120000,7.350000,7.350000,99200
2017-03-13,7.360000,7.390000,7.025000,7.310000,7.310000,87700
2017-03-14,6.960000,6.960000,5.440000,6.380000,6.380000,482900
2017-03-15,6.770000,6.840000,6.070000,6.590000,6.590000,323600
2017-03-16,6.660000,7.600000,6.435000,7.340000,7.340000,410900
2017-03-17,7.450000,7.529000,6.900000,6.930000,6.930000,382500
2017-03-20,6.970000,7.155000,6.740000,6.910000,6.910000,272200
2017-03-21,7.150000,7.150000,6.850000,7.000000,7.000000,241800
2017-03-22,7.000000,7.020000,6.713000,6.990000,6.990000,152600
2017-03-23,7.120000,7.380000,6.990000,7.120000,7.120000,160900
2017-03-24,7.120000,7.150000,6.870000,7.060000,7.060000,117600
2017-03-27,6.940000,7.390000,6.910000,7.340000,7.340000,126300
2017-03-28,7.340000,7.640000,7.080000,7.560000,7.560000,153200
2017-03-29,7.570000,8.300000,7.570000,7.890000,7.890000,332100
2017-03-30,7.890000,7.890000,7.300000,7.650000,7.650000,173700
2017-03-31,7.680000,8.150000,7.680000,7.940000,7.940000,208800
2017-04-03,7.950000,7.950000,7.400000,7.520000,7.520000,158100
2017-04-04,7.500000,7.760000,7.320000,7.730000,7.730000,157100
2017-04-05,7.780000,7.800000,7.495000,7.700000,7.700000,223600
2017-04-06,7.670000,7.860000,7.460000,7.830000,7.830000,153200
2017-04-07,7.770000,8.070000,7.770000,8.010000,8.010000,160200
2017-04-10,8.020000,8.256000,7.630000,7.660000,7.660000,144700
2017-04-11,7.650000,7.780000,7.410000,7.650000,7.650000,100500
2017-04-12,7.630000,7.650000,7.510000,7.590000,7.590000,68700
2017-04-13,7.570000,7.900000,7.570000,7.710000,7.710000,42600
2017-04-17,7.710000,7.860000,7.250000,7.490000,7.490000,162800
2017-04-18,7.430000,7.640000,7.350000,7.440000,7.440000,300600
2017-04-19,7.450000,7.630000,7.310000,7.430000,7.430000,290700
2017-04-20,7.420000,7.640000,7.400000,7.490000,7.490000,155600
2017-04-21,7.540000,7.550000,7.350000,7.430000,7.430000,151700
2017-04-24,7.580000,7.620000,7.365000,7.550000,7.550000,80800
2017-04-25,7.580000,7.749000,7.570000,7.650000,7.650000,85400
2017-04-26,7.660000,8.050000,7.640000,7.970000,7.970000,85500
2017-04-27,8.040000,8.040000,7.680000,7.830000,7.830000,53800
2017-04-28,7.770000,8.040000,7.590000,7.960000,7.960000,89900
2017-05-01,7.950000,8.250000,7.950000,8.160000,8.160000,133600
2017-05-02,8.280000,8.580000,8.190000,8.480000,8.480000,146300
2017-05-03,8.380000,8.390000,7.890000,8.190000,8.190000,130000
2017-05-04,8.180000,8.390000,7.810000,8.110000,8.110000,257800
2017-05-05,8.100000,8.100000,7.676000,7.900000,7.900000,69100
2017-05-08,7.900000,8.110000,7.538000,7.940000,7.940000,188500
2017-05-09,7.940000,7.980000,7.700000,7.870000,7.870000,71300
2017-05-10,7.840000,8.300000,7.510000,8.190000,8.190000,97500
2017-05-11,8.170000,8.730000,8.080000,8.640000,8.640000,109800
2017-05-12,8.640000,9.170000,8.290000,8.980000,8.980000,190300
2017-05-15,8.980000,9.160000,8.700000,8.750000,8.750000,111700
2017-05-16,8.760000,8.780000,8.410000,8.690000,8.690000,71600
2017-05-17,8.550000,8.640000,8.253000,8.430000,8.430000,131700
2017-05-18,8.420000,8.600000,8.050000,8.470000,8.470000,64200
2017-05-19,8.480000,8.580000,8.000000,8.030000,8.030000,114500
2017-05-22,8.020000,8.230000,7.400000,7.470000,7.470000,148100
2017-05-23,7.450000,7.500000,7.200000,7.350000,7.350000,126600
2017-05-24,7.720000,7.820000,7.390000,7.540000,7.540000,79000
2017-05-25,7.940000,8.300000,7.480000,7.500000,7.500000,163700
2017-05-26,7.500000,7.550000,7.170000,7.250000,7.250000,195700
2017-05-30,7.300000,7.318000,6.950000,7.050000,7.050000,375600
2017-05-31,7.050000,7.100000,6.800000,6.880000,6.880000,298300
2017-06-01,6.900000,7.191000,6.900000,7.160000,7.160000,233500
2017-06-02,7.200000,7.504000,7.030000,7.370000,7.370000,124200
2017-06-05,7.360000,7.470000,7.221000,7.400000,7.400000,165300
2017-06-06,7.450000,7.548000,7.240000,7.390000,7.390000,121200
2017-06-07,7.440000,7.680000,7.260000,7.340000,7.340000,87800
2017-06-08,7.310000,8.030000,7.310000,7.980000,7.980000,142700
2017-06-09,8.100000,8.110000,7.460000,7.650000,7.650000,143500
2017-06-12,7.600000,7.810000,7.530000,7.610000,7.610000,90900
2017-06-13,7.620000,8.020000,7.610000,7.890000,7.890000,167700
2017-06-14,7.900000,8.270000,7.723000,8.120000,8.120000,180400
2017-06-15,8.030000,8.250000,7.690000,7.750000,7.750000,101300
2017-06-16,7.670000,8.050000,7.651000,7.820000,7.820000,123800
2017-06-19,7.830000,8.430000,7.830000,8.220000,8.220000,163500
2017-06-20,8.150000,9.150000,8.150000,8.780000,8.780000,187200
2017-06-21,8.850000,8.950000,8.400000,8.610000,8.610000,128100
2017-06-22,8.700000,9.090000,8.363000,8.810000,8.810000,136600
2017-06-23,8.770000,9.760000,8.770000,9.690000,9.690000,1237900
2017-06-26,9.650000,10.033000,9.590000,9.890000,9.890000,325500
2017-06-27,9.810000,9.810000,9.210000,9.260000,9.260000,189700
2017-06-28,9.330000,9.725000,9.010000,9.640000,9.640000,99900
2017-06-29,9.640000,9.740000,9.010000,9.360000,9.360000,149000
2017-06-30,9.380000,9.380000,9.050000,9.110000,9.110000,77400
2017-07-03,9.150000,9.500000,8.750000,9.400000,9.400000,105500
2017-07-05,9.430000,9.740000,9.040000,9.690000,9.690000,126900
2017-07-06,9.520000,9.700000,9.260000,9.400000,9.400000,92700
2017-07-07,9.490000,9.715000,9.250000,9.510000,9.510000,94200
2017-07-10,9.440000,9.480000,9.109000,9.270000,9.270000,56600
