Date,Open,High,Low,Close,Adj Close,Volume
2013-07-25,11.000000,11.240000,9.080000,9.500000,9.500000,3417700
2013-07-26,9.220000,9.880000,9.050000,9.600000,9.600000,160000
2013-07-29,9.670000,9.790000,9.160000,9.350000,9.350000,66000
2013-07-30,9.500000,9.500000,8.670000,9.150000,9.150000,85900
2013-07-31,9.100000,9.490000,8.260000,9.120000,9.120000,81800
2013-08-01,9.180000,9.180000,8.790000,9.070000,9.070000,41100
2013-08-02,9.500000,9.500000,8.910000,8.910000,8.910000,26600
2013-08-05,9.620000,9.620000,9.200000,9.620000,9.620000,46100
2013-08-06,9.720000,9.720000,9.490000,9.610000,9.610000,31500
2013-08-07,9.070000,9.700000,9.070000,9.310000,9.310000,38900
2013-08-08,9.660000,9.660000,9.080000,9.240000,9.240000,27300
2013-08-09,9.550000,9.550000,9.000000,9.000000,9.000000,21300
2013-08-12,9.000000,9.290000,9.000000,9.290000,9.290000,16700
2013-08-13,9.010000,9.080000,8.680000,9.000000,9.000000,43000
2013-08-14,8.910000,9.250000,8.860000,9.010000,9.010000,25100
2013-08-15,8.920000,9.300000,8.920000,9.300000,9.300000,22700
2013-08-16,9.300000,9.550000,9.260000,9.290000,9.290000,105000
2013-08-19,9.500000,9.550000,9.000000,9.140000,9.140000,39400
2013-08-20,9.290000,9.290000,8.530000,8.910000,8.910000,12700
2013-08-21,9.330000,9.330000,8.960000,8.990000,8.990000,2400
2013-08-22,9.110000,9.110000,8.930000,8.930000,8.930000,6700
2013-08-23,9.000000,9.160000,8.950000,9.090000,9.090000,10700
2013-08-26,9.600000,9.600000,9.120000,9.210000,9.210000,10800
2013-08-27,9.500000,9.500000,8.980000,8.980000,8.980000,3400
2013-08-28,9.050000,9.230000,9.050000,9.060000,9.060000,5300
2013-08-29,9.050000,9.230000,9.020000,9.050000,9.050000,10000
2013-08-30,9.240000,9.350000,9.050000,9.090000,9.090000,16700
2013-09-03,9.080000,9.270000,8.550000,9.090000,9.090000,19900
2013-09-04,9.340000,9.450000,8.940000,9.040000,9.040000,33200
2013-09-05,8.880000,9.020000,8.810000,8.850000,8.850000,26100
2013-09-06,8.910000,8.910000,8.680000,8.770000,8.770000,19000
2013-09-09,8.750000,8.860000,8.530000,8.580000,8.580000,14500
2013-09-10,8.690000,8.970000,8.510000,8.620000,8.620000,38200
2013-09-11,8.850000,8.860000,8.660000,8.700000,8.700000,16100
2013-09-12,8.850000,9.460000,8.800000,9.190000,9.190000,41200
2013-09-13,9.390000,9.390000,9.200000,9.250000,9.250000,10400
2013-09-16,9.250000,9.600000,9.190000,9.450000,9.450000,30200
2013-09-17,9.510000,9.760000,9.390000,9.490000,9.490000,35500
2013-09-18,9.260000,9.750000,9.220000,9.650000,9.650000,24300
2013-09-19,9.740000,10.120000,9.010000,9.610000,9.610000,42800
2013-09-20,9.410000,9.770000,9.410000,9.620000,9.620000,53800
2013-09-23,9.650000,10.050000,9.320000,10.030000,10.030000,71200
2013-09-24,9.950000,10.400000,9.600000,9.600000,9.600000,39200
2013-09-25,9.720000,10.400000,9.720000,10.400000,10.400000,35700
2013-09-26,10.400000,10.660000,9.830000,10.490000,10.490000,65200
2013-09-27,10.380000,10.490000,10.210000,10.470000,10.470000,42000
2013-09-30,10.390000,10.700000,9.700000,10.050000,10.050000,662600
2013-10-01,10.080000,10.720000,9.800000,10.210000,10.210000,83000
2013-10-02,10.120000,10.500000,10.120000,10.370000,10.370000,31300
2013-10-03,10.340000,10.580000,10.150000,10.410000,10.410000,31100
2013-10-04,10.380000,10.470000,10.030000,10.280000,10.280000,11100
2013-10-07,10.420000,10.450000,10.000000,10.140000,10.140000,17800
2013-10-08,10.000000,10.290000,9.000000,9.450000,9.450000,80000
2013-10-09,9.530000,9.650000,9.190000,9.210000,9.210000,35800
2013-10-10,9.290000,9.330000,8.960000,9.250000,9.250000,29100
2013-10-11,9.220000,9.370000,9.080000,9.370000,9.370000,12400
2013-10-14,9.360000,9.730000,9.350000,9.730000,9.730000,17300
2013-10-15,9.730000,9.900000,9.330000,9.600000,9.600000,7700
2013-10-16,9.630000,10.280000,9.210000,9.990000,9.990000,89200
