Date,Open,High,Low,Close,Adj Close,Volume
2010-05-13,3.200000,4.000000,0.400000,3.000000,3.000000,12700
2010-05-14,2.950000,2.950000,2.360000,2.460000,2.460000,7900
2010-05-17,2.500000,2.840000,2.500000,2.840000,2.840000,4400
2010-05-18,2.880000,3.040000,2.740000,2.840000,2.840000,14300
2010-05-19,2.890000,3.040000,2.690000,3.040000,3.040000,77600
2010-05-20,3.000000,3.000000,2.890000,2.890000,2.890000,1300
2010-05-21,2.930000,2.950000,2.600000,2.600000,2.600000,27500
2010-05-24,2.700000,2.750000,2.430000,2.500000,2.500000,15300
2010-05-25,2.450000,2.450000,2.300000,2.350000,2.350000,4900
2010-05-26,2.400000,2.600000,2.400000,2.600000,2.600000,2800
2010-05-27,2.650000,2.810000,2.650000,2.770000,2.770000,1400
2010-05-28,2.820000,2.820000,2.420000,2.710000,2.710000,9000
2010-06-01,2.710000,2.710000,2.710000,2.710000,2.710000,0
2010-06-02,2.660000,2.660000,2.560000,2.600000,2.600000,1200
2010-06-03,2.850000,2.940000,2.690000,2.840000,2.840000,15500
2010-06-04,2.740000,2.740000,2.490000,2.690000,2.690000,4700
2010-06-07,2.640000,2.700000,2.600000,2.600000,2.600000,1200
2010-06-08,2.550000,2.550000,2.360000,2.360000,2.360000,8700
2010-06-09,2.450000,2.460000,2.450000,2.450000,2.450000,300
2010-06-10,2.500000,2.520000,2.420000,2.420000,2.420000,3200
2010-06-11,2.400000,2.450000,2.400000,2.450000,2.450000,10800
2010-06-14,2.400000,2.500000,2.350000,2.350000,2.350000,1500
2010-06-15,2.350000,2.350000,2.250000,2.350000,2.350000,4700
2010-06-16,2.300000,2.300000,2.250000,2.300000,2.300000,2600
2010-06-17,2.340000,2.350000,2.340000,2.350000,2.350000,800
2010-06-18,2.350000,2.350000,2.300000,2.340000,2.340000,7300
2010-06-21,2.300000,2.400000,2.290000,2.290000,2.290000,3700
2010-06-22,2.340000,2.480000,2.250000,2.250000,2.250000,8300
2010-06-23,2.200000,2.200000,1.870000,2.000000,2.000000,6700
2010-06-24,2.000000,2.500000,2.000000,2.400000,2.400000,31000
2010-06-25,2.350000,2.400000,2.250000,2.320000,2.320000,11100
2010-06-28,2.300000,2.350000,2.200000,2.200000,2.200000,6800
2010-06-29,2.200000,2.200000,2.030000,2.050000,2.050000,3000
2010-06-30,2.100000,2.200000,2.100000,2.200000,2.200000,700
2010-07-01,2.250000,2.250000,2.060000,2.060000,2.060000,2100
2010-07-02,2.050000,2.070000,2.050000,2.070000,2.070000,200
2010-07-06,2.100000,2.100000,2.100000,2.100000,2.100000,8300
2010-07-07,2.050000,2.050000,1.950000,2.000000,2.000000,1300
2010-07-08,2.000000,2.000000,1.900000,1.910000,1.910000,12800
2010-07-09,1.870000,1.870000,1.820000,1.860000,1.860000,13300
2010-07-12,1.820000,1.820000,1.570000,1.750000,1.750000,7900
2010-07-13,1.800000,1.950000,1.670000,1.790000,1.790000,39300
2010-07-14,1.850000,1.850000,1.800000,1.800000,1.800000,4200
2010-07-15,1.750000,1.770000,1.650000,1.650000,1.650000,16100
2010-07-16,1.750000,1.850000,1.750000,1.750000,1.750000,10400
2010-07-19,1.750000,1.750000,1.750000,1.750000,1.750000,0
2010-07-20,1.720000,1.720000,1.720000,1.720000,1.720000,1400
2010-07-21,1.670000,1.670000,1.600000,1.600000,1.600000,4000
2010-07-22,1.570000,1.570000,1.370000,1.560000,1.560000,7100
2010-07-23,1.530000,1.530000,1.480000,1.480000,1.480000,300
2010-07-26,1.460000,1.460000,1.220000,1.410000,1.410000,5200
2010-07-27,1.380000,1.460000,1.380000,1.460000,1.460000,14200
2010-07-28,1.460000,1.460000,1.460000,1.460000,1.460000,5000
