Date,Open,High,Low,Close,Adj Close,Volume
2014-01-30,30.000000,46.000000,29.010000,46.000000,46.000000,3966400
2014-01-31,43.599998,44.950001,38.900002,41.119999,41.119999,667300
2014-02-03,39.259998,39.310001,32.500000,32.660000,32.660000,244600
2014-02-04,33.099998,33.384998,29.379999,30.360001,30.360001,248900
2014-02-05,30.000000,34.970001,27.110001,33.549999,33.549999,266000
2014-02-06,34.000000,34.740002,32.660000,33.980000,33.980000,77800
2014-02-07,34.490002,35.349998,33.700001,35.340000,35.340000,82600
2014-02-10,35.750000,36.880001,33.000000,36.360001,36.360001,218900
2014-02-11,36.880001,38.610001,36.500000,38.470001,38.470001,173900
2014-02-12,38.000000,39.820000,37.529999,39.040001,39.040001,326800
2014-02-13,38.330002,39.500000,38.099998,39.250000,39.250000,84600
2014-02-14,39.400002,39.400002,38.110001,38.959999,38.959999,98900
2014-02-18,38.400002,39.150002,38.200001,38.580002,38.580002,18700
2014-02-19,38.119999,39.250000,38.105000,39.250000,39.250000,33100
2014-02-20,39.000000,39.490002,38.145000,39.330002,39.330002,43900
2014-02-21,39.500000,40.925999,38.220001,39.500000,39.500000,146000
2014-02-24,41.910000,42.480000,39.250000,42.360001,42.360001,223100
2014-02-25,42.500000,44.000000,41.980000,43.400002,43.400002,123300
2014-02-26,44.500000,44.500000,41.290001,41.799999,41.799999,83900
2014-02-27,41.410000,41.730000,39.299999,41.290001,41.290001,66200
2014-02-28,40.369999,41.709999,36.110001,36.720001,36.720001,90600
2014-03-03,36.049999,39.759998,35.660000,37.549999,37.549999,71100
2014-03-04,39.000000,41.650002,37.160000,40.060001,40.060001,90100
2014-03-05,40.830002,41.500000,37.750000,39.009998,39.009998,53600
2014-03-06,39.619999,39.619999,35.000000,35.119999,35.119999,82100
2014-03-07,35.139999,35.310001,30.530001,34.660000,34.660000,341500
2014-03-10,34.360001,36.900002,33.709999,36.470001,36.470001,68800
2014-03-11,36.990002,39.889999,35.419998,38.369999,38.369999,395500
2014-03-12,37.279999,39.000000,36.619999,37.360001,37.360001,33500
2014-03-13,38.099998,38.549999,34.509998,35.799999,35.799999,45500
2014-03-14,35.900002,36.250000,34.200001,35.270000,35.270000,285200
2014-03-17,35.639999,37.369999,35.639999,36.820000,36.820000,66300
2014-03-18,37.279999,40.099998,36.599998,38.790001,38.790001,389500
2014-03-19,38.759998,40.980000,38.730000,40.840000,40.840000,154300
2014-03-20,40.180000,42.500000,40.000000,41.715000,41.715000,65800
2014-03-21,42.000000,42.000000,36.770000,36.980000,36.980000,253200
2014-03-24,37.000000,37.200001,33.299999,33.650002,33.650002,243200
2014-03-25,34.070000,35.049999,33.580002,34.430000,34.430000,207800
2014-03-26,35.130001,35.130001,31.680000,32.200001,32.200001,176300
2014-03-27,31.620001,32.840000,30.000000,30.610001,30.610001,142200
2014-03-28,30.530001,31.715000,28.830000,29.049999,29.049999,357400
2014-03-31,29.320000,29.495001,27.709999,28.250000,28.250000,815300
2014-04-01,28.250000,28.250000,26.360001,26.510000,26.510000,364800
2014-04-02,26.580000,27.219999,23.770000,25.209999,25.209999,363300
2014-04-03,25.516001,25.719000,23.360001,23.500000,23.500000,179600
2014-04-04,23.750000,24.260000,21.139999,21.410000,21.410000,173500
2014-04-07,21.459999,22.889999,20.790001,22.209999,22.209999,168200
2014-04-08,22.160000,22.209999,20.180000,20.570000,20.570000,243900
2014-04-09,20.719999,22.160000,20.537001,21.750000,21.750000,163700
2014-04-10,21.670000,21.670000,19.610001,19.670000,19.670000,176100
2014-04-11,19.420000,19.790001,18.000000,18.110001,18.110001,235800
2014-04-14,18.540001,18.740000,16.799999,17.000000,17.000000,267600
2014-04-15,17.000000,17.100000,15.400000,16.000000,16.000000,312000
2014-04-16,16.190001,16.750000,15.000000,16.299999,16.299999,262700
2014-04-17,16.410000,17.370001,15.800000,16.410000,16.410000,196000
