Date,Open,High,Low,Close,Adj Close,Volume
2013-10-01,6.560000,7.240000,6.310000,6.620000,6.620000,2079700
2013-10-02,6.650000,7.150000,6.650000,6.950000,6.950000,311700
2013-10-03,6.900000,6.970000,6.850000,6.900000,6.900000,110000
2013-10-04,6.950000,7.200000,6.800000,7.150000,7.150000,61300
2013-10-07,7.930000,9.000000,7.370000,8.500000,8.500000,381800
2013-10-08,8.490000,9.190000,7.830000,7.940000,7.940000,284700
2013-10-09,7.530000,7.610000,6.060000,6.700000,6.700000,381100
2013-10-10,7.400000,7.400000,6.500000,6.960000,6.960000,91200
2013-10-11,7.100000,7.250000,6.810000,7.050000,7.050000,30600
2013-10-14,7.100000,7.200000,6.640000,7.010000,7.010000,80200
2013-10-15,6.990000,7.190000,6.830000,7.190000,7.190000,42500
2013-10-16,7.150000,7.150000,6.590000,7.000000,7.000000,103400
2013-10-17,6.920000,7.030000,6.760000,7.030000,7.030000,25900
2013-10-18,7.010000,7.100000,6.870000,7.000000,7.000000,50000
2013-10-21,7.000000,7.050000,6.870000,7.000000,7.000000,20400
2013-10-22,7.100000,7.100000,6.600000,6.720000,6.720000,30100
2013-10-23,6.800000,7.110000,6.750000,6.850000,6.850000,88300
2013-10-24,6.610000,6.930000,6.610000,6.930000,6.930000,53000
2013-10-25,6.850000,6.950000,6.750000,6.870000,6.870000,25000
2013-10-28,7.100000,7.120000,6.250000,6.450000,6.450000,248900
2013-10-29,6.250000,6.510000,6.050000,6.300000,6.300000,72200
2013-10-30,6.400000,6.640000,6.250000,6.250000,6.250000,24000
2013-10-31,6.270000,6.350000,6.000000,6.000000,6.000000,108500
2013-11-01,6.010000,6.150000,6.000000,6.010000,6.010000,56200
2013-11-04,6.100000,6.310000,6.000000,6.290000,6.290000,131700
2013-11-05,6.250000,6.430000,6.020000,6.110000,6.110000,21000
2013-11-06,6.100000,6.180000,5.940000,5.950000,5.950000,15700
2013-11-07,6.000000,6.230000,4.690000,5.000000,5.000000,55800
2013-11-08,4.950000,5.020000,4.500000,4.610000,4.610000,81900
2013-11-11,4.550000,4.710000,4.300000,4.650000,4.650000,37900
2013-11-12,4.510000,5.150000,4.510000,4.770000,4.770000,70000
2013-11-13,4.830000,5.510000,4.830000,5.160000,5.160000,54000
2013-11-14,4.970000,5.050000,4.500000,4.860000,4.860000,72700
2013-11-15,4.930000,5.420000,4.900000,5.100000,5.100000,22500
2013-11-18,5.140000,5.150000,4.900000,4.950000,4.950000,7700
2013-11-19,5.120000,5.120000,4.950000,5.000000,5.000000,5800
2013-11-20,5.160000,5.200000,4.950000,4.960000,4.960000,17000
2013-11-21,5.020000,5.040000,4.950000,5.000000,5.000000,5600
2013-11-22,5.120000,5.310000,4.950000,5.060000,5.060000,46700
2013-11-25,5.100000,5.390000,5.050000,5.050000,5.050000,45200
2013-11-26,5.160000,5.330000,5.050000,5.250000,5.250000,33100
2013-11-27,5.260000,5.490000,5.260000,5.460000,5.460000,3700
2013-11-29,5.440000,5.840000,5.440000,5.600000,5.600000,17800
2013-12-02,5.700000,5.890000,5.500000,5.640000,5.640000,22600
2013-12-03,5.770000,6.100000,5.750000,5.940000,5.940000,56100
2013-12-04,6.250000,6.250000,5.970000,6.050000,6.050000,32500
2013-12-05,6.130000,6.480000,6.050000,6.140000,6.140000,20900
2013-12-06,6.140000,6.480000,5.960000,6.330000,6.330000,17300
2013-12-09,6.440000,6.480000,6.110000,6.340000,6.340000,18800
2013-12-10,6.330000,6.400000,6.210000,6.400000,6.400000,16800
2013-12-11,6.110000,6.900000,6.110000,6.410000,6.410000,28800
2013-12-12,6.550000,7.000000,6.510000,7.000000,7.000000,61700
2013-12-13,7.080000,7.200000,7.050000,7.200000,7.200000,44700
2013-12-16,7.200000,7.480000,6.420000,7.000000,7.000000,44100
2013-12-17,6.990000,7.530000,6.710000,6.840000,6.840000,34900
2013-12-18,7.070000,7.700000,6.810000,7.190000,7.190000,29500
2013-12-19,7.330000,7.500000,7.060000,7.190000,7.190000,12800
2013-12-20,7.270000,7.340000,6.750000,6.820000,6.820000,102300
2013-12-23,6.890000,6.890000,6.360000,6.550000,6.550000,26900
2013-12-24,6.110000,6.830000,6.060000,6.830000,6.830000,10000
