Date,Open,High,Low,Close,Adj Close,Volume
2011-04-08,4.540000,4.560000,4.300000,4.340000,4.340000,206300
2011-04-11,4.300000,4.350000,4.200000,4.300000,4.300000,38900
2011-04-12,4.300000,4.300000,4.150000,4.200000,4.200000,23600
2011-04-13,4.200000,4.200000,3.950000,4.070000,4.070000,44700
2011-04-14,4.010000,4.100000,3.950000,4.040000,4.040000,39500
2011-04-15,4.010000,4.250000,4.000000,4.200000,4.200000,66500
2011-04-18,4.380000,4.380000,4.010000,4.150000,4.150000,23400
2011-04-19,4.100000,4.170000,4.070000,4.080000,4.080000,28000
2011-04-20,4.020000,4.100000,4.000000,4.070000,4.070000,16300
2011-04-21,4.000000,4.100000,4.000000,4.050000,4.050000,52500
2011-04-25,4.150000,4.150000,3.950000,4.000000,4.000000,12000
2011-04-26,3.960000,4.100000,3.960000,4.000000,4.000000,26500
2011-04-27,4.000000,4.050000,3.950000,4.020000,4.020000,20000
2011-04-28,4.000000,4.050000,4.000000,4.020000,4.020000,5100
2011-04-29,3.920000,4.050000,3.920000,4.000000,4.000000,12000
2011-05-02,4.030000,4.050000,4.030000,4.050000,4.050000,3700
2011-05-03,4.000000,4.060000,4.000000,4.030000,4.030000,9200
2011-05-04,4.000000,4.040000,3.900000,4.000000,4.000000,9800
2011-05-05,4.040000,4.040000,3.850000,3.940000,3.940000,8600
2011-05-06,3.900000,3.900000,3.200000,3.730000,3.730000,23600
2011-05-09,3.700000,3.750000,3.520000,3.710000,3.710000,14900
2011-05-10,3.700000,3.750000,3.680000,3.720000,3.720000,9300
2011-05-11,3.720000,3.720000,3.720000,3.720000,3.720000,0
2011-05-12,3.730000,3.780000,3.700000,3.700000,3.700000,15000
2011-05-13,3.680000,3.770000,3.600000,3.770000,3.770000,17800
2011-05-16,3.700000,3.700000,3.600000,3.630000,3.630000,9100
2011-05-17,3.650000,3.750000,3.650000,3.740000,3.740000,18200
2011-05-18,3.700000,3.700000,3.600000,3.600000,3.600000,2200
2011-05-19,3.600000,3.600000,3.480000,3.490000,3.490000,17000
2011-05-20,3.400000,3.400000,3.060000,3.200000,3.200000,70700
2011-05-23,3.150000,3.150000,2.900000,3.100000,3.100000,19700
2011-05-24,3.190000,3.190000,3.010000,3.120000,3.120000,16000
2011-05-25,3.020000,3.100000,3.000000,3.030000,3.030000,13400
2011-05-26,2.900000,3.070000,2.900000,3.070000,3.070000,32200
2011-05-27,3.200000,3.200000,3.000000,3.070000,3.070000,9700
2011-05-31,3.150000,3.150000,3.000000,3.100000,3.100000,29100
2011-06-01,3.050000,3.440000,3.050000,3.250000,3.250000,162100
2011-06-02,3.250000,3.350000,3.150000,3.350000,3.350000,26700
2011-06-03,3.160000,3.380000,2.850000,3.380000,3.380000,3100
2011-06-06,3.600000,3.600000,3.500000,3.500000,3.500000,3700
2011-06-07,3.450000,3.500000,3.150000,3.150000,3.150000,18500
2011-06-08,3.140000,3.240000,3.140000,3.240000,3.240000,5900
2011-06-09,3.150000,3.250000,3.150000,3.200000,3.200000,12900
2011-06-10,3.170000,3.170000,3.050000,3.160000,3.160000,2600
2011-06-13,3.300000,3.490000,3.210000,3.400000,3.400000,7900
2011-06-14,3.480000,3.500000,3.380000,3.500000,3.500000,8300
2011-06-15,3.490000,3.490000,3.400000,3.400000,3.400000,4100
2011-06-16,3.400000,3.400000,3.400000,3.400000,3.400000,0
2011-06-17,3.200000,3.200000,3.200000,3.200000,3.200000,2600
2011-06-20,3.210000,3.380000,3.210000,3.340000,3.340000,700
2011-06-21,3.400000,3.430000,3.400000,3.430000,3.430000,900
2011-06-22,3.350000,3.350000,3.350000,3.350000,3.350000,200
2011-06-23,3.400000,4.020000,3.350000,3.750000,3.750000,68100
2011-06-24,3.800000,3.960000,3.750000,3.920000,3.920000,29100
2011-06-27,3.900000,4.200000,3.900000,4.000000,4.000000,21800
2011-06-28,3.910000,4.040000,3.890000,4.040000,4.040000,6500
2011-06-29,4.000000,4.000000,3.930000,3.930000,3.930000,600
2011-06-30,3.990000,4.100000,3.990000,4.100000,4.100000,12300
2011-07-01,4.100000,4.100000,4.010000,4.100000,4.100000,12600
2011-07-05,4.100000,4.100000,3.780000,3.920000,3.920000,10200
2011-07-06,3.900000,4.050000,3.900000,3.990000,3.990000,20100
2011-07-07,4.200000,4.400000,4.010000,4.100000,4.100000,89600
2011-07-08,4.180000,4.200000,4.180000,4.190000,4.190000,3100
2011-07-11,4.140000,4.150000,4.120000,4.150000,4.150000,1600
2011-07-12,4.230000,4.230000,4.180000,4.180000,4.180000,3500
2011-07-13,4.250000,4.870000,4.250000,4.660000,4.660000,46300
2011-07-14,4.800000,5.190000,4.650000,5.050000,5.050000,43000
2011-07-15,5.000000,5.500000,4.880000,5.040000,5.040000,40100
