Date,Open,High,Low,Close,Adj Close,Volume
2017-09-20,10.500000,11.310000,10.260000,10.640000,10.640000,456500
2017-09-21,10.550000,10.862000,10.200000,10.250000,10.250000,70800
2017-09-22,10.230000,10.280000,10.000000,10.060000,10.060000,168800
2017-09-25,10.180000,10.190000,9.420000,9.750000,9.750000,76500
2017-09-26,9.860000,10.080000,9.850000,9.850000,9.850000,18600
2017-09-27,10.900000,10.900000,10.000000,10.049000,10.049000,9400
2017-09-28,10.390000,10.390000,9.870000,10.080000,10.080000,17600
2017-09-29,9.820000,10.130000,9.820000,9.970000,9.970000,14300
2017-10-02,10.000000,10.000000,9.919000,9.980000,9.980000,18700
2017-10-03,9.970000,9.980000,9.850000,9.910000,9.910000,61000
2017-10-04,9.890000,9.932000,9.800000,9.900000,9.900000,6600
2017-10-05,9.820000,10.060000,9.800000,10.060000,10.060000,17800
2017-10-06,10.060000,10.080000,9.901000,9.941000,9.941000,8600
2017-10-09,10.023000,10.023000,9.950000,9.950000,9.950000,8800
2017-10-10,10.090000,10.390000,9.950000,10.060000,10.060000,34300
2017-10-11,10.027000,10.110000,10.024000,10.100000,10.100000,5600
2017-10-12,10.000000,10.010000,9.990000,10.010000,10.010000,2100
2017-10-13,10.110000,10.110000,10.000000,10.000000,10.000000,4300
2017-10-16,9.960000,9.980000,9.520000,9.560000,9.560000,17600
2017-10-17,9.550000,9.990000,9.547000,9.710000,9.710000,27400
2017-10-18,9.830000,11.980000,9.830000,11.190000,11.190000,164400
2017-10-19,11.050000,11.220000,10.300000,10.660000,10.660000,61400
2017-10-20,10.760000,10.762000,9.770000,9.990000,9.990000,51500
2017-10-23,9.890000,10.120000,9.010000,9.310000,9.310000,39800
2017-10-24,9.220000,9.960000,9.100000,9.670000,9.670000,27600
2017-10-25,9.500000,10.489000,9.500000,10.100000,10.100000,47000
2017-10-26,10.190000,10.420000,9.549000,9.700000,9.700000,25700
2017-10-27,9.510000,10.190000,9.288000,10.040000,10.040000,36600
2017-10-30,9.840000,9.920000,9.156000,9.510000,9.510000,21000
2017-10-31,9.450000,9.900000,9.161000,9.900000,9.900000,12700
2017-11-01,9.349000,10.000000,9.349000,9.550000,9.550000,16000
2017-11-02,9.608000,9.860000,9.500000,9.560000,9.560000,16600
2017-11-03,9.460000,9.730000,9.380000,9.725000,9.725000,8200
2017-11-06,9.550000,10.100000,9.420000,9.870000,9.870000,19500
2017-11-07,9.600000,10.100000,9.468000,9.830000,9.830000,27000
2017-11-08,10.010000,10.150000,9.881000,10.070000,10.070000,5100
2017-11-09,10.066000,10.130000,9.851000,10.130000,10.130000,2400
2017-11-10,10.050000,10.180000,9.874000,10.180000,10.180000,11300
2017-11-13,10.449000,11.160000,10.437000,10.564000,10.564000,46700
2017-11-14,11.000000,11.200000,10.500000,10.790000,10.790000,9400
2017-11-15,10.670000,10.790000,10.000000,10.400000,10.400000,17800
2017-11-16,10.340000,10.710000,9.110000,10.710000,10.710000,23400
2017-11-17,10.540000,10.910000,9.920000,10.370000,10.370000,12000
2017-11-20,10.260000,10.440000,9.780000,10.430000,10.430000,6500
2017-11-21,10.210000,10.700000,10.000000,10.490000,10.490000,11900
2017-11-22,10.270000,10.500000,10.170000,10.500000,10.500000,10200
2017-11-24,10.291000,10.500000,10.111000,10.500000,10.500000,2000
2017-11-27,10.500000,10.600000,10.380000,10.500000,10.500000,5700
2017-11-28,10.500000,10.745000,10.100000,10.500000,10.500000,26400
2017-11-29,10.480000,10.500000,10.180000,10.190000,10.190000,2900
2017-11-30,10.470000,10.520000,10.357000,10.500000,10.500000,15100
2017-12-01,10.490000,10.520000,10.212000,10.520000,10.520000,3400
2017-12-04,10.520000,10.520000,10.170000,10.500000,10.500000,5700
2017-12-05,10.500000,10.570000,10.440000,10.500000,10.500000,4000
2017-12-06,10.500000,10.620000,10.360000,10.360000,10.360000,8300
2017-12-07,10.490000,10.630000,10.400000,10.410000,10.410000,6000
2017-12-08,10.500000,10.630000,10.210000,10.210000,10.210000,4700
2017-12-11,10.490000,10.670000,10.300000,10.670000,10.670000,21600
2017-12-12,10.490000,10.630000,10.440000,10.620000,10.620000,15700
2017-12-13,10.630000,11.128000,10.390000,10.600000,10.600000,78300
2017-12-14,11.040000,11.040000,10.330000,10.330000,10.330000,34400
2017-12-15,10.450000,10.780000,9.550000,9.560000,9.560000,40300
2017-12-18,9.900000,10.000000,9.130000,9.130000,9.130000,18900
2017-12-19,9.110000,9.530000,8.030000,8.190000,8.190000,31700
2017-12-20,8.350000,9.040000,8.350000,8.850000,8.850000,12400
2017-12-21,8.651000,9.250000,8.651000,9.250000,9.250000,4400
2017-12-22,9.260000,9.260000,8.990000,9.020000,9.020000,3400
2017-12-26,8.680000,8.998000,8.620000,8.800000,8.800000,10600
2017-12-27,8.830000,9.120000,8.650000,8.950000,8.950000,4800
2017-12-28,9.040000,10.254000,8.940000,9.910000,9.910000,85500
2017-12-29,9.970000,10.520000,9.300000,10.520000,10.520000,20700
2018-01-02,10.000000,10.990000,9.180000,9.180000,9.180000,72300
2018-01-03,9.490000,10.610000,9.470000,10.610000,10.610000,79200
2018-01-04,10.440000,10.994000,10.115000,10.520000,10.520000,25000
2018-01-05,10.620000,10.960000,10.230000,10.340000,10.340000,9400
2018-01-08,10.850000,11.710000,9.910000,10.610000,10.610000,10800
2018-01-09,9.870000,10.875000,9.529000,10.200000,10.200000,58100
2018-01-10,10.420000,10.890000,10.050000,10.060000,10.060000,7800
2018-01-11,10.120000,10.735000,10.120000,10.500000,10.500000,15000
2018-01-12,10.070000,10.235000,10.050000,10.050000,10.050000,5700
2018-01-16,10.090000,10.090000,9.543000,9.870000,9.870000,13000
2018-01-17,10.000000,10.000000,9.550000,9.640000,9.640000,6900
2018-01-18,9.540000,9.780000,9.101000,9.780000,9.780000,10000
2018-01-19,9.680000,10.800000,9.530000,10.250000,10.250000,4800
2018-01-22,10.250000,11.000000,9.850000,9.960000,9.960000,19400
2018-01-23,9.960000,9.960000,9.750000,9.750000,9.750000,1100
2018-01-24,9.610000,9.610000,9.550000,9.580000,9.580000,3400
2018-01-25,9.690000,9.927000,9.550000,9.550000,9.550000,5300
2018-01-26,9.817000,10.480000,9.765000,10.050000,10.050000,7900
2018-01-29,10.280000,10.543000,9.700000,9.700000,9.700000,29900
2018-01-30,9.867000,10.040000,9.590000,10.040000,10.040000,5900
2018-01-31,9.670000,9.980000,9.550000,9.980000,9.980000,1100
2018-02-01,9.930000,9.980000,9.560000,9.690000,9.690000,6400
2018-02-02,9.760000,9.760000,9.450000,9.530000,9.530000,5200
2018-02-05,9.420000,9.420000,8.801000,8.850000,8.850000,10300
2018-02-06,9.030000,9.242000,9.030000,9.242000,9.242000,700
2018-02-07,9.910000,9.960000,9.499000,9.660000,9.660000,4800
2018-02-08,9.510000,9.510000,9.100000,9.490000,9.490000,3300
2018-02-09,9.246000,9.590000,9.200000,9.590000,9.590000,3100
2018-02-12,9.280000,9.280000,8.703000,8.910000,8.910000,5800
2018-02-13,9.300000,9.732000,8.840000,9.303000,9.303000,2200
2018-02-14,9.326000,9.326000,8.980000,9.040000,9.040000,3400
2018-02-15,9.753000,9.790000,8.670000,8.810000,8.810000,3100
2018-02-16,8.670000,8.770000,8.620000,8.620000,8.620000,10100
2018-02-20,8.950000,8.950000,8.610000,8.610000,8.610000,900
2018-02-21,8.643000,9.200000,8.643000,8.670000,8.670000,4000
2018-02-22,8.680000,9.140000,8.680000,9.140000,9.140000,2600
2018-02-23,8.670000,8.950000,8.670000,8.950000,8.950000,1600
2018-02-26,9.000000,9.800000,9.000000,9.800000,9.800000,16300
2018-02-27,9.400000,10.210000,9.400000,10.200000,10.200000,58100
2018-02-28,10.000000,10.080000,10.000000,10.080000,10.080000,24400
2018-03-01,9.951000,9.951000,9.900000,9.910000,9.910000,3200
2018-03-02,9.901000,9.953000,9.900000,9.930000,9.930000,8300
2018-03-05,10.010000,10.010000,9.225000,9.260000,9.260000,7300
2018-03-06,9.684000,10.150000,9.650000,9.830000,9.830000,5600
2018-03-07,10.000000,10.110000,9.870000,9.870000,9.870000,1800
2018-03-08,9.990000,9.990000,9.990000,9.990000,9.990000,300
2018-03-09,9.880000,9.980000,9.350000,9.690000,9.690000,11800
2018-03-12,9.600000,9.800000,9.600000,9.800000,9.800000,1100
2018-03-13,10.250000,10.575000,10.180000,10.250000,10.250000,19100
2018-03-14,10.710000,10.900000,10.688000,10.900000,10.900000,9100
2018-03-15,10.893000,11.000000,10.850000,11.000000,11.000000,9400
2018-03-16,10.890000,12.000000,10.890000,11.740000,11.740000,3700
2018-03-19,11.880000,11.880000,10.700000,11.000000,11.000000,61600
2018-03-20,10.950000,10.950000,10.550000,10.850000,10.850000,16500
2018-03-21,10.570000,10.700000,10.120000,10.400000,10.400000,19900
2018-03-22,10.290000,10.600000,10.100000,10.600000,10.600000,30300
2018-03-23,10.467000,10.620000,10.090000,10.240000,10.240000,48700
2018-03-26,10.220000,10.220000,9.920000,9.920000,9.920000,53000
2018-03-27,9.914000,10.000000,9.750000,9.810000,9.810000,17600
2018-03-28,9.990000,10.250000,9.810000,9.870000,9.870000,22600
2018-03-29,9.810000,10.150000,9.810000,10.090000,10.090000,5100
2018-04-02,10.140000,10.140000,9.650000,9.660000,9.660000,8800
2018-04-03,9.780000,10.000000,9.610000,9.630000,9.630000,6800
2018-04-04,9.690000,10.000000,9.690000,9.990000,9.990000,26000
2018-04-05,10.050000,10.050000,9.797000,10.020000,10.020000,8000
2018-04-06,9.920000,9.920000,9.640000,9.890000,9.890000,7000
2018-04-09,9.760000,9.970000,9.760000,9.800000,9.800000,800
2018-04-10,9.870000,11.000000,9.870000,10.060000,10.060000,22200
2018-04-11,10.170000,10.170000,9.880000,9.970000,9.970000,6700
2018-04-12,10.100000,10.100000,9.775000,9.840000,9.840000,18100
2018-04-13,9.840000,9.840000,9.840000,9.840000,9.840000,0
2018-04-16,9.930000,10.300000,9.930000,10.000000,10.000000,5100
2018-04-17,10.150000,10.250000,10.000000,10.030000,10.030000,22200
2018-04-18,10.930000,11.010000,10.070000,10.080000,10.080000,5600
2018-04-19,11.010000,11.040000,10.410000,10.410000,10.410000,2400
2018-04-20,10.320000,10.490000,10.000000,10.100000,10.100000,8200
2018-04-23,10.180000,10.190000,8.990000,8.990000,8.990000,27700
2018-04-24,9.260000,9.301000,8.910000,9.100000,9.100000,15900
2018-04-25,9.040000,9.350000,9.000000,9.200000,9.200000,4200
2018-04-26,9.500000,10.070000,9.480000,9.600000,9.600000,23500
2018-04-27,9.940000,10.390000,9.627000,9.720000,9.720000,18500
