Date,Open,High,Low,Close,Adj Close,Volume
2015-05-07,13.250000,15.010000,12.900000,14.950000,14.950000,3302500
2015-05-08,15.020000,19.480000,15.020000,19.270000,19.270000,655300
2015-05-11,20.209999,21.700001,19.600000,20.750000,20.750000,547900
2015-05-12,21.680000,21.889999,19.240000,21.570000,21.570000,271600
2015-05-13,21.570000,22.000000,18.200001,19.590000,19.590000,373100
2015-05-14,19.190001,21.340000,18.350000,20.580000,20.580000,100400
2015-05-15,21.070000,21.490000,18.884001,20.129999,20.129999,144300
2015-05-18,19.709999,20.230000,18.900000,19.900000,19.900000,93000
2015-05-19,20.389999,20.389999,19.535000,20.100000,20.100000,39100
2015-05-20,20.040001,23.160000,19.080000,22.879999,22.879999,153000
2015-05-21,23.200001,27.820000,22.900000,24.000000,24.000000,184800
2015-05-22,23.760000,25.969999,23.000000,24.709999,24.709999,75500
2015-05-26,25.200001,26.500000,24.030001,25.340000,25.340000,231100
2015-05-27,25.830000,26.850000,23.540001,24.690001,24.690001,160900
2015-05-28,24.219999,25.139999,23.910000,23.980000,23.980000,113600
2015-05-29,23.590000,24.000000,22.129999,22.889999,22.889999,165200
2015-06-01,24.170000,24.270000,22.690001,23.480000,23.480000,110800
2015-06-02,23.610001,26.340000,22.874001,25.240000,25.240000,167300
2015-06-03,24.990000,28.230000,24.360001,27.879999,27.879999,380600
2015-06-04,28.290001,28.290001,26.600000,27.330000,27.330000,63000
2015-06-05,26.840000,27.618000,25.059999,25.870001,25.870001,71500
2015-06-08,25.719999,26.990000,24.750000,24.930000,24.930000,92600
2015-06-09,24.959999,24.959999,21.799999,22.139999,22.139999,155900
2015-06-10,22.580000,23.542000,20.290001,22.540001,22.540001,85800
2015-06-11,22.570000,23.360001,20.753000,21.660000,21.660000,92600
2015-06-12,21.629999,22.930000,21.135000,22.230000,22.230000,91100
2015-06-15,22.000000,23.260000,21.840000,22.650000,22.650000,134700
2015-06-16,22.350000,22.990000,21.750000,21.950001,21.950001,108200
2015-06-17,21.850000,22.975000,21.620001,22.420000,22.420000,64300
2015-06-18,22.270000,23.160000,21.664000,22.090000,22.090000,78700
2015-06-19,22.200001,23.190001,21.610001,21.820000,21.820000,261500
2015-06-22,21.600000,22.910000,21.600000,22.850000,22.850000,91300
2015-06-23,22.850000,22.959999,21.600000,21.940001,21.940001,91500
2015-06-24,21.719999,22.430000,21.719999,21.930000,21.930000,128300
2015-06-25,21.830000,22.370001,19.367001,19.600000,19.600000,263500
2015-06-26,19.459999,20.129999,18.750000,19.660000,19.660000,892400
2015-06-29,19.719999,19.719999,18.510000,18.850000,18.850000,56400
2015-06-30,18.809999,19.180000,18.195000,18.520000,18.520000,43000
2015-07-01,18.469999,18.790001,16.600000,17.000000,17.000000,99100
2015-07-02,17.000000,17.000000,16.160000,16.490000,16.490000,68200
2015-07-06,16.500000,17.020000,15.780000,16.240000,16.240000,61100
2015-07-07,16.170000,16.639999,15.400000,16.160000,16.160000,75700
2015-07-08,16.059999,16.059999,14.760000,14.960000,14.960000,127600
2015-07-09,15.080000,15.662000,15.080000,15.330000,15.330000,58000
2015-07-10,15.630000,18.629999,15.510000,18.360001,18.360001,164200
2015-07-13,18.549999,19.639999,18.400000,19.450001,19.450001,156200
2015-07-14,19.250000,19.346001,17.700001,17.959999,17.959999,126300
2015-07-15,17.850000,17.940001,16.559999,17.490000,17.490000,93400
2015-07-16,17.590000,18.209999,17.389999,17.870001,17.870001,85200
2015-07-17,17.950001,18.709999,16.950001,16.980000,16.980000,127600
2015-07-20,17.209999,17.209999,15.820000,15.990000,15.990000,107900
2015-07-21,16.100000,16.100000,15.450000,15.800000,15.800000,64100
2015-07-22,15.720000,17.165001,15.720000,16.700001,16.700001,109200
2015-07-23,17.500000,17.587999,16.420000,16.670000,16.670000,128600
2015-07-24,16.660000,18.340000,15.326000,17.709999,17.709999,145100
2015-07-27,17.570000,17.809999,17.114000,17.520000,17.520000,30200
2015-07-28,17.209999,19.490000,17.200001,18.910000,18.910000,137400
2015-07-29,18.799999,18.809999,17.459999,17.639999,17.639999,113600
2015-07-30,17.455999,18.610001,17.455999,18.139999,18.139999,56900
2015-07-31,18.299999,19.308001,17.650000,18.750000,18.750000,80600
2015-08-03,18.670000,20.299999,18.410000,19.490000,19.490000,79000
2015-08-04,19.620001,20.427000,19.620001,19.879999,19.879999,46600
2015-08-05,20.160000,21.000000,19.709999,20.850000,20.850000,57900
2015-08-06,20.840000,20.840000,18.250000,18.750000,18.750000,78000
2015-08-07,18.750000,19.000000,18.520000,18.520000,18.520000,43700
2015-08-10,18.590000,18.590000,17.910000,18.129999,18.129999,67300
2015-08-11,18.010000,18.010000,16.770000,17.059999,17.059999,52500
2015-08-12,17.020000,17.450001,16.330000,17.030001,17.030001,31000
2015-08-13,16.980000,17.040001,14.630000,14.760000,14.760000,81200
