Date,Open,High,Low,Close,Adj Close,Volume
2014-06-18,9.250000,9.990000,8.540000,9.090000,9.090000,521500
2014-06-19,8.780000,8.830000,8.170000,8.450000,8.450000,55300
2014-06-20,8.410000,8.410000,7.550000,8.360000,8.360000,56900
2014-06-23,8.200000,8.200000,7.760000,7.840000,7.840000,6500
2014-06-24,7.850000,8.050000,7.720000,7.900000,7.900000,4500
2014-06-25,7.800000,7.800000,7.450000,7.450000,7.450000,6300
2014-06-26,7.370000,7.460000,7.100000,7.300000,7.300000,10700
2014-06-27,7.210000,7.500000,7.100000,7.171000,7.171000,4700
2014-06-30,7.210000,7.600000,7.050000,7.050000,7.050000,12500
2014-07-01,7.030000,7.420000,6.600000,6.618000,6.618000,7500
2014-07-02,6.650000,7.350000,6.650000,7.010000,7.010000,11700
2014-07-03,7.405000,7.405000,7.390000,7.390000,7.390000,1500
2014-07-07,7.350000,7.350000,6.940000,6.940000,6.940000,3100
2014-07-08,7.080000,7.100000,6.020000,6.300000,6.300000,25800
2014-07-09,6.230000,6.230000,6.020000,6.040000,6.040000,4900
2014-07-10,6.200000,6.200000,5.640000,5.901000,5.901000,6300
2014-07-11,6.690000,6.690000,5.750000,5.920000,5.920000,12400
2014-07-14,5.920000,5.920000,5.090000,5.320000,5.320000,28600
2014-07-15,5.280000,5.850000,5.170000,5.720000,5.720000,22200
2014-07-16,5.740000,5.756000,5.150000,5.590000,5.590000,12900
2014-07-17,5.550000,5.628000,5.550000,5.600000,5.600000,6600
2014-07-18,5.600000,5.600000,5.600000,5.600000,5.600000,900
2014-07-21,5.630000,5.630000,5.580000,5.600000,5.600000,6100
2014-07-22,5.622000,5.650000,5.550000,5.600000,5.600000,5500
2014-07-23,5.600000,6.740000,5.490000,6.430000,6.430000,152000
2014-07-24,6.600000,9.050000,6.270000,6.370000,6.370000,715600
2014-07-25,6.060000,6.350000,5.850000,6.020000,6.020000,31900
2014-07-28,6.380000,6.380000,5.610000,6.130000,6.130000,10200
2014-07-29,5.781000,6.440000,5.781000,6.298000,6.298000,10700
2014-07-30,6.010000,6.095000,5.990000,5.990000,5.990000,3500
2014-07-31,5.910000,6.300000,5.620000,5.920000,5.920000,4000
2014-08-01,5.620000,5.720000,5.501000,5.510000,5.510000,3000
2014-08-04,5.560000,5.600000,5.013000,5.090000,5.090000,13700
2014-08-05,5.040000,5.040000,4.700000,4.760000,4.760000,6100
2014-08-06,4.580000,4.970000,4.580000,4.630000,4.630000,13300
2014-08-07,4.640000,4.640000,4.231000,4.350000,4.350000,6400
2014-08-08,4.430000,4.580000,4.430000,4.500000,4.500000,2200
2014-08-11,4.500000,4.500000,4.210000,4.210000,4.210000,2600
2014-08-12,4.490000,4.830000,4.300000,4.750000,4.750000,15300
2014-08-13,4.990000,4.990000,4.610000,4.750000,4.750000,6100
2014-08-14,4.970000,5.000000,4.896000,4.900000,4.900000,2600
2014-08-15,5.030000,5.360000,4.950000,5.200000,5.200000,9800
2014-08-18,5.350000,5.647000,5.350000,5.565000,5.565000,8500
2014-08-19,5.550000,5.550000,4.648000,4.822000,4.822000,9900
2014-08-20,4.850000,5.320000,4.850000,5.280000,5.280000,1300
2014-08-21,5.248000,5.260000,5.030000,5.260000,5.260000,1500
2014-08-22,5.080000,5.080000,4.730000,4.917000,4.917000,6600
2014-08-25,5.020000,5.020000,4.730000,4.730000,4.730000,5800
2014-08-26,4.820000,4.820000,4.120000,4.510000,4.510000,22500
2014-08-27,4.780000,4.780000,4.289000,4.730000,4.730000,5000
2014-08-28,4.340000,4.620000,4.340000,4.470000,4.470000,4200
2014-08-29,4.450000,4.590000,4.200000,4.540000,4.540000,900
2014-09-02,4.530000,4.790000,4.500000,4.730000,4.730000,2600
2014-09-03,4.700000,4.700000,4.370000,4.660000,4.660000,2800
2014-09-04,4.500000,4.580000,4.230000,4.580000,4.580000,10900
2014-09-05,4.490000,4.750000,4.400000,4.400000,4.400000,5000
2014-09-08,4.430000,4.850000,4.140000,4.700000,4.700000,17600
2014-09-09,5.400000,6.160000,5.100000,5.400000,5.400000,111300
2014-09-10,5.600000,5.600000,5.057000,5.220000,5.220000,14900
2014-09-11,5.010000,5.280000,4.800000,4.830000,4.830000,15400
2014-09-12,5.060000,5.060000,4.750000,4.990000,4.990000,10100
2014-09-15,5.020000,5.130000,4.510000,4.910000,4.910000,15700
2014-09-16,4.710000,5.080000,4.700000,4.840000,4.840000,6400
2014-09-17,4.760000,5.040000,4.760000,4.940000,4.940000,1900
2014-09-18,5.040000,5.040000,4.680000,4.690000,4.690000,5300
2014-09-19,4.610000,4.920000,4.500000,4.500000,4.500000,9800
2014-09-22,4.640000,5.010000,4.640000,4.740000,4.740000,3400
2014-09-23,4.740000,4.850000,4.600000,4.600000,4.600000,7300
2014-09-24,4.500000,4.720000,4.500000,4.720000,4.720000,11600
2014-09-25,4.500000,4.770000,4.500000,4.770000,4.770000,2800
2014-09-26,4.560000,4.630000,4.510000,4.580000,4.580000,4400
2014-09-29,4.500000,4.601000,4.500000,4.601000,4.601000,1800
2014-09-30,4.500000,4.530000,4.500000,4.500000,4.500000,1900
2014-10-01,4.500000,5.000000,4.500000,5.000000,5.000000,3400
2014-10-02,4.660000,4.800000,4.510000,4.510000,4.510000,3700
2014-10-03,4.550000,4.830000,4.550000,4.768000,4.768000,4600
2014-10-06,4.780000,4.780000,4.500000,4.500000,4.500000,14200
2014-10-07,4.500000,4.525000,4.500000,4.500000,4.500000,800
2014-10-08,4.500000,4.500000,4.500000,4.500000,4.500000,2000
2014-10-09,4.500000,4.500000,4.500000,4.500000,4.500000,3100
2014-10-10,4.390000,4.390000,4.140000,4.290000,4.290000,1700
2014-10-13,4.010000,4.010000,4.010000,4.010000,4.010000,200
2014-10-14,4.100000,4.100000,3.170000,3.450000,3.450000,11000
2014-10-15,3.250000,3.490000,3.250000,3.250000,3.250000,4500
2014-10-16,3.280000,3.490000,3.260000,3.360000,3.360000,5200
2014-10-17,3.320000,3.460000,3.250000,3.450000,3.450000,12600
2014-10-20,3.460000,3.460000,3.310000,3.310000,3.310000,2200
2014-10-21,3.310000,3.310000,3.310000,3.310000,3.310000,0
2014-10-22,3.390000,3.390000,3.390000,3.390000,3.390000,100
2014-10-23,3.270000,3.270000,2.970000,3.170000,3.170000,2800
2014-10-24,3.210000,3.383000,3.210000,3.383000,3.383000,2400
2014-10-27,3.270000,3.310000,3.270000,3.310000,3.310000,1300
2014-10-28,3.270000,3.350000,3.270000,3.350000,3.350000,600
2014-10-29,3.230000,3.230000,2.910000,2.920000,2.920000,2400
2014-10-30,3.190000,3.210000,3.000000,3.000000,3.000000,3200
2014-10-31,3.001000,3.200000,2.926000,3.200000,3.200000,600
2014-11-03,3.200000,3.200000,3.200000,3.200000,3.200000,0
2014-11-04,2.900000,3.040000,2.740000,2.900000,2.900000,8200
