Date,Open,High,Low,Close,Adj Close,Volume
2016-11-18,5.520000,5.900000,5.150000,5.590000,5.590000,122600
2016-11-21,5.950000,5.960000,5.530000,5.650000,5.650000,132200
2016-11-22,5.840000,5.890000,5.250000,5.670000,5.670000,89800
2016-11-23,5.920000,6.090000,5.800000,6.025000,6.025000,82300
2016-11-25,6.020000,6.050000,5.850000,6.030000,6.030000,6700
2016-11-28,6.021000,6.021000,5.720000,5.820000,5.820000,19100
2016-11-29,5.790000,5.790000,5.400000,5.650000,5.650000,65600
2016-11-30,5.630000,5.630000,5.370000,5.500000,5.500000,54500
2016-12-01,5.370000,5.647000,5.250000,5.290000,5.290000,15100
2016-12-02,5.592000,5.665000,5.300000,5.500000,5.500000,3900
2016-12-05,5.600000,5.702000,5.460000,5.550000,5.550000,19000
2016-12-06,5.540000,5.650000,5.500000,5.650000,5.650000,9800
2016-12-07,5.650000,5.700000,5.420000,5.690000,5.690000,27500
2016-12-08,5.636000,5.950000,5.610000,5.770000,5.770000,31500
2016-12-09,5.800000,5.940000,5.630000,5.630000,5.630000,13400
2016-12-12,5.560000,5.650000,5.560000,5.650000,5.650000,2600
2016-12-13,5.700000,5.700000,5.530000,5.530000,5.530000,3000
2016-12-14,5.690000,5.717000,5.560000,5.650000,5.650000,4700
2016-12-15,5.650000,5.650000,5.640000,5.650000,5.650000,5400
2016-12-16,5.650000,6.000000,5.650000,6.000000,6.000000,11700
2016-12-19,6.010000,6.119000,5.990000,6.010000,6.010000,6900
2016-12-20,6.060000,6.150000,6.050000,6.147000,6.147000,7500
2016-12-21,6.200000,6.395000,6.100000,6.200000,6.200000,29900
2016-12-22,6.200000,6.200000,6.200000,6.200000,6.200000,0
2016-12-23,6.216000,6.270000,6.216000,6.235000,6.235000,7200
2016-12-27,6.300000,6.300000,6.299000,6.300000,6.300000,1000
2016-12-28,6.150000,6.230000,6.150000,6.230000,6.230000,600
2016-12-29,6.020000,6.020000,6.020000,6.020000,6.020000,200
2016-12-30,6.280000,6.300000,6.030000,6.191000,6.191000,2500
2017-01-03,5.940000,6.020000,5.940000,5.979000,5.979000,3500
2017-01-04,6.160000,6.180000,6.150000,6.150000,6.150000,500
2017-01-05,6.140000,6.140000,6.140000,6.140000,6.140000,200
2017-01-06,5.980000,6.050000,5.719000,6.050000,6.050000,3700
2017-01-09,6.042000,6.500000,6.042000,6.250000,6.250000,7100
2017-01-10,6.140000,6.140000,5.992000,5.992000,5.992000,5300
2017-01-11,6.010000,6.010000,5.986000,5.986000,5.986000,1700
2017-01-12,5.900000,5.900000,5.470000,5.880000,5.880000,5500
2017-01-13,5.880000,5.880000,5.880000,5.880000,5.880000,0
2017-01-17,5.960000,6.149000,5.360000,6.020000,6.020000,3100
2017-01-18,6.020000,6.040000,5.980000,6.040000,6.040000,2000
2017-01-19,6.100000,6.119000,6.049000,6.110000,6.110000,7700
2017-01-20,6.250000,6.410000,6.230000,6.270000,6.270000,31000
2017-01-23,6.450000,6.650000,6.390000,6.570000,6.570000,4400
2017-01-24,6.570000,6.620000,6.500000,6.570000,6.570000,5200
2017-01-25,6.600000,6.650000,6.570000,6.650000,6.650000,9700
2017-01-26,6.621000,6.621000,6.621000,6.621000,6.621000,700
2017-01-27,6.621000,6.621000,6.621000,6.621000,6.621000,0
2017-01-30,6.130000,6.250000,6.080000,6.250000,6.250000,2600
2017-01-31,6.560000,6.560000,6.521000,6.521000,6.521000,300
2017-02-01,6.570000,6.690000,6.540000,6.670000,6.670000,2400
2017-02-02,6.652000,6.652000,6.611000,6.611000,6.611000,1400
2017-02-03,6.620000,6.620000,6.620000,6.620000,6.620000,100
2017-02-06,6.560000,6.620000,6.536000,6.620000,6.620000,900
2017-02-07,6.500000,6.550000,6.400000,6.550000,6.550000,6100
2017-02-08,6.340000,6.532000,6.340000,6.532000,6.532000,900
2017-02-09,6.118000,6.540000,6.118000,6.540000,6.540000,2500
2017-02-10,6.550000,6.550000,6.550000,6.550000,6.550000,1100
2017-02-13,6.500000,6.570000,6.500000,6.540000,6.540000,3500
2017-02-14,6.545000,6.560000,6.490000,6.560000,6.560000,1400
2017-02-15,6.567000,6.580000,6.500000,6.500000,6.500000,4600
2017-02-16,6.400000,6.400000,6.200000,6.390000,6.390000,2500
2017-02-17,6.390000,6.390000,6.384000,6.384000,6.384000,900
2017-02-21,6.210000,6.300000,6.073000,6.300000,6.300000,1000
2017-02-22,6.350000,6.350000,6.280000,6.300000,6.300000,300
2017-02-23,6.300000,6.350000,6.300000,6.350000,6.350000,1200
2017-02-24,6.260000,6.320000,6.160000,6.320000,6.320000,2100
2017-02-27,6.019000,6.240000,6.019000,6.240000,6.240000,700
2017-02-28,6.150000,6.150000,6.083000,6.083000,6.083000,700
2017-03-01,6.000000,6.000000,6.000000,6.000000,6.000000,900
2017-03-02,6.000000,6.000000,6.000000,6.000000,6.000000,0
2017-03-03,5.849000,6.200000,5.849000,6.200000,6.200000,1100
2017-03-06,6.200000,6.200000,6.200000,6.200000,6.200000,1500
2017-03-07,6.100000,6.100000,6.050000,6.050000,6.050000,200
2017-03-08,6.060000,6.060000,5.800000,5.880000,5.880000,10200
2017-03-09,5.880000,5.880000,5.880000,5.880000,5.880000,0
2017-03-10,5.910000,5.910000,5.910000,5.910000,5.910000,200
2017-03-13,5.997000,6.000000,5.930000,5.950000,5.950000,2800
2017-03-14,5.950000,5.950000,5.950000,5.950000,5.950000,0
2017-03-15,5.950000,5.950000,5.950000,5.950000,5.950000,0
2017-03-16,5.979000,5.979000,5.979000,5.979000,5.979000,200
2017-03-17,6.100000,6.190000,6.100000,6.190000,6.190000,13900
2017-03-20,6.231000,6.500000,6.200000,6.300000,6.300000,2700
2017-03-21,6.230000,6.230000,6.200000,6.230000,6.230000,1600
2017-03-22,6.200000,6.200000,6.200000,6.200000,6.200000,300
2017-03-23,6.230000,6.230000,6.210000,6.210000,6.210000,400
2017-03-24,6.210000,6.210000,6.120000,6.120000,6.120000,1300
2017-03-27,6.120000,6.120000,6.120000,6.120000,6.120000,0
2017-03-28,6.130000,6.130000,6.130000,6.130000,6.130000,200
2017-03-29,6.100000,6.100000,6.100000,6.100000,6.100000,100
2017-03-30,6.070000,6.090000,5.880000,5.980000,5.980000,3400
2017-03-31,6.250000,6.250000,6.060000,6.060000,6.060000,900
2017-04-03,6.130000,6.150000,6.091000,6.100000,6.100000,3700
2017-04-04,6.100000,6.210000,6.100000,6.140000,6.140000,9900
2017-04-05,6.390000,6.459000,6.310000,6.400000,6.400000,11300
2017-04-06,6.500000,6.800000,6.500000,6.760000,6.760000,59800
2017-04-07,6.960000,7.151000,6.750000,6.929000,6.929000,9200
2017-04-10,7.150000,7.300000,7.150000,7.300000,7.300000,10300
2017-04-11,7.339000,7.350000,7.030000,7.040000,7.040000,5600
2017-04-12,7.000000,7.000000,6.935000,6.966000,6.966000,800
2017-04-13,7.150000,7.166000,7.062000,7.150000,7.150000,3500
2017-04-17,7.150000,7.180000,7.124000,7.180000,7.180000,1200
