Date,Open,High,Low,Close,Adj Close,Volume
2015-08-04,6.000000,6.020000,5.580000,6.000000,6.000000,345600
2015-08-05,5.900000,6.030000,5.900000,6.030000,6.030000,112000
2015-08-06,6.190000,6.190000,5.980000,6.100000,6.100000,76100
2015-08-07,6.150000,6.150000,5.940000,5.990000,5.990000,38500
2015-08-10,6.150000,6.150000,5.985000,6.080000,6.080000,103000
2015-08-11,6.170000,6.170000,5.950000,6.040000,6.040000,88100
2015-08-12,6.010000,6.030000,5.950000,6.030000,6.030000,8900
2015-08-13,6.150000,6.150000,6.010000,6.082000,6.082000,49800
2015-08-14,6.100000,6.100000,6.040000,6.100000,6.100000,29600
2015-08-17,6.120000,6.120000,5.980000,6.100000,6.100000,14900
2015-08-18,6.050000,6.090000,6.000000,6.090000,6.090000,8800
2015-08-19,5.950000,6.050000,5.790000,6.050000,6.050000,19600
2015-08-20,5.970000,6.050000,5.840000,6.030000,6.030000,22600
2015-08-21,5.710000,6.120000,5.570000,5.940000,5.940000,48200
2015-08-24,5.260000,5.630000,5.260000,5.630000,5.630000,29300
2015-08-25,5.750000,5.900000,5.620000,5.790000,5.790000,21800
2015-08-26,5.640000,5.750000,5.430000,5.750000,5.750000,54500
2015-08-27,5.640000,5.680000,5.530000,5.680000,5.680000,3900
2015-08-28,5.540000,5.750000,5.520000,5.750000,5.750000,17600
2015-08-31,5.450000,5.550000,5.400000,5.550000,5.550000,53900
2015-09-01,5.490000,5.540000,5.380000,5.520000,5.520000,5000
2015-09-02,5.735000,5.740000,5.620000,5.690000,5.690000,10000
2015-09-03,5.590000,5.700000,5.510000,5.700000,5.700000,5700
2015-09-04,5.550000,5.670000,5.500000,5.670000,5.670000,5800
2015-09-08,5.650000,5.670000,5.620000,5.650000,5.650000,8900
2015-09-09,5.510000,5.600000,5.510000,5.600000,5.600000,17600
2015-09-10,5.590000,5.650000,5.500000,5.650000,5.650000,6300
2015-09-11,5.650000,5.660000,5.580000,5.640000,5.640000,6300
2015-09-14,5.660000,5.830000,5.620000,5.830000,5.830000,2800
2015-09-15,5.760000,5.890000,5.720000,5.840000,5.840000,3100
2015-09-16,5.960000,5.990000,5.900000,5.990000,5.990000,10300
2015-09-17,5.830000,5.970000,5.760000,5.970000,5.970000,10700
2015-09-18,5.990000,6.190000,5.820000,6.190000,6.190000,50600
2015-09-21,6.040000,6.100000,5.940000,5.970000,5.970000,52800
2015-09-22,5.940000,5.940000,5.840000,5.930000,5.930000,3300
2015-09-23,5.900000,5.920000,5.840000,5.910000,5.910000,1800
2015-09-24,5.920000,5.930000,5.800000,5.930000,5.930000,6800
2015-09-25,5.880000,5.920000,5.880000,5.880000,5.880000,5700
2015-09-28,5.830000,5.830000,5.590000,5.670000,5.670000,37100
2015-09-29,5.650000,5.840000,5.650000,5.770000,5.770000,2900
2015-09-30,5.610000,5.660000,5.500000,5.600000,5.600000,12700
2015-10-01,5.550000,5.550000,5.410000,5.510000,5.510000,8800
2015-10-02,5.360000,5.650000,5.360000,5.610000,5.610000,17400
2015-10-05,5.700000,5.710000,5.610000,5.690000,5.690000,7700
2015-10-06,5.470000,5.650000,5.400000,5.540000,5.540000,18600
2015-10-07,5.487000,5.510000,5.450000,5.510000,5.510000,4900
2015-10-08,5.460000,5.540000,5.420000,5.540000,5.540000,600
2015-10-09,5.521000,5.550000,5.521000,5.550000,5.550000,1600
2015-10-12,5.446000,6.090000,5.440000,6.090000,6.090000,6800
2015-10-13,5.510000,5.600000,5.510000,5.590000,5.590000,38700
2015-10-14,5.557000,5.580000,5.500000,5.580000,5.580000,7600
2015-10-15,5.570000,5.680000,5.560000,5.680000,5.680000,6100
2015-10-16,5.660000,5.660000,5.610000,5.660000,5.660000,700
2015-10-19,5.600000,5.700000,5.590000,5.630000,5.630000,5700
2015-10-20,5.570000,5.640000,5.570000,5.640000,5.640000,12800
2015-10-21,5.580000,5.640000,5.560000,5.640000,5.640000,11900
2015-10-22,5.650000,5.890000,5.600000,5.860000,5.860000,11800
2015-10-23,5.990000,5.990000,5.740000,5.870000,5.870000,21700
2015-10-26,5.810000,5.910000,5.770000,5.770000,5.770000,7600
2015-10-27,5.780000,5.930000,5.780000,5.930000,5.930000,5700
2015-10-28,5.840000,5.930000,5.750000,5.930000,5.930000,14100
2015-10-29,5.760000,5.890000,5.760000,5.890000,5.890000,7000
2015-10-30,5.800000,5.890000,5.760000,5.870000,5.870000,11500
2015-11-02,5.840000,5.920000,5.840000,5.920000,5.920000,2100
2015-11-03,5.878000,5.910000,5.710000,5.890000,5.890000,6400
2015-11-04,5.800000,5.840000,5.740000,5.840000,5.840000,8500
2015-11-05,5.760000,5.820000,5.730000,5.780000,5.780000,5600
2015-11-06,5.690000,5.820000,5.670000,5.780000,5.780000,15400
2015-11-09,5.630000,5.785000,5.630000,5.760000,5.760000,20400
2015-11-10,5.800000,5.940000,5.760000,5.850000,5.850000,7200
2015-11-11,5.880000,5.950000,5.860000,5.930000,5.930000,5400
2015-11-12,5.930000,6.000000,5.870000,5.940000,5.940000,40100
2015-11-13,5.810000,6.150000,5.810000,6.000000,6.000000,5800
2015-11-16,5.810000,5.810000,5.810000,5.810000,5.810000,200
2015-11-17,5.890000,6.000000,5.890000,5.920000,5.920000,34900
2015-11-18,6.110000,6.120000,5.620000,5.900000,5.900000,126800
2015-11-19,5.790000,5.890000,5.625000,5.820000,5.820000,24000
