Date,Open,High,Low,Close,Adj Close,Volume
2014-07-24,6.000000,6.000000,5.280000,5.300000,5.300000,1176300
2014-07-25,5.600000,5.900000,5.450000,5.800000,5.800000,606700
2014-07-28,5.830000,6.000000,5.550000,5.690000,5.690000,291200
2014-07-29,5.670000,5.750000,5.590000,5.620000,5.620000,113300
2014-07-30,5.510000,5.940000,5.490000,5.850000,5.850000,291100
2014-07-31,5.820000,5.900000,5.650000,5.850000,5.850000,138400
2014-08-01,5.750000,5.900000,5.589000,5.850000,5.850000,112100
2014-08-04,5.900000,5.940000,5.750000,5.800000,5.800000,78500
2014-08-05,5.800000,6.160000,5.772000,5.990000,5.990000,101000
2014-08-06,5.800000,6.330000,5.800000,6.150000,6.150000,115300
2014-08-07,6.060000,6.300000,6.060000,6.190000,6.190000,49900
2014-08-08,6.300000,6.400000,6.200000,6.250000,6.250000,58000
2014-08-11,6.201000,6.490000,6.201000,6.335000,6.335000,42200
2014-08-12,6.360000,6.360000,6.200000,6.260000,6.260000,25300
2014-08-13,6.200000,6.290000,6.139000,6.250000,6.250000,29500
2014-08-14,6.570000,6.570000,6.300000,6.350000,6.350000,17500
2014-08-15,6.570000,6.570000,6.390000,6.500000,6.500000,42200
2014-08-18,6.400000,6.590000,6.250000,6.500000,6.500000,91200
2014-08-19,6.510000,6.510000,6.280000,6.450000,6.450000,63700
2014-08-20,6.400000,6.400000,6.250000,6.320000,6.320000,26400
2014-08-21,6.320000,6.320000,6.000000,6.070000,6.070000,36400
2014-08-22,6.160000,6.280000,6.000000,6.270000,6.270000,39300
2014-08-25,6.160000,6.388000,6.160000,6.340000,6.340000,21500
2014-08-26,6.350000,6.400000,6.280000,6.400000,6.400000,45400
2014-08-27,6.400000,6.400000,6.260000,6.270000,6.270000,11000
2014-08-28,6.251000,6.290000,6.050000,6.200000,6.200000,42300
2014-08-29,6.150000,6.450000,6.097000,6.450000,6.450000,13800
