Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.990000,6.990000,6.780000,6.900000,6.900000,855100
2010-01-05,7.110000,7.120000,7.000000,7.120000,7.120000,934400
2010-01-06,7.410000,7.720000,7.280000,7.660000,7.660000,1319800
2010-01-07,7.920000,7.990000,7.650000,7.680000,7.680000,1138100
2010-01-08,7.690000,7.690000,7.270000,7.350000,7.350000,671700
2010-01-11,7.530000,7.720000,7.360000,7.640000,7.640000,531500
2010-01-12,7.690000,7.700000,7.330000,7.460000,7.460000,413400
2010-01-13,7.700000,7.700000,7.380000,7.630000,7.630000,424300
2010-01-14,7.750000,7.750000,7.550000,7.580000,7.580000,261700
2010-01-15,7.730000,7.750000,7.370000,7.400000,7.400000,371900
2010-01-19,7.430000,7.460000,7.220000,7.310000,7.310000,738600
2010-01-20,7.400000,7.400000,7.080000,7.150000,7.150000,344000
2010-01-21,7.230000,7.340000,6.980000,6.980000,6.980000,490500
2010-01-22,7.050000,7.100000,6.950000,7.000000,7.000000,354800
2010-01-25,7.830000,7.830000,7.260000,7.370000,7.370000,1821200
2010-01-26,7.510000,7.510000,6.980000,7.030000,7.030000,1126500
2010-01-27,7.250000,7.360000,7.060000,7.110000,7.110000,502000
2010-01-28,7.200000,7.200000,6.980000,6.990000,6.990000,574700
2010-01-29,7.100000,7.100000,6.820000,6.850000,6.850000,457100
2010-02-01,6.870000,7.060000,6.850000,7.050000,7.050000,410900
2010-02-02,6.720000,6.880000,6.500000,6.870000,6.870000,1369200
2010-02-03,6.880000,6.980000,6.700000,6.760000,6.760000,288100
2010-02-04,6.760000,7.000000,6.650000,6.810000,6.810000,568000
2010-02-05,6.970000,6.970000,6.630000,6.810000,6.810000,312500
2010-02-08,6.860000,6.900000,6.670000,6.900000,6.900000,300700
2010-02-09,7.000000,7.160000,6.940000,7.100000,7.100000,413800
2010-02-10,7.170000,7.220000,7.030000,7.190000,7.190000,311700
2010-02-11,7.230000,7.570000,6.880000,6.880000,6.880000,990000
2010-02-12,6.850000,7.110000,6.570000,7.060000,7.060000,446300
2010-02-16,7.240000,7.240000,7.050000,7.100000,7.100000,383500
2010-02-17,7.120000,7.120000,6.980000,7.030000,7.030000,238000
2010-02-18,7.140000,7.140000,6.920000,7.000000,7.000000,198800
2010-02-19,6.930000,7.020000,6.900000,7.010000,7.010000,161600
2010-02-22,7.070000,7.090000,6.910000,6.960000,6.960000,226900
2010-02-23,6.960000,6.960000,6.750000,6.920000,6.920000,348100
2010-02-24,6.850000,6.970000,6.800000,6.900000,6.900000,207900
2010-02-25,6.750000,6.900000,6.710000,6.870000,6.870000,338100
2010-02-26,6.900000,6.940000,6.760000,6.760000,6.760000,271100
2010-03-01,6.710000,6.950000,6.700000,6.930000,6.930000,471200
2010-03-02,6.900000,7.380000,6.900000,7.250000,7.250000,826500
2010-03-03,7.350000,7.750000,7.300000,7.530000,7.530000,690400
2010-03-04,7.730000,7.800000,7.570000,7.700000,7.700000,515800
2010-03-05,7.790000,7.800000,7.420000,7.480000,7.480000,511100
2010-03-08,7.550000,7.550000,7.050000,7.200000,7.200000,511300
2010-03-09,7.140000,7.200000,7.080000,7.120000,7.120000,318800
2010-03-10,7.220000,7.360000,6.960000,7.130000,7.130000,417200
2010-03-11,7.190000,7.190000,7.000000,7.180000,7.180000,298900
2010-03-12,7.250000,7.250000,7.020000,7.030000,7.030000,118700
2010-03-15,7.080000,7.130000,6.900000,7.040000,7.040000,261300
