Date,Open,High,Low,Close,Adj Close,Volume
2012-10-09,4.440000,4.440000,4.240000,4.380000,4.380000,35600
2012-10-10,4.350000,4.350000,4.150000,4.150000,4.150000,20400
2012-10-11,4.290000,4.290000,4.020000,4.150000,4.150000,51200
2012-10-12,4.400000,4.400000,4.200000,4.240000,4.240000,4800
2012-10-15,4.260000,4.380000,4.200000,4.240000,4.240000,57100
2012-10-16,4.250000,4.340000,4.150000,4.200000,4.200000,50100
2012-10-17,4.210000,4.250000,4.160000,4.190000,4.190000,56700
2012-10-18,4.100000,4.460000,4.100000,4.460000,4.460000,135600
2012-10-19,4.220000,4.940000,4.220000,4.720000,4.720000,287000
2012-10-22,4.920000,4.920000,4.510000,4.800000,4.800000,25400
2012-10-23,4.840000,4.900000,4.620000,4.840000,4.840000,19800
2012-10-24,4.950000,5.390000,4.840000,5.120000,5.120000,48200
2012-10-25,5.200000,5.240000,5.070000,5.140000,5.140000,60100
2012-10-26,5.100000,5.110000,5.050000,5.110000,5.110000,18000
2012-10-31,5.200000,5.200000,4.320000,4.780000,4.780000,35000
2012-11-01,5.220000,5.220000,4.900000,4.990000,4.990000,13700
2012-11-02,4.950000,5.020000,4.760000,4.760000,4.760000,9000
2012-11-05,4.860000,5.190000,4.400000,5.030000,5.030000,43400
2012-11-06,5.010000,5.070000,4.840000,5.000000,5.000000,20100
2012-11-07,4.900000,5.000000,4.700000,4.970000,4.970000,17300
2012-11-08,4.990000,5.000000,4.750000,4.750000,4.750000,10700
2012-11-09,4.850000,5.000000,4.610000,4.910000,4.910000,35300
2012-11-12,4.650000,5.000000,4.650000,4.900000,4.900000,29800
2012-11-13,4.700000,4.700000,4.700000,4.700000,4.700000,600
2012-11-14,4.800000,4.890000,4.640000,4.870000,4.870000,26000
2012-11-15,4.590000,4.790000,4.500000,4.740000,4.740000,10000
2012-11-16,4.500000,4.820000,4.390000,4.690000,4.690000,39700
2012-11-19,4.480000,4.690000,4.420000,4.640000,4.640000,35400
2012-11-20,4.500000,4.530000,4.250000,4.350000,4.350000,23400
2012-11-21,4.350000,4.520000,4.350000,4.510000,4.510000,27600
2012-11-23,4.500000,4.790000,4.500000,4.790000,4.790000,4000
2012-11-26,4.690000,4.790000,4.440000,4.700000,4.700000,7100
2012-11-27,4.660000,4.770000,4.530000,4.740000,4.740000,5100
2012-11-28,4.460000,4.740000,4.150000,4.340000,4.340000,48000
2012-11-29,4.590000,4.750000,4.350000,4.750000,4.750000,30800
2012-11-30,5.030000,5.030000,4.650000,4.750000,4.750000,16800
2012-12-03,4.830000,4.830000,4.650000,4.810000,4.810000,10600
2012-12-04,4.830000,4.830000,4.510000,4.690000,4.690000,28200
2012-12-05,4.720000,4.850000,4.480000,4.600000,4.600000,34500
2012-12-06,4.630000,4.700000,4.470000,4.700000,4.700000,15700
2012-12-07,4.680000,4.750000,4.410000,4.470000,4.470000,20600
2012-12-10,4.730000,4.730000,4.400000,4.640000,4.640000,29600
2012-12-11,4.490000,4.690000,4.410000,4.440000,4.440000,19300
2012-12-12,4.420000,4.640000,4.240000,4.600000,4.600000,13800
