Date,Open,High,Low,Close,Adj Close,Volume
2010-01-05,13.814600,13.963000,13.469300,13.963000,13.963000,261
2010-01-06,14.377400,14.377400,13.338100,13.707600,13.707600,246
2010-01-07,13.500400,13.503800,13.338100,13.338100,13.338100,261
2010-01-08,13.735200,13.735200,13.534900,13.534900,13.534900,159
2010-01-11,7.750000,7.750000,7.750000,7.750000,7.750000,155
2010-01-12,13.811100,13.814600,13.465800,13.465800,13.465800,620
2010-01-13,null,null,null,null,null,null
2010-01-14,14.936700,14.936700,14.601800,14.601800,14.601800,869
2010-01-15,15.796500,15.796500,15.261300,15.261300,15.261300,478
2010-01-19,7.900000,7.900000,7.900000,7.900000,7.900000,40
2010-01-20,18.016600,18.645000,18.016600,18.645000,18.645000,724
2010-01-21,18.969601,18.969601,16.262600,16.262600,16.262600,1866
2010-01-22,18.610500,18.610500,18.610500,18.610500,18.610500,2896
2010-01-25,null,null,null,null,null,null
2010-01-26,18.714100,18.714100,17.985500,18.310101,18.310101,375
2010-01-27,17.954500,19.242399,17.263901,19.242399,19.242399,1274
2010-01-28,20.941099,21.890600,20.941099,21.890600,21.890600,605
2010-01-29,20.026100,20.026100,20.026100,20.026100,20.026100,290
2010-02-01,18.990299,19.660101,18.645000,19.660101,19.660101,1308
2010-02-02,null,null,null,null,null,null
2010-02-03,19.446100,19.446100,19.446100,19.446100,19.446100,14
2010-02-04,19.805201,20.026100,19.805201,20.026100,20.026100,1014
2010-02-05,20.544100,21.649000,20.129700,21.649000,21.649000,1568
2010-02-08,22.108200,22.401600,20.847900,20.847900,20.847900,1274
2010-02-09,21.787100,22.028700,21.787100,22.028700,22.028700,159
2010-02-10,null,null,null,null,null,null
2010-02-11,22.346399,23.068001,22.346399,22.443100,22.443100,811
2010-02-12,22.753799,24.442200,22.384399,24.442200,24.442200,2357
2010-02-16,13.120600,24.048599,23.703400,24.048599,24.048599,1260
2010-02-17,13.120600,23.133600,21.638599,22.974800,22.974800,2505
2010-02-18,13.120600,23.285601,21.963200,21.997700,21.997700,1570
2010-02-19,13.120600,22.349899,22.336100,22.343000,22.343000,1043
2010-02-22,13.120600,26.006399,23.361500,24.635599,24.635599,1347
2010-02-23,13.120600,26.241100,24.245399,25.664499,25.664499,1138
2010-02-24,13.120600,25.136299,24.728800,25.060301,25.060301,796
2010-02-25,13.120600,25.191500,24.860001,25.191500,25.191500,443
2010-02-26,13.120600,25.353800,25.046499,25.046499,25.046499,405
2010-03-01,13.120600,29.987400,25.253700,29.987400,29.987400,1810
2010-03-02,13.120600,28.934299,27.504900,27.587700,27.587700,681
2010-03-03,13.120600,29.738800,27.570499,27.577400,27.577400,724
2010-03-04,13.120600,29.303801,26.617500,29.303801,29.303801,1245
2010-03-05,13.120600,31.454800,29.618000,29.618000,29.618000,2129
2010-03-08,7.500000,7.500000,7.500000,7.500000,7.500000,260
2010-03-09,29.521299,30.039200,29.521299,30.039200,30.039200,898
2010-03-10,13.120600,30.788500,30.370701,30.370701,30.370701,1332
2010-03-11,13.120600,32.110901,30.384501,31.192400,31.192400,3056
2010-03-12,13.120600,32.390499,30.681400,32.390499,32.390499,455
2010-03-15,13.120600,32.041801,31.351299,31.351299,31.351299,319
2010-03-16,13.120600,32.066002,31.727600,32.066002,32.066002,290
2010-03-17,13.120600,30.560600,30.249800,30.249800,30.249800,58
2010-03-18,13.120600,31.917500,29.904600,31.917500,31.917500,2259
2010-03-19,29.735399,30.021900,29.735399,30.021900,30.021900,275
2010-03-22,13.120600,30.318899,29.932199,29.932199,29.932199,434
2010-03-23,13.120600,30.004700,25.664499,25.664499,25.664499,1166
2010-03-24,13.120600,25.730101,22.836700,25.412500,25.412500,796
2010-03-25,13.120600,25.274401,24.860001,24.860001,24.860001,720
2010-03-26,13.120600,27.056000,25.205299,27.056000,27.056000,116
2010-03-29,13.120600,26.893700,24.169500,26.893700,26.893700,58
2010-03-30,13.120600,28.965401,28.675400,28.965401,28.965401,434
2010-03-31,13.120600,31.465200,30.384501,31.113001,31.113001,1535
2010-04-01,13.120600,31.075001,31.075001,31.075001,31.075001,290
2010-04-05,13.120600,33.205399,32.190300,33.205399,33.205399,348
2010-04-06,13.120600,34.700500,32.977501,34.527802,34.527802,1115
2010-04-07,13.120600,35.332298,29.414200,29.414200,29.414200,2410
2010-04-08,13.120600,29.252001,27.708599,28.053900,28.053900,817
2010-04-09,13.120600,29.348600,27.901899,28.644300,28.644300,503
2010-04-12,28.502701,28.502701,27.712000,28.495800,28.495800,232
2010-04-13,27.939899,27.960600,26.690001,27.718901,27.718901,377
2010-04-14,13.120600,27.166500,27.107800,27.107800,27.107800,35
2010-04-15,13.120600,26.241100,25.291599,25.291599,25.291599,324
2010-04-16,27.608400,27.701700,27.035299,27.035299,27.035299,159
2010-04-19,7.400000,7.400000,7.250500,7.400000,7.400000,220
2010-04-20,13.120600,27.453100,27.428900,27.449600,27.449600,579
2010-04-21,13.120600,27.587700,26.179001,26.189400,26.189400,321
2010-04-22,13.120600,25.626600,24.010700,24.010700,24.010700,636
2010-04-23,13.120600,26.752199,24.963600,26.752199,26.752199,565
2010-04-26,null,null,null,null,null,null
2010-04-27,13.120600,25.378000,25.378000,25.378000,25.378000,87
2010-04-28,13.120600,28.140200,26.068501,28.140200,28.140200,544
2010-04-29,13.120600,28.709900,28.665001,28.665001,28.665001,159
2010-04-30,13.120600,28.595900,28.595900,28.595900,28.595900,36
2010-05-03,13.120600,27.069799,27.069799,27.069799,27.069799,43
2010-05-04,13.120600,27.456499,27.104300,27.104300,27.104300,72
2010-05-05,13.120600,26.317101,26.317101,26.317101,26.317101,29
2010-05-06,13.120600,27.622299,27.449600,27.622299,27.622299,600
2010-05-07,7.350000,7.350000,7.350000,7.350000,7.350000,20
2010-05-10,null,null,null,null,null,null
2010-05-11,7.000000,7.150000,7.000000,7.150000,7.150000,80
2010-05-12,13.120600,28.968800,28.968800,28.968800,28.968800,348
2010-05-13,13.120600,30.039200,28.640800,28.640800,28.640800,434
2010-05-14,13.120600,26.600201,26.600201,26.600201,26.600201,168
2010-05-17,null,null,null,null,null,null
2010-05-18,13.120600,24.787500,24.787500,24.787500,24.787500,9
2010-05-19,13.120600,24.870399,24.839300,24.839300,24.839300,145
2010-05-20,13.120600,24.500900,23.917400,24.500900,24.500900,290
2010-05-21,13.120600,24.687401,22.726200,23.893200,23.893200,1216
2010-05-24,null,null,null,null,null,null
2010-05-25,7.000000,7.000000,6.900000,6.900000,6.900000,420
2010-05-26,13.120600,22.567400,22.201401,22.201401,22.201401,159
2010-05-27,13.120600,23.827700,23.081900,23.827700,23.827700,579
2010-05-28,13.120600,22.881599,22.881599,22.881599,22.881599,64
2010-06-01,13.120600,24.386999,22.757299,23.119801,23.119801,1060
2010-06-02,13.120600,24.107300,22.629499,24.107300,24.107300,786
2010-06-03,13.120600,24.721901,24.014099,24.721901,24.721901,536
2010-06-04,13.120600,23.634300,23.634300,23.634300,23.634300,29
2010-06-07,13.120600,23.012800,23.012800,23.012800,23.012800,101
2010-06-08,13.120600,22.097799,21.790501,22.097799,22.097799,174
2010-06-09,13.120600,22.443100,22.270500,22.270500,22.270500,145
2010-06-10,13.120600,22.443100,21.752501,22.443100,22.443100,3041
2010-06-11,13.120600,21.452101,21.407200,21.452101,21.452101,145
2010-06-14,13.120600,22.398199,21.407200,21.407200,21.407200,2027
2010-06-15,13.120600,20.361099,20.361099,20.361099,20.361099,14
2010-06-16,7.000000,7.000000,7.000000,7.000000,7.000000,100
2010-06-17,13.120600,19.642900,19.632500,19.632500,19.632500,290
2010-06-18,13.120600,19.995100,19.995100,19.995100,19.995100,579
2010-06-21,13.120600,19.867300,19.819000,19.819000,19.819000,35
2010-06-22,13.120600,21.586800,21.131001,21.586800,21.586800,652
2010-06-23,13.120600,20.709801,20.057199,20.074499,20.074499,1101
2010-06-24,13.120600,21.017099,21.010201,21.010201,21.010201,290
2010-06-25,null,null,null,null,null,null
2010-06-28,13.120600,21.838900,21.493601,21.838900,21.838900,58
2010-06-29,21.182800,21.182800,20.519899,21.096500,21.096500,1051
2010-06-30,null,null,null,null,null,null
2010-07-01,null,null,null,null,null,null
2010-07-02,null,null,null,null,null,null
2010-07-06,19.836201,20.026100,18.645000,18.765900,18.765900,694
2010-07-07,18.192699,18.192699,18.192699,18.192699,18.192699,58
2010-07-08,18.399900,19.680901,18.399900,19.680901,19.680901,348
2010-07-09,null,null,null,null,null,null
2010-07-12,19.484100,19.484100,19.484100,19.484100,19.484100,290
2010-07-13,19.853500,19.853500,19.853500,19.853500,19.853500,58
2010-07-14,19.912201,19.912201,19.912201,19.912201,19.912201,29
2010-07-15,null,null,null,null,null,null
2010-07-16,19.197500,19.197500,18.817699,19.197500,19.197500,434
2010-07-19,19.121500,19.121500,19.121500,19.121500,19.121500,58
2010-07-20,18.134001,18.134001,18.134001,18.134001,18.134001,23
2010-07-21,19.332100,19.332100,19.332100,19.332100,19.332100,58
2010-07-22,18.827999,20.108999,18.827999,20.108999,20.108999,1216
2010-07-23,19.421900,19.421900,19.421900,19.421900,19.421900,58
2010-07-26,19.867300,20.312700,19.867300,20.312700,20.312700,72
2010-07-27,20.564800,20.564800,20.457701,20.457701,20.457701,145
2010-07-28,21.925200,21.925200,21.925200,21.925200,21.925200,290
2010-07-29,23.133600,26.869600,23.133600,26.869600,26.869600,507
2010-07-30,26.904100,26.904100,26.904100,26.904100,26.904100,7
2010-08-02,null,null,null,null,null,null
2010-08-03,6.600000,6.600500,6.600000,6.600500,6.600500,200
2010-08-04,27.587700,27.718901,25.605801,25.947701,25.947701,442
2010-08-05,25.329599,27.760401,25.329599,27.760401,27.760401,318
2010-08-06,6.450000,6.750000,6.450000,6.749500,6.749500,364
2010-08-09,27.729300,27.729300,27.729300,27.729300,27.729300,14
2010-08-10,null,null,null,null,null,null
2010-08-11,null,null,null,null,null,null
2010-08-12,24.963600,25.315800,24.960199,24.970501,24.970501,377
2010-08-13,null,null,null,null,null,null
2010-08-16,26.244600,33.543800,26.244600,33.543800,33.543800,420
2010-08-17,27.287300,28.647699,27.287300,27.864000,27.864000,434
2010-08-18,27.743099,27.743099,27.622299,27.622299,27.622299,594
2010-08-19,27.622299,27.622299,27.214800,27.277000,27.277000,245
2010-08-20,null,null,null,null,null,null
2010-08-23,28.133301,28.312799,28.122900,28.122900,28.122900,171
2010-08-24,26.831600,28.171200,26.831600,28.171200,28.171200,319
2010-08-25,27.014601,27.014601,26.690001,27.014601,27.014601,151
2010-08-26,27.380600,27.397800,27.380600,27.397800,27.397800,434
2010-08-27,28.506201,30.936899,28.506201,30.595100,30.595100,138
2010-08-30,32.145401,32.145401,32.141899,32.141899,32.141899,145
2010-08-31,31.668900,33.198502,31.195900,33.198502,33.198502,637
2010-09-01,13.120600,32.249001,32.162701,32.249001,32.249001,182
2010-09-02,33.164001,33.492001,33.164001,33.398800,33.398800,125
2010-09-03,13.120600,32.963699,31.368500,31.368500,31.368500,295
2010-09-07,13.120600,33.243401,32.497601,32.497601,32.497601,579
2010-09-08,33.146702,33.146702,32.835999,33.146702,33.146702,261
2010-09-09,null,null,null,null,null,null
2010-09-10,32.525200,37.186501,32.525200,37.186501,37.186501,1825
2010-09-13,39.323700,40.663399,39.323700,40.604698,40.604698,666
2010-09-14,41.626701,41.626701,39.154499,41.139900,41.139900,886
2010-09-15,39.327202,39.327202,38.722900,38.722900,38.722900,142
2010-09-16,40.880901,40.880901,39.016399,40.711800,40.711800,895
2010-09-17,39.299599,40.860199,39.299599,40.860199,40.860199,232
2010-09-20,40.259399,40.622002,39.948700,40.622002,40.622002,1775
2010-09-21,39.403099,40.211102,33.605900,37.483398,37.483398,1864
2010-09-22,35.197701,36.944801,35.197701,36.944801,36.944801,620
2010-09-23,38.716000,38.716000,36.212799,36.530399,36.530399,157
2010-09-24,36.254200,36.254200,35.083698,35.083698,35.083698,414
2010-09-27,35.218399,35.535999,33.112202,33.792400,33.792400,1274
2010-09-28,34.182499,34.372501,33.492001,33.692200,33.692200,1043
2010-09-29,33.820000,33.837299,33.492001,33.492001,33.492001,484
2010-09-30,35.083698,35.580898,33.747501,35.580898,35.580898,61
2010-10-01,35.663799,35.663799,34.890400,35.425499,35.425499,333
2010-10-04,null,null,null,null,null,null
2010-10-05,33.733700,34.634899,33.733700,34.396599,34.396599,2042
2010-10-06,null,null,null,null,null,null
2010-10-07,35.819199,35.819199,33.664600,33.664600,33.664600,290
2010-10-08,null,null,null,null,null,null
2010-10-11,null,null,null,null,null,null
2010-10-12,null,null,null,null,null,null
2010-10-13,33.298599,33.298599,32.904999,33.146702,33.146702,449
2010-10-14,35.090599,36.274899,35.090599,36.219700,36.219700,594
2010-10-15,null,null,null,null,null,null
2010-10-18,null,null,null,null,null,null
2010-10-19,null,null,null,null,null,null
2010-10-20,33.940800,34.255100,33.516201,33.940800,33.940800,811
2010-10-21,37.314201,37.314201,35.363400,35.363400,35.363400,333
2010-10-22,35.584400,35.584400,35.584400,35.584400,35.584400,58
2010-10-25,37.290100,37.290100,36.955101,36.955101,36.955101,58
2010-10-26,5.950000,6.150000,5.800000,6.150000,6.150000,1986
2010-10-27,5.750000,5.750000,5.750000,5.750000,5.750000,20
2010-10-28,null,null,null,null,null,null
2010-10-29,34.351700,34.969799,33.982300,33.982300,33.982300,362
2010-11-01,null,null,null,null,null,null
2010-11-02,null,null,null,null,null,null
2010-11-03,40.138599,40.138599,40.138599,40.138599,40.138599,29
2010-11-04,null,null,null,null,null,null
2010-11-05,40.045399,40.397499,38.291401,40.397499,40.397499,2546
2010-11-08,null,null,null,null,null,null
2010-11-09,5.700000,5.700000,5.500000,5.500000,5.500000,1522
2010-11-10,null,null,null,null,null,null
