Date,Open,High,Low,Close,Adj Close,Volume
2014-10-01,6.020000,6.130000,5.850000,5.850000,5.850000,1242300
2014-10-02,6.000000,6.000000,5.800000,5.850000,5.850000,24000
2014-10-03,5.990000,6.100000,5.250000,6.100000,6.100000,21500
2014-10-06,5.950000,6.050000,5.850000,6.050000,6.050000,18600
2014-10-07,6.050000,6.560000,6.000000,6.560000,6.560000,39900
2014-10-08,6.880000,6.880000,6.150000,6.690000,6.690000,21400
2014-10-09,6.210000,6.500000,6.000000,6.150000,6.150000,25600
2014-10-10,6.000000,6.180000,6.000000,6.180000,6.180000,5500
2014-10-13,6.500000,6.500000,5.900000,6.010000,6.010000,11600
2014-10-14,5.910000,6.080000,5.900000,5.900000,5.900000,4100
2014-10-15,6.780000,7.290000,6.000000,6.040000,6.040000,1500
2014-10-16,5.950000,6.100000,5.950000,5.950000,5.950000,6700
2014-10-17,6.370000,6.830000,6.370000,6.490000,6.490000,3300
2014-10-20,6.550000,6.550000,6.410000,6.500000,6.500000,4700
2014-10-21,6.450000,6.450000,6.450000,6.450000,6.450000,300
2014-10-22,6.100000,6.100000,5.960000,6.000000,6.000000,600
2014-10-23,6.050000,6.490000,5.850000,6.110000,6.110000,58100
2014-10-24,6.160000,6.430000,6.020000,6.430000,6.430000,51500
2014-10-27,6.200000,6.740000,6.000000,6.600000,6.600000,49600
2014-10-28,6.660000,6.900000,6.316000,6.770000,6.770000,26800
2014-10-29,6.650000,6.840000,6.550000,6.800000,6.800000,41600
2014-10-30,6.730000,7.400000,6.730000,6.950000,6.950000,70000
2014-10-31,6.970000,7.200000,6.501000,6.720000,6.720000,7800
2014-11-03,6.720000,6.750000,6.500000,6.500000,6.500000,1100
2014-11-04,6.540000,6.601000,6.510000,6.600000,6.600000,5400
2014-11-05,6.600000,6.600000,6.600000,6.600000,6.600000,0
2014-11-06,6.500000,6.904000,6.400000,6.420000,6.420000,10800
2014-11-07,6.557000,6.870000,6.030000,6.080000,6.080000,11300
2014-11-10,6.030000,6.430000,6.030000,6.070000,6.070000,11800
2014-11-11,6.400000,6.411000,6.150000,6.150000,6.150000,3600
2014-11-12,6.160000,6.400000,6.160000,6.350000,6.350000,7900
2014-11-13,6.450000,7.557000,6.250000,6.937000,6.937000,27300
2014-11-14,7.350000,7.350000,6.200000,6.200000,6.200000,6300
