Date,Open,High,Low,Close,Adj Close,Volume
2012-01-27,11.000000,11.470000,10.750000,11.090000,11.090000,747800
2012-01-30,10.620000,11.400000,10.620000,11.400000,11.400000,88900
2012-01-31,11.100000,11.150000,10.050000,10.960000,10.960000,110900
2012-02-01,11.180000,11.190000,10.740000,11.000000,11.000000,12100
2012-02-02,11.200000,11.200000,10.650000,11.000000,11.000000,62700
2012-02-03,11.050000,11.150000,10.840000,11.140000,11.140000,42300
2012-02-06,11.180000,11.180000,10.660000,10.940000,10.940000,46800
2012-02-07,10.710000,11.150000,10.710000,10.930000,10.930000,5000
2012-02-08,10.900000,11.180000,10.880000,11.000000,11.000000,15700
2012-02-09,11.010000,11.110000,10.800000,10.880000,10.880000,13700
2012-02-10,10.880000,10.900000,10.360000,10.900000,10.900000,48600
2012-02-13,11.390000,11.630000,10.810000,11.320000,11.320000,34800
2012-02-14,11.270000,11.570000,10.630000,11.390000,11.390000,29800
2012-02-15,11.030000,11.540000,11.030000,11.340000,11.340000,19500
2012-02-16,11.750000,11.750000,11.290000,11.580000,11.580000,9100
2012-02-17,11.550000,11.750000,11.440000,11.520000,11.520000,29900
2012-02-21,11.590000,11.610000,10.780000,11.010000,11.010000,4400
2012-02-22,11.070000,11.440000,10.750000,11.050000,11.050000,3900
2012-02-23,10.950000,11.850000,10.950000,11.300000,11.300000,10200
2012-02-24,11.190000,11.530000,10.500000,10.860000,10.860000,10500
2012-02-27,11.820000,11.820000,10.730000,11.500000,11.500000,2400
2012-02-28,11.850000,11.850000,11.020000,11.600000,11.600000,3300
2012-02-29,11.500000,11.700000,11.030000,11.600000,11.600000,3100
2012-03-01,11.700000,11.700000,11.010000,11.300000,11.300000,10500
2012-03-02,11.670000,11.700000,11.030000,11.700000,11.700000,4800
2012-03-05,11.700000,11.700000,11.140000,11.160000,11.160000,17300
2012-03-06,11.160000,11.160000,10.780000,11.100000,11.100000,7100
2012-03-07,11.260000,11.800000,10.730000,10.860000,10.860000,39500
2012-03-08,10.940000,11.990000,10.800000,10.820000,10.820000,30100
2012-03-09,10.850000,11.500000,10.710000,11.230000,11.230000,13000
2012-03-12,11.390000,11.390000,10.900000,11.360000,11.360000,13600
2012-03-13,11.330000,11.500000,10.900000,11.200000,11.200000,17800
2012-03-14,10.970000,11.400000,10.910000,11.000000,11.000000,16200
2012-03-15,11.030000,12.240000,11.030000,12.010000,12.010000,53700
2012-03-16,12.210000,12.210000,10.950000,11.050000,11.050000,51900
2012-03-19,11.140000,11.400000,11.020000,11.020000,11.020000,6500
2012-03-20,10.990000,11.370000,10.950000,11.070000,11.070000,9000
2012-03-21,11.050000,11.150000,10.510000,10.700000,10.700000,20100
2012-03-22,10.710000,10.750000,10.060000,10.640000,10.640000,23900
2012-03-23,10.560000,10.950000,10.560000,10.930000,10.930000,5900
2012-03-26,10.790000,10.950000,10.500000,10.870000,10.870000,11400
2012-03-27,10.950000,10.950000,10.420000,10.740000,10.740000,31600
2012-03-28,10.660000,10.880000,10.520000,10.850000,10.850000,20000
2012-03-29,10.780000,10.900000,10.500000,10.630000,10.630000,35400
2012-03-30,10.630000,11.110000,10.580000,10.930000,10.930000,516800
2012-04-02,10.940000,11.120000,10.650000,10.910000,10.910000,36500
2012-04-03,10.940000,10.940000,10.520000,10.730000,10.730000,14400
2012-04-04,10.640000,10.940000,10.550000,10.610000,10.610000,12400
2012-04-05,10.630000,10.720000,10.590000,10.590000,10.590000,3000
2012-04-09,10.500000,10.770000,10.490000,10.770000,10.770000,16800
2012-04-10,10.700000,10.980000,10.560000,10.590000,10.590000,76400
2012-04-11,10.780000,11.270000,10.570000,11.110000,11.110000,24700
2012-04-12,11.090000,11.370000,10.990000,11.000000,11.000000,17500
2012-04-13,10.710000,10.900000,10.600000,10.600000,10.600000,9900
2012-04-16,10.620000,10.620000,10.180000,10.280000,10.280000,8800
2012-04-17,10.390000,10.500000,10.100000,10.170000,10.170000,6000
2012-04-18,10.150000,10.350000,10.040000,10.070000,10.070000,59600
2012-04-19,10.170000,10.250000,9.820000,9.820000,9.820000,11000
2012-04-20,10.160000,10.160000,9.840000,9.890000,9.890000,16900
2012-04-23,9.770000,9.800000,9.710000,9.790000,9.790000,17800
2012-04-24,9.780000,9.950000,9.780000,9.950000,9.950000,3000
2012-04-25,10.000000,10.260000,9.830000,9.900000,9.900000,15300
2012-04-26,9.900000,9.990000,9.650000,9.900000,9.900000,13200
2012-04-27,9.960000,10.010000,9.900000,9.900000,9.900000,27000
2012-04-30,9.830000,10.400000,9.230000,10.380000,10.380000,70400
2012-05-01,10.230000,11.330000,10.230000,10.550000,10.550000,19000
2012-05-02,10.550000,10.720000,10.220000,10.720000,10.720000,4700
2012-05-03,10.680000,10.680000,9.780000,9.940000,9.940000,17800
2012-05-04,9.940000,10.600000,9.100000,9.490000,9.490000,9000
2012-05-07,9.540000,10.250000,9.100000,10.000000,10.000000,11900
2012-05-08,9.970000,10.190000,9.850000,9.990000,9.990000,14600
2012-05-09,9.830000,10.080000,9.670000,9.670000,9.670000,2700
2012-05-10,9.800000,10.200000,9.620000,9.880000,9.880000,4100
2012-05-11,9.820000,10.200000,8.890000,9.940000,9.940000,6700
2012-05-14,9.520000,10.020000,9.360000,9.530000,9.530000,7900
2012-05-15,10.000000,10.000000,9.440000,9.690000,9.690000,9300
2012-05-16,10.000000,10.000000,9.390000,9.720000,9.720000,5300
2012-05-17,9.440000,10.000000,9.440000,9.830000,9.830000,4700
2012-05-18,9.790000,10.000000,9.410000,9.730000,9.730000,13000
2012-05-21,9.880000,10.000000,9.450000,10.000000,10.000000,4800
2012-05-22,9.970000,10.000000,9.430000,9.580000,9.580000,4900
2012-05-23,9.800000,9.800000,9.450000,9.520000,9.520000,9600
2012-05-24,9.520000,9.890000,9.250000,9.530000,9.530000,5400
2012-05-25,9.520000,9.570000,9.320000,9.320000,9.320000,3400
2012-05-29,9.500000,9.500000,9.500000,9.500000,9.500000,1100
2012-05-30,9.390000,9.560000,9.310000,9.330000,9.330000,2700
2012-05-31,9.490000,10.700000,9.490000,10.040000,10.040000,38900
2012-06-01,10.010000,10.010000,9.400000,9.460000,9.460000,8600
2012-06-04,9.510000,10.620000,9.510000,9.860000,9.860000,1300
2012-06-05,9.850000,11.580000,9.540000,10.140000,10.140000,17100
2012-06-06,9.660000,10.750000,9.500000,10.520000,10.520000,25900
2012-06-07,10.610000,10.610000,9.910000,10.060000,10.060000,6900
2012-06-08,9.700000,10.690000,9.700000,10.070000,10.070000,4300
2012-06-11,10.130000,10.250000,9.340000,9.340000,9.340000,36200
2012-06-12,9.480000,9.940000,9.350000,9.890000,9.890000,12500
2012-06-13,9.800000,9.940000,9.310000,9.380000,9.380000,5200
2012-06-14,9.320000,10.440000,9.320000,10.440000,10.440000,3200
2012-06-15,10.240000,10.730000,9.970000,10.200000,10.200000,17800
2012-06-18,10.190000,10.360000,9.430000,10.060000,10.060000,7200
2012-06-19,10.120000,10.450000,10.120000,10.450000,10.450000,5300
2012-06-20,10.430000,10.430000,10.000000,10.200000,10.200000,1500
2012-06-21,10.210000,10.240000,9.900000,9.910000,9.910000,5000
2012-06-22,10.000000,10.320000,9.640000,9.800000,9.800000,137500
2012-06-25,9.660000,10.490000,9.380000,10.000000,10.000000,11800
