Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.100000,18.166666,17.996666,18.166666,17.640350,272400
2010-01-05,18.170000,18.336666,18.120001,18.236666,17.708323,591000
2010-01-06,18.233334,18.500000,18.233334,18.480000,17.944601,548400
2010-01-07,18.506666,18.593334,18.346666,18.480000,17.944601,256800
2010-01-08,18.466667,18.563334,18.330000,18.563334,18.025524,589500
2010-01-11,18.670000,18.716667,18.486666,18.663334,18.122631,559500
2010-01-12,18.356667,18.590000,18.303333,18.426666,17.892818,750000
2010-01-13,18.480000,18.736666,18.400000,18.696667,18.154999,476400
2010-01-14,18.666666,18.770000,18.613333,18.709999,18.167944,1649100
2010-01-15,18.683332,18.709999,18.303333,18.383333,17.850740,858600
2010-01-19,18.416666,18.799999,18.403334,18.799999,18.255339,634200
2010-01-20,18.736666,18.833334,18.389999,18.696667,18.154999,642900
2010-01-21,18.686666,18.750000,18.296667,18.389999,17.857214,1025100
2010-01-22,18.366667,18.566668,18.240000,18.356667,17.824848,1026000
2010-01-25,18.426666,18.493334,18.156666,18.280001,17.750404,460800
2010-01-26,18.340000,18.573334,18.256666,18.406666,17.873400,833400
2010-01-27,18.376667,18.663334,18.323334,18.660000,18.119396,883500
2010-01-28,18.623333,18.639999,18.306667,18.393333,17.860447,537000
2010-01-29,18.453333,18.646667,18.423334,18.426666,17.892818,721200
2010-02-01,18.466667,18.639999,18.420000,18.620001,18.080549,473100
2010-02-02,18.766666,19.146667,18.593334,19.146667,18.591957,1623900
2010-02-03,19.173334,19.223333,18.950001,19.209999,18.653460,1722600
2010-02-04,18.993334,19.066668,18.276667,18.326666,17.795713,1146300
2010-02-05,18.383333,18.616667,17.813334,18.306667,17.776297,1239000
2010-02-08,18.273333,18.343334,18.083334,18.160000,17.633879,429600
2010-02-09,18.340000,18.576666,18.216667,18.383333,17.850740,346200
2010-02-10,18.243334,18.430000,18.070000,18.333334,17.802195,468900
2010-02-11,18.280001,18.709999,18.056667,18.636667,18.096733,1296000
2010-02-12,18.540001,18.896667,18.496666,18.896667,18.349207,1101000
2010-02-16,19.053333,19.086666,18.726667,18.963333,18.413937,409800
2010-02-17,19.059999,19.320000,18.963333,19.303333,18.744087,972600
2010-02-18,19.320000,19.333334,19.016666,19.056667,18.504570,809100
2010-02-19,19.000000,19.150000,18.893333,19.066668,18.514278,344400
2010-02-22,19.133333,19.150000,18.876667,18.933332,18.384808,253500
2010-02-23,18.913334,18.983334,18.576666,18.593334,18.054661,741300
2010-02-24,18.680000,18.806667,18.606667,18.670000,18.129103,324900
2010-02-25,18.500000,18.646667,18.396667,18.636667,18.096733,947700
2010-02-26,18.670000,18.833334,18.549999,18.770000,18.226208,273300
2010-03-01,19.173334,19.763334,19.163334,19.756666,19.184288,1111800
2010-03-02,19.793333,19.983334,19.690001,19.906666,19.329943,488400
2010-03-03,19.566668,19.610001,19.413334,19.459999,18.896215,878100
2010-03-04,19.476667,19.483334,19.250000,19.330000,18.769978,269400
2010-03-05,19.426666,19.683332,19.423334,19.680000,19.109848,1598700
2010-03-08,19.703333,19.766666,19.623333,19.726667,19.155157,620100
2010-03-09,19.723333,20.006666,19.700001,19.883333,19.307285,901800
2010-03-10,19.916666,20.209999,19.916666,20.116667,19.533861,1581600
2010-03-11,20.083334,20.303333,19.920000,20.299999,19.711880,1161900
2010-03-12,20.476667,20.476667,19.950001,20.146667,19.562986,1421700
2010-03-15,20.396667,20.473333,20.200001,20.430000,19.838116,1177200
2010-03-16,20.520000,20.520000,20.383333,20.496666,19.902853,522900
2010-03-17,20.510000,20.536667,20.376667,20.416666,19.825169,442500
2010-03-18,20.379999,20.443333,20.273333,20.360001,19.770144,397800
2010-03-19,20.256666,20.466667,20.243334,20.256666,19.669804,1092300
2010-03-22,20.093334,20.486666,20.043333,20.386667,19.796034,1034400
2010-03-23,20.423334,20.703333,20.366667,20.683332,20.084103,777300
2010-03-24,20.633333,20.696667,20.443333,20.459999,19.867243,843600
2010-03-25,20.559999,20.690001,20.270000,20.286667,19.698936,899400
2010-03-26,20.313334,20.423334,20.023333,20.126667,19.543570,667500
2010-03-29,20.240000,20.270000,20.170000,20.223333,19.637430,577200
2010-03-30,20.233334,20.233334,20.020000,20.113333,19.530621,456300
2010-03-31,20.086666,20.250000,19.953333,19.983334,19.404387,764100
2010-04-01,20.100000,20.293333,20.020000,20.150000,19.566223,1036800
2010-04-05,20.226667,20.406666,20.150000,20.363333,19.773375,368100
2010-04-06,20.340000,20.456667,20.333334,20.353333,19.763670,335400
2010-04-07,20.360001,20.413334,20.116667,20.250000,19.663328,793200
2010-04-08,20.180000,20.440001,20.043333,20.383333,19.792793,217200
2010-04-09,20.370001,20.389999,20.183332,20.343334,19.753956,950100
2010-04-12,20.393333,20.393333,20.206667,20.303333,19.715118,786900
2010-04-13,20.273333,20.403334,20.223333,20.299999,19.711880,861300
2010-04-14,20.336666,20.530001,20.296667,20.530001,19.935217,607200
2010-04-15,20.520000,20.583334,20.400000,20.476667,19.883427,315600
2010-04-16,20.453333,20.483334,20.100000,20.303333,19.715118,1087200
2010-04-19,20.250000,20.403334,19.953333,20.129999,19.546804,600000
2010-04-20,20.123333,20.190001,19.953333,20.190001,19.605062,332100
2010-04-21,20.246666,20.246666,19.743334,19.850000,19.274918,827100
2010-04-22,19.613333,19.746666,19.353333,19.696667,19.126028,494400
2010-04-23,19.723333,20.059999,19.706667,20.033333,19.452936,464100
2010-04-26,20.013334,20.209999,19.886667,19.886667,19.310520,695700
2010-04-27,19.803333,20.110001,19.606667,19.636667,19.067762,720600
2010-04-28,19.673334,19.790001,19.610001,19.703333,19.132494,682200
2010-04-29,19.823334,20.663334,19.823334,20.283333,19.695700,2505000
2010-04-30,20.186666,20.530001,20.116667,20.116667,19.533861,831000
2010-05-03,20.163334,20.500000,20.106667,20.446667,19.854298,594900
2010-05-04,20.156666,20.163334,19.760000,19.866667,19.291100,1065000
2010-05-05,19.650000,19.650000,18.943333,19.416666,18.854132,1266600
2010-05-06,19.276667,19.360001,15.670000,18.610001,18.070839,2456700
2010-05-07,18.420000,18.740000,17.516666,17.840000,17.323147,2981100
2010-05-10,18.173334,18.896667,18.173334,18.523333,17.986689,2140500
2010-05-11,18.299999,19.026667,18.250000,18.766666,18.222965,1343100
2010-05-12,18.799999,19.233334,18.793333,19.209999,18.653460,838200
2010-05-13,19.226667,19.346666,19.053333,19.116667,18.562824,756600
2010-05-14,18.923334,19.000000,18.480000,18.713333,18.171179,990600
2010-05-17,18.806667,18.893333,18.350000,18.776667,18.232679,1103400
2010-05-18,18.896667,19.006666,18.556667,18.620001,18.080549,1551300
2010-05-19,18.563334,18.763334,18.266666,18.503334,17.967264,979200
2010-05-20,18.076666,18.186666,17.733334,17.740000,17.226046,1120800
2010-05-21,17.459999,18.170000,17.446667,17.799999,17.284306,912000
2010-05-24,17.750000,18.026667,17.670000,17.726667,17.213100,808800
2010-05-25,17.393333,17.713333,17.013334,17.693333,17.180731,1768800
2010-05-26,17.760000,18.116667,17.606667,17.646667,17.135418,786900
2010-05-27,17.980000,18.113333,17.860001,18.093334,17.569141,609300
2010-05-28,18.066668,18.306667,17.946667,18.043333,17.520588,705900
2010-06-01,17.993334,18.266666,17.773333,17.806667,17.290781,864000
2010-06-02,17.856667,18.563334,17.856667,18.559999,18.022289,726300
2010-06-03,18.680000,18.753334,18.469999,18.743334,18.200314,880500
2010-06-04,18.410000,18.500000,17.873333,17.946667,17.426727,1103700
2010-06-07,18.170000,18.263334,17.563334,17.580000,17.070681,1095900
2010-06-08,17.563334,17.753334,17.083334,17.326666,16.824690,1147800
2010-06-09,17.403334,17.596666,17.166666,17.219999,16.721111,862500
2010-06-10,17.523333,17.823334,17.373333,17.820000,17.303732,732300
2010-06-11,17.690001,18.143333,17.656666,18.139999,17.614456,466200
2010-06-14,18.113333,18.493334,18.016666,18.213333,17.685663,612600
2010-06-15,18.216667,18.639999,18.193333,18.590000,18.051420,390900
2010-06-16,18.626667,18.626667,18.396667,18.430000,17.896057,333000
2010-06-17,18.540001,18.540001,18.186666,18.366667,17.834557,629700
2010-06-18,18.389999,18.700001,18.389999,18.643333,18.103207,1711800
2010-06-21,18.823334,18.883333,18.393333,18.483334,17.947845,350700
2010-06-22,18.596666,18.626667,18.123333,18.143333,17.617687,213300
