Date,Open,High,Low,Close,Adj Close,Volume
2017-10-26,25.040001,25.040001,25.040001,25.040001,25.040001,0
2017-10-27,null,null,null,null,null,null
2017-10-30,null,null,null,null,null,null
2017-10-31,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-11-02,null,null,null,null,null,null
2017-11-03,null,null,null,null,null,null
2017-11-06,null,null,null,null,null,null
2017-11-07,null,null,null,null,null,null
2017-11-08,null,null,null,null,null,null
2017-11-09,null,null,null,null,null,null
2017-11-10,null,null,null,null,null,null
2017-11-13,null,null,null,null,null,null
2017-11-14,null,null,null,null,null,null
2017-11-15,null,null,null,null,null,null
2017-11-16,13.000000,14.600000,12.480000,14.030000,14.030000,690000
2017-11-17,14.290000,14.551000,13.439000,13.930000,13.930000,81700
2017-11-20,13.850000,14.770000,13.510000,14.460000,14.460000,50100
2017-11-21,14.490000,16.500000,14.030000,15.410000,15.410000,41500
2017-11-22,15.490000,16.792000,15.400000,16.160000,16.160000,40700
2017-11-24,16.469999,16.750000,16.400000,16.570000,16.570000,11500
2017-11-27,17.150000,19.726000,16.709999,17.270000,17.270000,29200
2017-11-28,17.990000,19.350000,17.700001,18.480000,18.480000,39700
2017-11-29,18.840000,18.990000,16.209999,16.930000,16.930000,28800
2017-11-30,16.500000,17.670000,16.500000,16.879999,16.879999,26200
2017-12-01,16.700001,17.500000,16.430000,16.639999,16.639999,11100
2017-12-04,16.650000,17.100000,15.360000,16.299999,16.299999,40700
2017-12-05,16.139999,16.139999,14.996000,15.180000,15.180000,33000
2017-12-06,14.850000,15.414000,12.440000,13.150000,13.150000,43800
2017-12-07,13.050000,14.299000,12.330000,13.500000,13.500000,44700
2017-12-08,13.850000,14.240000,13.368000,13.970000,13.970000,23600
2017-12-11,13.520000,13.720000,12.210000,12.220000,12.220000,125300
2017-12-12,12.200000,12.780000,12.000000,12.120000,12.120000,83500
2017-12-13,12.000000,12.440000,10.870000,10.870000,10.870000,32200
2017-12-14,10.900000,12.270000,10.400000,11.630000,11.630000,116800
2017-12-15,11.560000,11.870000,11.000000,11.200000,11.200000,39700
2017-12-18,11.500000,12.600000,11.500000,12.470000,12.470000,47500
2017-12-19,12.410000,12.800000,12.162000,12.520000,12.520000,22600
2017-12-20,12.560000,12.750000,12.030000,12.440000,12.440000,37100
2017-12-21,12.320000,12.960000,12.050000,12.600000,12.600000,38000
2017-12-22,12.690000,12.700000,12.121000,12.700000,12.700000,44500
2017-12-26,12.700000,12.850000,12.290000,12.650000,12.650000,20700
2017-12-27,12.800000,13.480000,12.220000,13.200000,13.200000,70800
2017-12-28,13.480000,13.480000,12.880000,13.190000,13.190000,16700
2017-12-29,13.200000,13.720000,12.760000,12.760000,12.760000,31300
2018-01-02,12.760000,13.010000,11.370000,11.990000,11.990000,27000
2018-01-03,12.040000,12.780000,11.613000,12.730000,12.730000,27200
2018-01-04,12.830000,12.830000,12.470000,12.750000,12.750000,33200
2018-01-05,12.850000,13.650000,12.500000,13.650000,13.650000,16500
2018-01-08,13.730000,14.990000,13.360000,14.980000,14.980000,25800
2018-01-09,15.000000,15.000000,12.781000,14.355000,14.355000,38600
2018-01-10,13.358000,14.700000,13.358000,14.000000,14.000000,15900
2018-01-11,13.670000,15.100000,13.427000,14.460000,14.460000,24400
2018-01-12,14.440000,14.600000,13.780000,14.355000,14.355000,14400
2018-01-16,15.100000,15.100000,13.760000,13.870000,13.870000,25400
2018-01-17,14.000000,14.950000,13.620000,13.710000,13.710000,12300
2018-01-18,13.925000,14.040000,13.740000,13.928000,13.928000,1200
2018-01-19,14.030000,14.200000,13.550000,13.630000,13.630000,26500
2018-01-22,13.550000,14.090000,13.550000,13.980000,13.980000,11800
2018-01-23,13.568000,13.585000,12.730000,13.130000,13.130000,13700
2018-01-24,13.200000,13.376000,12.750000,13.050000,13.050000,5400
2018-01-25,13.310000,13.310000,12.600000,13.000000,13.000000,44800
2018-01-26,13.060000,13.390000,12.536000,13.370000,13.370000,5800
2018-01-29,13.218000,13.470000,13.218000,13.470000,13.470000,900
2018-01-30,13.410000,14.025000,12.855000,13.100000,13.100000,16300
2018-01-31,13.150000,13.480000,12.610000,12.610000,12.610000,12300
2018-02-01,12.600000,13.210000,12.570000,12.700000,12.700000,7200
2018-02-02,13.070000,13.070000,12.330000,12.330000,12.330000,4500
2018-02-05,12.390000,13.200000,12.330000,13.200000,13.200000,7800
2018-02-06,12.540000,12.840000,12.200000,12.830000,12.830000,9700
2018-02-07,12.360000,13.060000,12.360000,12.690000,12.690000,16800
2018-02-08,12.960000,13.280000,12.540000,12.910000,12.910000,8200
2018-02-09,12.650000,12.660000,12.000000,12.020000,12.020000,11400
2018-02-12,12.300000,13.500000,12.300000,13.280000,13.280000,5000
2018-02-13,12.620000,13.060000,12.510000,12.780000,12.780000,5000
2018-02-14,12.610000,13.420000,12.341000,12.341000,12.341000,2600
2018-02-15,12.690000,13.240000,12.690000,13.240000,13.240000,2500
2018-02-16,13.190000,13.770000,13.120000,13.770000,13.770000,4500
2018-02-20,13.500000,14.950000,13.500000,14.500000,14.500000,17800
2018-02-21,13.745000,14.190000,13.745000,14.190000,14.190000,1400
2018-02-22,14.120000,14.500000,13.000000,14.490000,14.490000,5300
