Date,Open,High,Low,Close,Adj Close,Volume
2014-09-12,5.250000,5.500000,5.200000,5.210000,5.210000,1700
2014-09-15,4.650000,4.700000,4.300000,4.350000,4.350000,2500
2014-09-16,5.020000,5.200000,4.080000,4.200000,4.200000,9000
2014-09-17,4.260000,4.800000,4.050000,4.450000,4.450000,16300
2014-09-18,4.850000,4.850000,4.100000,4.190000,4.190000,9500
2014-09-19,4.850000,4.850000,4.210000,4.310000,4.310000,1800
2014-09-22,4.210000,4.415000,4.170000,4.170000,4.170000,8000
2014-09-23,4.170000,4.250000,4.170000,4.180000,4.180000,7100
2014-09-24,4.200000,4.200000,3.700000,4.100000,4.100000,7600
2014-09-25,3.900000,4.000000,3.900000,3.900000,3.900000,3800
2014-09-26,4.000000,4.000000,3.810000,3.990000,3.990000,3700
2014-09-29,3.800000,3.800000,3.300000,3.310000,3.310000,18600
2014-09-30,3.500000,3.860000,3.500000,3.850000,3.850000,10700
2014-10-01,3.640000,3.650000,3.500000,3.500000,3.500000,3400
2014-10-02,3.600000,3.650000,3.310000,3.310000,3.310000,9900
2014-10-03,3.350000,3.470000,3.320000,3.460000,3.460000,1200
2014-10-06,3.590000,3.897000,3.550000,3.850000,3.850000,22700
2014-10-07,3.780000,3.900000,3.760000,3.900000,3.900000,7200
2014-10-08,3.870000,3.870000,3.660000,3.680000,3.680000,2300
2014-10-09,3.740000,3.740000,3.580000,3.580000,3.580000,11300
2014-10-10,3.550000,3.550000,3.400000,3.430000,3.430000,14400
2014-10-13,3.450000,3.460000,3.360000,3.360000,3.360000,10400
2014-10-14,3.366000,3.430000,3.320000,3.320000,3.320000,7200
2014-10-15,3.310000,3.310000,3.000000,3.010000,3.010000,4900
2014-10-16,3.150000,3.200000,3.100000,3.100000,3.100000,2300
2014-10-17,3.060000,3.220000,3.060000,3.170000,3.170000,6700
2014-10-20,3.230000,3.230000,3.100000,3.100000,3.100000,3300
2014-10-21,3.009000,3.120000,3.000000,3.080000,3.080000,5400
2014-10-22,3.060000,3.090000,3.060000,3.090000,3.090000,1300
2014-10-23,3.100000,3.420000,3.050000,3.420000,3.420000,8900
2014-10-24,3.380000,3.400000,3.100000,3.400000,3.400000,7300
2014-10-27,3.400000,3.400000,3.345000,3.400000,3.400000,2000
2014-10-28,3.430000,3.430000,2.910000,2.910000,2.910000,11900
2014-10-29,2.900000,3.080000,2.900000,3.080000,3.080000,700
2014-10-30,3.070000,3.210000,2.951000,3.180000,3.180000,7700
2014-10-31,3.220000,3.260000,3.220000,3.260000,3.260000,1000
2014-11-03,3.363000,3.363000,3.300000,3.300000,3.300000,3000
2014-11-04,3.200000,3.210000,3.190000,3.190000,3.190000,10400
2014-11-05,3.190000,3.530000,3.030000,3.330000,3.330000,56400
2014-11-06,3.330000,3.330000,3.160000,3.180000,3.180000,49300
2014-11-07,3.120000,3.300000,3.030000,3.300000,3.300000,3300
2014-11-10,3.253000,3.280000,3.120000,3.120000,3.120000,3800
2014-11-11,3.060000,3.060000,3.000000,3.000000,3.000000,4500
2014-11-12,3.120000,3.139000,3.080000,3.080000,3.080000,3100
2014-11-13,3.000000,3.050000,2.920000,3.040000,3.040000,6600
2014-11-14,3.020000,3.020000,3.000000,3.000000,3.000000,3900
2014-11-17,3.000000,3.000000,2.960000,2.960000,2.960000,7700
2014-11-18,2.960000,3.084000,2.800000,2.800000,2.800000,23300
2014-11-19,2.972000,2.972000,2.760000,2.760000,2.760000,6300
2014-11-20,2.700000,2.890000,2.620000,2.670000,2.670000,8800
2014-11-21,2.740000,2.880000,2.650000,2.880000,2.880000,7200
2014-11-24,2.720000,2.720000,2.700000,2.700000,2.700000,8100
2014-11-25,2.700000,2.700000,2.700000,2.700000,2.700000,0
2014-11-26,2.650000,2.650000,2.650000,2.650000,2.650000,300
2014-11-28,2.781000,2.781000,2.781000,2.781000,2.781000,100
2014-12-01,2.772000,2.810000,2.660000,2.810000,2.810000,7100
