Date,Open,High,Low,Close,Adj Close,Volume
2011-11-17,8.000000,11.000000,8.000000,11.000000,11.000000,2000
2011-11-18,10.000000,10.000000,10.000000,10.000000,10.000000,300
2011-11-21,10.000000,10.000000,10.000000,10.000000,10.000000,0
2011-11-22,10.000000,10.000000,10.000000,10.000000,10.000000,500
2011-11-23,9.000000,10.000000,8.360000,10.000000,10.000000,2000
2011-11-25,8.010000,8.010000,8.010000,8.010000,8.010000,1300
2011-11-28,10.000000,10.000000,10.000000,10.000000,10.000000,500
2011-11-29,9.000000,9.000000,8.500000,8.500000,8.500000,700
2011-11-30,10.000000,10.000000,9.500000,9.500000,9.500000,200
2011-12-01,9.500000,9.500000,9.500000,9.500000,9.500000,300
2011-12-02,9.500000,9.500000,9.500000,9.500000,9.500000,700
2011-12-05,8.750000,8.750000,8.750000,8.750000,8.750000,1000
2011-12-06,8.500000,8.500000,8.000000,8.000000,8.000000,10000
2011-12-07,8.000000,8.000000,7.250000,7.250000,7.250000,21800
2011-12-08,7.300000,7.300000,7.000000,7.000000,7.000000,10000
2011-12-09,7.100000,7.500000,7.000000,7.200000,7.200000,21000
2011-12-12,7.200000,7.500000,7.200000,7.200000,7.200000,3800
2011-12-13,7.000000,7.200000,7.000000,7.000000,7.000000,27300
2011-12-14,7.000000,7.050000,6.990000,6.990000,6.990000,4900
2011-12-15,6.500000,6.550000,5.000000,6.500000,6.500000,18700
2011-12-16,6.700000,6.700000,6.100000,6.500000,6.500000,68600
2011-12-19,6.500000,6.500000,5.570000,6.000000,6.000000,69800
2011-12-20,5.980000,6.500000,5.980000,6.500000,6.500000,222800
2011-12-21,6.900000,6.950000,6.050000,6.350000,6.350000,29300
2011-12-22,7.000000,7.000000,6.110000,6.110000,6.110000,23100
2011-12-23,6.000000,6.550000,6.000000,6.370000,6.370000,8000
2011-12-27,6.600000,6.600000,6.450000,6.450000,6.450000,3500
2011-12-28,6.310000,6.310000,6.300000,6.300000,6.300000,3600
2011-12-29,6.000000,6.250000,5.990000,6.000000,6.000000,46600
2011-12-30,6.490000,6.500000,6.260000,6.500000,6.500000,10500
2012-01-03,6.250000,6.250000,6.000000,6.100000,6.100000,11900
2012-01-04,6.300000,6.360000,6.220000,6.220000,6.220000,8800
2012-01-05,6.010000,6.270000,5.920000,6.270000,6.270000,8000
2012-01-06,6.000000,6.000000,5.990000,6.000000,6.000000,2400
2012-01-09,5.800000,6.000000,5.750000,5.750000,5.750000,8400
2012-01-10,5.840000,6.000000,5.250000,5.250000,5.250000,14900
2012-01-11,5.480000,5.500000,5.100000,5.210000,5.210000,20600
2012-01-12,5.200000,5.250000,4.950000,5.000000,5.000000,37800
2012-01-13,5.180000,6.000000,5.000000,5.100000,5.100000,43900
2012-01-17,5.070000,5.700000,5.070000,5.400000,5.400000,16700
2012-01-18,5.390000,5.980000,5.390000,5.950000,5.950000,15300
2012-01-19,5.000000,5.730000,5.000000,5.650000,5.650000,77500
2012-01-20,5.700000,7.000000,5.660000,6.690000,6.690000,206300
2012-01-23,6.650000,7.190000,6.350000,6.570000,6.570000,81900
2012-01-24,6.530000,6.540000,5.960000,5.960000,5.960000,103900
2012-01-25,6.500000,6.500000,6.150000,6.490000,6.490000,16200
2012-01-26,6.490000,6.850000,6.300000,6.550000,6.550000,35800
2012-01-27,6.550000,6.620000,6.200000,6.500000,6.500000,19600
2012-01-30,6.370000,6.550000,6.370000,6.370000,6.370000,33400
2012-01-31,6.380000,6.950000,6.330000,6.330000,6.330000,52700
2012-02-01,6.550000,6.990000,6.550000,6.560000,6.560000,31400
2012-02-02,6.600000,6.750000,6.200000,6.320000,6.320000,42000
2012-02-03,6.330000,6.500000,6.270000,6.270000,6.270000,18900
2012-02-06,6.270000,6.380000,6.200000,6.370000,6.370000,28800
2012-02-07,6.260000,6.370000,6.100000,6.100000,6.100000,19800
2012-02-08,6.150000,6.450000,6.000000,6.400000,6.400000,10800
2012-02-09,7.000000,7.000000,6.280000,6.280000,6.280000,12700
2012-02-10,7.000000,7.000000,6.250000,6.250000,6.250000,69800
2012-02-13,6.250000,6.500000,6.250000,6.290000,6.290000,26800
2012-02-14,6.300000,6.800000,6.300000,6.650000,6.650000,69700
2012-02-15,6.750000,6.940000,6.350000,6.600000,6.600000,69600
2012-02-16,6.670000,6.740000,6.500000,6.500000,6.500000,33300
2012-02-17,6.610000,6.700000,6.500000,6.700000,6.700000,30600
2012-02-21,6.670000,6.890000,6.530000,6.780000,6.780000,32800
2012-02-22,6.900000,7.000000,6.640000,6.850000,6.850000,29800
2012-02-23,6.920000,7.000000,6.740000,6.900000,6.900000,44700
2012-02-24,7.000000,7.850000,6.990000,7.500000,7.500000,417300
2012-02-27,7.700000,8.000000,7.500000,7.610000,7.610000,107700
2012-02-28,7.620000,7.680000,7.510000,7.550000,7.550000,51500
2012-02-29,7.600000,7.650000,7.250000,7.620000,7.620000,144900
2012-03-01,7.660000,7.750000,7.590000,7.730000,7.730000,171800
2012-03-02,7.750000,8.000000,7.700000,8.000000,8.000000,73800
2012-03-05,7.900000,7.900000,7.430000,7.600000,7.600000,104800
2012-03-06,7.270000,7.790000,7.200000,7.300000,7.300000,104400
2012-03-07,7.550000,7.550000,7.380000,7.450000,7.450000,60900
2012-03-08,7.280000,7.500000,7.130000,7.400000,7.400000,89400
2012-03-09,7.400000,7.490000,7.280000,7.490000,7.490000,110600
2012-03-12,7.440000,7.470000,7.350000,7.470000,7.470000,87000
2012-03-13,7.450000,7.530000,7.250000,7.500000,7.500000,50700
2012-03-14,7.510000,7.750000,7.380000,7.750000,7.750000,97600
2012-03-15,7.730000,8.470000,7.530000,8.210000,8.210000,128500
2012-03-16,8.310000,9.450000,8.180000,8.960000,8.960000,355100
2012-03-19,9.000000,9.000000,8.580000,9.000000,9.000000,56800
2012-03-20,8.930000,8.990000,8.500000,8.620000,8.620000,122100
2012-03-21,8.700000,9.880000,8.560000,9.520000,9.520000,151500
2012-03-22,9.600000,10.000000,8.910000,9.100000,9.100000,157100
