Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1.680000,1.740000,1.620000,1.740000,1.740000,13500
2010-01-05,1.740000,1.800000,1.620000,1.620000,1.620000,5700
2010-01-06,1.620000,1.800000,1.620000,1.800000,1.800000,1800
2010-01-07,1.740000,1.800000,1.680000,1.740000,1.740000,11000
2010-01-08,1.680000,1.740000,1.560000,1.740000,1.740000,4700
2010-01-11,1.740000,1.740000,1.680000,1.680000,1.680000,9500
2010-01-12,1.560000,1.740000,1.560000,1.740000,1.740000,6900
2010-01-13,1.560000,1.980000,1.560000,1.980000,1.980000,6100
2010-01-14,1.980000,2.100000,1.980000,1.980000,1.980000,5600
2010-01-15,1.860000,1.980000,1.800000,1.800000,1.800000,7800
2010-01-19,1.620000,1.980000,1.620000,1.860000,1.860000,5200
2010-01-20,1.860000,1.860000,1.680000,1.800000,1.800000,3200
2010-01-21,1.680000,1.680000,1.620000,1.680000,1.680000,3700
2010-01-22,1.800000,1.860000,1.680000,1.800000,1.800000,8100
2010-01-25,1.680000,1.860000,1.680000,1.860000,1.860000,4500
2010-01-26,1.860000,1.860000,1.740000,1.740000,1.740000,1700
2010-01-27,1.800000,1.800000,1.800000,1.800000,1.800000,300
2010-01-28,1.680000,1.740000,1.680000,1.740000,1.740000,3600
2010-01-29,1.740000,1.740000,1.680000,1.680000,1.680000,2500
2010-02-01,1.680000,1.800000,1.680000,1.800000,1.800000,2900
2010-02-02,1.800000,2.040000,1.680000,1.680000,1.680000,15100
2010-02-03,1.680000,2.640000,1.680000,2.220000,2.220000,55000
2010-02-04,2.520000,2.640000,2.400000,2.640000,2.640000,35400
2010-02-05,2.640000,2.700000,2.520000,2.640000,2.640000,32100
2010-02-08,2.700000,3.000000,2.640000,2.700000,2.700000,21000
2010-02-09,2.880000,3.000000,2.700000,2.880000,2.880000,9900
2010-02-10,2.880000,2.880000,2.520000,2.700000,2.700000,36300
2010-02-11,2.760000,2.820000,2.700000,2.700000,2.700000,9500
2010-02-12,2.700000,2.700000,2.340000,2.460000,2.460000,21400
2010-02-16,2.400000,2.460000,2.400000,2.460000,2.460000,5800
2010-02-17,2.400000,2.460000,2.400000,2.460000,2.460000,4100
2010-02-18,2.460000,2.640000,2.400000,2.640000,2.640000,7600
2010-02-19,2.700000,2.700000,2.460000,2.700000,2.700000,9600
2010-02-22,2.700000,2.700000,2.400000,2.400000,2.400000,1800
2010-02-23,2.520000,2.520000,2.460000,2.460000,2.460000,700
2010-02-24,2.700000,2.700000,2.640000,2.640000,2.640000,2100
2010-02-25,2.700000,2.700000,2.520000,2.700000,2.700000,6200
2010-02-26,2.700000,2.700000,2.400000,2.520000,2.520000,16400
2010-03-01,2.400000,2.460000,2.400000,2.460000,2.460000,3000
2010-03-02,2.460000,2.640000,2.400000,2.640000,2.640000,3400
2010-03-03,2.400000,2.460000,2.400000,2.460000,2.460000,2100
2010-03-04,2.460000,2.760000,2.460000,2.760000,2.760000,16600
2010-03-05,2.760000,2.760000,2.460000,2.520000,2.520000,6900
2010-03-08,2.760000,2.760000,2.520000,2.520000,2.520000,7400
2010-03-09,2.640000,2.640000,2.520000,2.640000,2.640000,4700
2010-03-10,2.640000,2.700000,2.400000,2.700000,2.700000,12800
2010-03-11,2.700000,2.760000,2.400000,2.760000,2.760000,4100
2010-03-12,2.760000,2.760000,2.400000,2.700000,2.700000,4200
2010-03-15,2.520000,2.700000,2.520000,2.700000,2.700000,2000
2010-03-16,2.520000,2.520000,2.520000,2.520000,2.520000,600
2010-03-17,2.700000,2.700000,2.580000,2.700000,2.700000,2900
2010-03-18,2.700000,2.700000,2.460000,2.640000,2.640000,1400
2010-03-19,2.520000,2.700000,2.400000,2.580000,2.580000,27100
2010-03-22,2.520000,2.580000,2.520000,2.580000,2.580000,5200
2010-03-23,2.640000,2.700000,2.580000,2.700000,2.700000,14500
2010-03-24,2.520000,2.700000,2.460000,2.700000,2.700000,1200
2010-03-25,2.640000,2.700000,2.460000,2.580000,2.580000,22000
2010-03-26,2.400000,2.700000,2.400000,2.520000,2.520000,19600
2010-03-29,2.520000,2.640000,2.460000,2.580000,2.580000,21000
2010-03-30,2.640000,2.640000,2.460000,2.640000,2.640000,2500
2010-03-31,2.640000,2.640000,2.640000,2.640000,2.640000,2300
2010-04-01,2.700000,2.700000,2.520000,2.640000,2.640000,2600
2010-04-05,2.700000,2.700000,2.520000,2.700000,2.700000,4800
2010-04-06,2.700000,2.700000,2.460000,2.700000,2.700000,7600
2010-04-07,2.700000,2.700000,2.520000,2.700000,2.700000,2100
2010-04-08,2.700000,2.700000,2.520000,2.700000,2.700000,1900
2010-04-09,2.700000,2.700000,2.520000,2.700000,2.700000,6600
2010-04-12,2.520000,2.580000,2.460000,2.460000,2.460000,4000
2010-04-13,2.700000,2.700000,2.520000,2.520000,2.520000,1100
2010-04-14,2.520000,2.700000,2.520000,2.700000,2.700000,600
2010-04-15,2.580000,2.580000,2.580000,2.580000,2.580000,2000
2010-04-16,2.580000,2.580000,2.520000,2.520000,2.520000,1600
2010-04-19,2.580000,2.700000,2.520000,2.520000,2.520000,2000
2010-04-20,2.700000,2.760000,2.580000,2.760000,2.760000,11200
2010-04-21,2.760000,2.760000,2.520000,2.520000,2.520000,4300
2010-04-22,2.580000,2.640000,2.520000,2.580000,2.580000,6200
2010-04-23,2.640000,2.640000,2.520000,2.640000,2.640000,10500
2010-04-26,2.580000,2.580000,2.580000,2.580000,2.580000,1600
2010-04-27,2.580000,2.640000,2.580000,2.580000,2.580000,11100
2010-04-28,2.580000,3.960000,2.520000,3.960000,3.960000,229700
2010-04-29,4.200000,4.980000,3.840000,3.960000,3.960000,704400
2010-04-30,4.440000,4.500000,4.080000,4.200000,4.200000,156800
2010-05-03,4.320000,4.380000,4.080000,4.200000,4.200000,61700
2010-05-04,4.320000,4.320000,3.900000,4.080000,4.080000,74100
2010-05-05,4.080000,4.200000,3.900000,3.960000,3.960000,33800
2010-05-06,4.200000,4.200000,3.900000,3.960000,3.960000,38100
2010-05-07,4.020000,4.080000,3.900000,3.960000,3.960000,60800
2010-05-10,3.960000,4.020000,3.600000,3.720000,3.720000,112800
2010-05-11,3.720000,4.200000,3.660000,4.200000,4.200000,100400
2010-05-12,4.800000,5.040000,4.560000,4.980000,4.980000,234700
2010-05-13,4.980000,5.340000,4.500000,4.740000,4.740000,131900
2010-05-14,5.100000,5.100000,4.260000,4.380000,4.380000,127400
2010-05-17,4.380000,4.380000,4.080000,4.380000,4.380000,106500
2010-05-18,4.440000,4.440000,4.200000,4.260000,4.260000,20000
2010-05-19,4.320000,4.440000,4.200000,4.200000,4.200000,40500
2010-05-20,4.320000,4.380000,4.200000,4.380000,4.380000,26000
2010-05-21,4.380000,4.620000,4.320000,4.500000,4.500000,68800
