Date,Open,High,Low,Close,Adj Close,Volume
2017-01-25,6.110000,9.100000,6.110000,7.860000,7.860000,5800
2017-01-26,10.100000,10.100000,8.280000,8.470000,8.470000,32600
2017-01-27,8.470000,8.470000,7.500000,7.770000,7.770000,17800
2017-01-30,7.700000,7.700000,7.190000,7.300000,7.300000,8100
2017-01-31,7.180000,7.230000,6.100000,6.424000,6.424000,25100
2017-02-01,6.100000,6.450000,6.096000,6.350000,6.350000,15000
2017-02-02,6.060000,6.302000,6.010000,6.030000,6.030000,12900
2017-02-03,6.490000,6.940000,6.490000,6.790000,6.790000,15100
2017-02-06,6.800000,6.800000,6.600000,6.605000,6.605000,4200
2017-02-07,6.600000,7.240000,6.500000,7.240000,7.240000,12700
2017-02-08,7.700000,7.700000,7.011000,7.011000,7.011000,7300
2017-02-09,7.348000,7.348000,7.000000,7.200000,7.200000,16700
2017-02-10,7.200000,9.200000,7.041000,8.200000,8.200000,66700
2017-02-13,8.324000,8.900000,8.024000,8.094000,8.094000,39500
2017-02-14,7.920000,8.581000,7.865000,8.112000,8.112000,7200
2017-02-15,8.260000,8.260000,7.620000,7.780000,7.780000,12900
2017-02-16,7.763000,7.763000,7.500000,7.510000,7.510000,3700
2017-02-17,7.500000,7.520000,7.500000,7.520000,7.520000,5400
2017-02-21,7.500000,7.520000,7.070000,7.084000,7.084000,13300
2017-02-22,7.050000,7.300000,7.020000,7.300000,7.300000,11100
2017-02-23,7.350000,7.383000,7.000000,7.000000,7.000000,20800
2017-02-24,6.800000,8.030000,6.750000,7.070000,7.070000,13800
2017-02-27,6.940000,7.070000,6.810000,7.070000,7.070000,9000
2017-02-28,7.010000,7.500000,6.854000,7.140000,7.140000,13900
2017-03-01,7.640000,8.140000,7.200000,8.140000,8.140000,73300
2017-03-02,8.270000,8.700000,7.712000,7.860000,7.860000,89900
2017-03-03,7.670000,8.203000,7.500000,7.788000,7.788000,11600
2017-03-06,7.530000,7.990000,7.530000,7.850000,7.850000,14700
2017-03-07,7.800000,8.950000,7.740000,8.770000,8.770000,259000
2017-03-08,8.940000,9.300000,8.700000,9.300000,9.300000,88400
2017-03-09,9.340000,9.440000,9.000000,9.290000,9.290000,79100
2017-03-10,9.000000,9.300000,8.700000,8.900000,8.900000,37000
2017-03-13,9.000000,9.000000,8.165000,8.660000,8.660000,36000
2017-03-14,8.980000,8.980000,8.412000,8.670000,8.670000,12900
2017-03-15,8.480000,8.670000,8.480000,8.550000,8.550000,27200
