Date,Open,High,Low,Close,Adj Close,Volume
2014-07-01,6.000000,6.380000,6.000000,6.050000,6.050000,2926200
2014-07-02,6.100000,6.150000,6.000000,6.000000,6.000000,349100
2014-07-03,6.030000,6.220000,6.000000,6.130000,6.130000,120000
2014-07-07,6.240000,6.240000,5.750000,5.900000,5.900000,325200
2014-07-08,5.800000,6.080000,5.800000,5.970000,5.970000,195600
2014-07-09,5.930000,6.060000,5.930000,5.930000,5.930000,43100
2014-07-10,5.850000,7.540000,5.800000,6.680000,6.680000,747300
2014-07-11,7.100000,7.130000,6.410000,6.610000,6.610000,276400
2014-07-14,6.610000,7.000000,6.360000,6.800000,6.800000,107400
2014-07-15,6.800000,6.800000,5.750000,5.850000,5.850000,532800
2014-07-16,5.900000,6.090000,5.570000,6.090000,6.090000,199400
2014-07-17,6.000000,6.400000,5.800000,6.350000,6.350000,136100
2014-07-18,6.350000,6.400000,6.111000,6.400000,6.400000,97000
2014-07-21,6.400000,6.400000,6.110000,6.330000,6.330000,56300
2014-07-22,6.320000,6.320000,6.050000,6.150000,6.150000,85300
2014-07-23,6.260000,6.300000,6.050000,6.100000,6.100000,42000
2014-07-24,6.100000,6.700000,6.050000,6.560000,6.560000,197100
2014-07-25,6.280000,6.850000,6.280000,6.780000,6.780000,283400
2014-07-28,6.990000,7.890000,6.820000,7.530000,7.530000,570700
2014-07-29,7.900000,7.900000,7.150000,7.190000,7.190000,101700
2014-07-30,7.030000,7.098000,6.510000,6.530000,6.530000,134200
2014-07-31,6.500000,6.850000,6.100000,6.310000,6.310000,82900
2014-08-01,6.310000,6.310000,6.150000,6.260000,6.260000,78900
2014-08-04,6.740000,6.740000,6.300000,6.630000,6.630000,49300
2014-08-05,6.450000,6.800000,6.220000,6.240000,6.240000,32700
2014-08-06,6.150000,6.830000,6.150000,6.820000,6.820000,88000
2014-08-07,6.850000,7.000000,6.614000,7.000000,7.000000,124600
2014-08-08,6.260000,6.847000,6.260000,6.510000,6.510000,40000
2014-08-11,6.550000,6.910000,6.510000,6.540000,6.540000,36500
2014-08-12,6.770000,7.100000,6.620000,6.975000,6.975000,90000
2014-08-13,7.100000,7.100000,6.816000,6.860000,6.860000,6200
2014-08-14,6.990000,7.420000,6.900000,6.990000,6.990000,93400
2014-08-15,7.330000,7.340000,6.864000,7.290000,7.290000,62600
2014-08-18,7.150000,7.300000,6.960000,6.970000,6.970000,18900
2014-08-19,6.970000,7.150000,6.860000,6.960000,6.960000,25700
2014-08-20,6.830000,6.940000,6.670000,6.670000,6.670000,17100
2014-08-21,6.746000,6.960000,6.663000,6.750000,6.750000,12600
2014-08-22,6.910000,6.920000,6.750000,6.750000,6.750000,12000
2014-08-25,6.790000,6.830000,6.680000,6.760000,6.760000,26700
2014-08-26,6.660000,6.830000,6.660000,6.800000,6.800000,30600
2014-08-27,6.830000,7.200000,6.725000,6.900000,6.900000,36300
2014-08-28,6.990000,7.200000,6.651000,6.940000,6.940000,37000
2014-08-29,7.100000,7.190000,6.870000,7.080000,7.080000,20800
2014-09-02,7.040000,7.140000,6.950000,7.100000,7.100000,44000
2014-09-03,7.034000,7.300000,6.910000,7.060000,7.060000,92300
2014-09-04,7.150000,7.240000,6.910000,7.190000,7.190000,37800
2014-09-05,7.240000,7.240000,6.770000,7.010000,7.010000,28900
2014-09-08,7.210000,7.490000,7.020000,7.480000,7.480000,41000
2014-09-09,7.360000,7.700000,7.293000,7.630000,7.630000,29500
2014-09-10,7.550000,7.840000,7.380000,7.650000,7.650000,46200
2014-09-11,7.680000,7.700000,7.060000,7.500000,7.500000,56200
2014-09-12,7.810000,7.810000,7.152000,7.570000,7.570000,39300
2014-09-15,7.240000,7.720000,7.089000,7.560000,7.560000,52000
2014-09-16,7.420000,7.540000,7.101000,7.290000,7.290000,43400
2014-09-17,7.190000,7.650000,6.955000,7.090000,7.090000,26200
2014-09-18,7.190000,7.190000,6.600000,6.600000,6.600000,63600
2014-09-19,6.600000,6.730000,6.150000,6.210000,6.210000,93900
2014-09-22,6.250000,6.500000,5.780000,5.800000,5.800000,67200
2014-09-23,5.764000,6.140000,5.764000,5.970000,5.970000,33700
2014-09-24,5.950000,6.140000,5.760000,5.800000,5.800000,24400
2014-09-25,5.800000,5.900000,5.800000,5.870000,5.870000,7000
2014-09-26,5.800000,5.930000,5.800000,5.910000,5.910000,8400
2014-09-29,5.870000,6.090000,5.801000,6.010000,6.010000,12000
2014-09-30,6.090000,6.100000,5.980000,6.050000,6.050000,13000
2014-10-01,5.990000,6.250000,5.960000,6.138000,6.138000,25300
2014-10-02,5.990000,6.100000,5.990000,6.060000,6.060000,4600
2014-10-03,6.040000,6.250000,6.040000,6.250000,6.250000,2500
2014-10-06,6.060000,6.216000,6.050000,6.110000,6.110000,8400
2014-10-07,6.030000,6.160000,5.850000,5.950000,5.950000,15800
2014-10-08,5.850000,5.850000,5.260000,5.380000,5.380000,37600
2014-10-09,5.460000,5.760000,4.770000,5.100000,5.100000,12700
2014-10-10,5.200000,5.200000,4.390000,4.560000,4.560000,46400
2014-10-13,4.520000,4.717000,4.330000,4.650000,4.650000,14600
2014-10-14,4.450000,4.600000,4.300000,4.540000,4.540000,16000
2014-10-15,4.450000,5.102000,4.100000,4.320000,4.320000,23800
2014-10-16,4.310000,4.923000,4.236000,4.570000,4.570000,20500
2014-10-17,4.650000,4.860000,4.355000,4.480000,4.480000,12600
2014-10-20,4.420000,4.680000,4.250000,4.250000,4.250000,22300
2014-10-21,4.400000,4.600000,4.256000,4.570000,4.570000,16100
2014-10-22,4.810000,4.840000,4.330000,4.360000,4.360000,12100
2014-10-23,4.588000,4.588000,4.310000,4.390000,4.390000,7700
2014-10-24,4.380000,4.550000,4.380000,4.430000,4.430000,2500
2014-10-27,4.400000,4.610000,4.380000,4.450000,4.450000,2200
2014-10-28,4.480000,4.820000,4.390000,4.510000,4.510000,4800
2014-10-29,4.676000,4.750000,4.360000,4.430000,4.430000,13300
2014-10-30,4.499000,4.710000,4.350000,4.360000,4.360000,7600
2014-10-31,4.380000,4.554000,4.270000,4.380000,4.380000,25800
2014-11-03,4.310000,4.430000,4.250000,4.370000,4.370000,22300
