Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.010000,3.115000,2.975000,3.080000,3.080000,76700
2010-01-05,3.045000,3.185000,3.010000,3.010000,3.010000,92200
2010-01-06,3.220000,3.535000,2.870000,3.535000,3.535000,225200
2010-01-07,3.500000,3.850000,3.465000,3.570000,3.570000,257100
2010-01-08,3.570000,3.570000,3.465000,3.535000,3.535000,74900
2010-01-11,3.570000,3.710000,3.465000,3.605000,3.605000,172000
2010-01-12,3.570000,3.780000,3.535000,3.710000,3.710000,44300
2010-01-13,3.675000,4.305000,3.640000,4.025000,4.025000,294100
2010-01-14,4.165000,4.550000,4.130000,4.445000,4.445000,248600
2010-01-15,4.445000,4.445000,4.060000,4.165000,4.165000,119300
2010-01-19,4.200000,4.200000,3.710000,3.850000,3.850000,122600
2010-01-20,3.850000,3.850000,3.500000,3.710000,3.710000,107200
2010-01-21,3.675000,3.745000,3.535000,3.605000,3.605000,89200
2010-01-22,3.675000,3.675000,3.535000,3.570000,3.570000,100100
2010-01-25,3.640000,3.850000,3.605000,3.675000,3.675000,96300
2010-01-26,3.640000,3.710000,3.605000,3.605000,3.605000,56100
2010-01-27,3.640000,3.640000,3.465000,3.570000,3.570000,117100
2010-01-28,3.570000,3.675000,3.570000,3.640000,3.640000,48200
2010-01-29,3.605000,3.605000,3.465000,3.605000,3.605000,42000
2010-02-01,3.570000,3.605000,3.395000,3.465000,3.465000,112300
2010-02-02,3.430000,3.500000,3.360000,3.465000,3.465000,98600
2010-02-03,3.500000,3.535000,3.430000,3.500000,3.500000,85200
2010-02-04,3.535000,3.710000,3.500000,3.570000,3.570000,91800
2010-02-05,3.640000,3.640000,3.535000,3.605000,3.605000,88000
2010-02-08,3.605000,3.675000,3.465000,3.500000,3.500000,74700
2010-02-09,3.570000,3.570000,3.325000,3.395000,3.395000,60400
2010-02-10,3.360000,3.395000,3.220000,3.290000,3.290000,55300
2010-02-11,3.290000,3.325000,3.185000,3.325000,3.325000,51800
2010-02-12,3.325000,3.430000,3.220000,3.395000,3.395000,52700
2010-02-16,3.430000,4.095000,3.185000,4.025000,4.025000,324900
2010-02-17,4.095000,4.165000,3.885000,3.955000,3.955000,249200
2010-02-18,3.955000,4.165000,3.920000,4.165000,4.165000,80600
2010-02-19,4.165000,4.200000,4.060000,4.200000,4.200000,87200
2010-02-22,4.200000,4.340000,4.095000,4.165000,4.165000,165200
