Date,Open,High,Low,Close,Adj Close,Volume
2016-06-14,3.750000,4.470000,3.740000,4.270000,4.270000,900
2016-06-15,4.197000,4.197000,4.197000,4.197000,4.197000,100
2016-06-16,4.200000,4.480000,3.500000,4.300000,4.300000,66000
2016-06-17,4.300000,4.300000,3.900000,3.950000,3.950000,15200
2016-06-20,3.950000,3.950000,3.560000,3.859000,3.859000,71000
2016-06-21,3.880000,3.900000,3.600000,3.700000,3.700000,1700
2016-06-22,3.789000,3.789000,3.360000,3.650000,3.650000,39500
2016-06-23,3.440000,3.780000,3.420000,3.600000,3.600000,18400
2016-06-24,3.300000,3.650000,3.300000,3.330000,3.330000,28200
2016-06-27,3.730000,3.730000,3.250000,3.350000,3.350000,9100
2016-06-28,3.350000,3.420000,3.300000,3.310000,3.310000,7100
2016-06-29,3.270000,3.696000,3.270000,3.537000,3.537000,2200
2016-06-30,3.450000,3.700000,3.320000,3.400000,3.400000,14800
2016-07-01,3.400000,3.400000,3.400000,3.400000,3.400000,0
2016-07-05,3.300000,3.380000,3.300000,3.350000,3.350000,10000
2016-07-06,3.372000,3.610000,3.251000,3.330000,3.330000,7200
2016-07-07,3.440000,3.595000,3.350000,3.381000,3.381000,10600
2016-07-08,3.390000,3.490000,3.390000,3.490000,3.490000,200
2016-07-11,3.510000,3.660000,3.170000,3.520000,3.520000,23600
2016-07-12,3.490000,3.490000,3.250000,3.250000,3.250000,10700
2016-07-13,3.270000,3.490000,3.230000,3.230000,3.230000,25400
2016-07-14,3.397000,3.397000,3.300000,3.340000,3.340000,14800
2016-07-15,3.350000,3.353000,3.280000,3.280000,3.280000,27200
2016-07-18,3.369000,3.369000,3.119000,3.160000,3.160000,24000
2016-07-19,3.120000,3.370000,3.120000,3.350000,3.350000,13300
2016-07-20,3.250000,3.430000,3.150000,3.290000,3.290000,15000
2016-07-21,3.250000,3.352000,3.250000,3.260000,3.260000,1600
2016-07-22,3.260000,3.260000,3.260000,3.260000,3.260000,0
2016-07-25,3.270000,3.364000,3.270000,3.350000,3.350000,13600
2016-07-26,3.700000,3.700000,3.350000,3.350000,3.350000,1800
2016-07-27,3.350000,3.350000,3.250000,3.310000,3.310000,1900
2016-07-28,3.340000,3.340000,3.340000,3.340000,3.340000,100
2016-07-29,3.250000,3.270000,3.250000,3.250000,3.250000,3300
2016-08-01,3.250000,3.250000,3.250000,3.250000,3.250000,0
2016-08-02,3.250000,3.250000,3.250000,3.250000,3.250000,0
2016-08-03,3.041000,3.041000,3.041000,3.041000,3.041000,100
2016-08-04,3.250000,3.260000,3.250000,3.260000,3.260000,700
2016-08-05,3.260000,3.480000,3.260000,3.480000,3.480000,5000
2016-08-08,3.470000,3.470000,3.470000,3.470000,3.470000,100
2016-08-09,3.413000,3.670000,3.400000,3.500000,3.500000,8300
2016-08-10,3.760000,3.760000,3.410000,3.740000,3.740000,16800
2016-08-11,3.700000,3.720000,3.500000,3.590000,3.590000,64300
2016-08-12,3.500000,3.770000,3.500000,3.640000,3.640000,2800
2016-08-15,3.570000,3.800000,3.570000,3.800000,3.800000,10900
2016-08-16,3.910000,3.910000,3.610000,3.790000,3.790000,8300
2016-08-17,3.630000,3.750000,3.610000,3.730000,3.730000,7100
2016-08-18,3.670000,4.300000,3.630000,3.840000,3.840000,20100
2016-08-19,4.090000,4.090000,3.750000,3.810000,3.810000,9000
2016-08-22,3.950000,3.950000,3.683000,3.870000,3.870000,6100
2016-08-23,3.820000,3.950000,3.800000,3.950000,3.950000,4400
2016-08-24,3.889000,3.890000,3.700000,3.800000,3.800000,9800
2016-08-25,3.800000,3.800000,3.800000,3.800000,3.800000,0
2016-08-26,3.800000,4.060000,3.721000,4.060000,4.060000,1400
2016-08-29,4.060000,4.060000,4.060000,4.060000,4.060000,0
2016-08-30,4.000000,4.090000,3.900000,4.000000,4.000000,10900
2016-08-31,3.990000,4.850000,3.990000,4.740000,4.740000,12400
2016-09-01,4.910000,5.490000,4.525000,4.900000,4.900000,54000
2016-09-02,4.875000,4.875000,4.702000,4.750000,4.750000,6700
2016-09-06,4.860000,5.420000,4.850000,5.420000,5.420000,132100
2016-09-07,5.420000,5.420000,5.280000,5.380000,5.380000,55300
2016-09-08,5.420000,5.420000,5.020000,5.250000,5.250000,28000
2016-09-09,5.250000,5.280000,5.190000,5.250000,5.250000,30100
2016-09-12,5.150000,5.280000,5.010000,5.200000,5.200000,45200
2016-09-13,5.000000,5.100000,4.800000,5.000000,5.000000,40600
2016-09-14,5.000000,5.010000,4.890000,4.970000,4.970000,30700
2016-09-15,5.000000,5.190000,4.890000,4.990000,4.990000,52800
2016-09-16,5.040000,5.040000,4.510000,4.510000,4.510000,180300
2016-09-19,4.740000,4.781000,4.300000,4.400000,4.400000,20300
2016-09-20,4.780000,4.780000,4.350000,4.480000,4.480000,80500
2016-09-21,4.441000,4.610000,4.350000,4.410000,4.410000,20300
2016-09-22,4.370000,4.500000,4.300000,4.480000,4.480000,14200
2016-09-23,4.560000,4.560000,4.430000,4.490000,4.490000,3700
2016-09-26,4.490000,4.490000,4.400000,4.440000,4.440000,8300
2016-09-27,4.450000,4.470000,4.400000,4.400000,4.400000,1500
2016-09-28,4.350000,4.350000,4.130000,4.270000,4.270000,25800
2016-09-29,4.270000,4.280000,4.135000,4.200000,4.200000,15900
2016-09-30,4.270000,4.270000,4.190000,4.250000,4.250000,4100
2016-10-03,4.150000,4.360000,3.770000,4.000000,4.000000,24300
2016-10-04,4.040000,4.230000,3.990000,4.090000,4.090000,16200
2016-10-05,4.100000,4.180000,4.000000,4.110000,4.110000,36000
2016-10-06,4.164000,4.164000,4.080000,4.100000,4.100000,2400
2016-10-07,3.820000,4.100000,3.820000,4.090000,4.090000,45800
2016-10-10,3.900000,3.990000,3.900000,3.950000,3.950000,1200
2016-10-11,4.000000,4.000000,3.840000,3.880000,3.880000,130700
2016-10-12,3.790000,4.000000,3.790000,4.000000,4.000000,600
2016-10-13,3.890000,4.044000,3.890000,4.044000,4.044000,200
2016-10-14,3.900000,3.970000,3.850000,3.920000,3.920000,3700
2016-10-17,3.850000,3.900000,3.850000,3.900000,3.900000,600
2016-10-18,3.870000,3.970000,3.840000,3.970000,3.970000,2300
2016-10-19,4.000000,4.000000,4.000000,4.000000,4.000000,100
2016-10-20,3.950000,3.964000,3.950000,3.964000,3.964000,300
