Date,Open,High,Low,Close,Adj Close,Volume
2016-08-11,12.000000,12.000000,11.200000,11.700000,11.700000,1631952
2016-08-12,11.750000,12.000000,11.280000,11.570000,11.570000,120000
2016-08-15,11.600000,11.700000,11.400000,11.500000,11.500000,90900
2016-08-16,11.500000,11.690000,11.460000,11.460000,11.460000,52100
2016-08-17,11.580000,11.800000,11.540000,11.740000,11.740000,141500
2016-08-18,11.835000,11.890000,11.500000,11.650000,11.650000,63300
2016-08-19,11.710000,12.890000,11.510000,11.800000,11.800000,187300
2016-08-22,11.450000,11.750000,11.100000,11.600000,11.600000,35900
2016-08-23,11.654000,11.680000,10.640000,11.480000,11.480000,85500
2016-08-24,11.332000,11.500000,10.740000,10.940000,10.940000,66600
2016-08-25,11.000000,11.200000,10.020000,10.710000,10.710000,57900
2016-08-26,10.800000,11.400000,10.080000,10.440000,10.440000,115200
2016-08-29,10.830000,11.070000,10.110000,10.620000,10.620000,179700
2016-08-30,10.300000,11.418000,10.300000,10.940000,10.940000,117800
2016-08-31,10.650000,12.350000,10.650000,12.010000,12.010000,225000
2016-09-01,12.010000,12.410000,11.740000,12.090000,12.090000,41700
2016-09-02,11.882000,12.150000,11.608000,12.080000,12.080000,22800
2016-09-06,12.010000,13.000000,11.720000,12.540000,12.540000,116200
2016-09-07,12.600000,12.680000,12.200000,12.630000,12.630000,122000
2016-09-08,12.790000,12.790000,12.430000,12.570000,12.570000,72500
2016-09-09,12.700000,12.949000,11.691000,12.400000,12.400000,68600
2016-09-12,12.400000,12.400000,12.050000,12.400000,12.400000,49300
2016-09-13,12.390000,13.680000,12.040000,12.880000,12.880000,211700
2016-09-14,13.180000,13.420000,12.450000,13.100000,13.100000,100800
2016-09-15,12.800000,13.890000,12.210000,13.320000,13.320000,63700
2016-09-16,13.620000,15.150000,13.270000,14.330000,14.330000,395100
2016-09-19,14.730000,16.540001,14.475000,15.100000,15.100000,161500
2016-09-20,14.980000,16.500000,14.980000,15.600000,15.600000,79700
2016-09-21,15.650000,16.000000,15.300000,15.820000,15.820000,69400
2016-09-22,15.920000,16.780001,15.800000,16.049999,16.049999,35100
2016-09-23,16.690001,17.525000,16.350000,17.000000,17.000000,59400
2016-09-26,17.299999,19.559999,15.510000,18.150000,18.150000,144900
2016-09-27,18.590000,22.559999,18.430000,20.990000,20.990000,538600
2016-09-28,21.000000,21.677000,20.160000,20.940001,20.940001,219400
2016-09-29,21.190001,22.250000,20.110001,20.760000,20.760000,270000
2016-09-30,20.490000,21.799999,20.000000,21.129999,21.129999,805700
2016-10-03,21.350000,21.900000,20.860001,21.209999,21.209999,165100
2016-10-04,21.389999,22.100000,21.165001,21.830000,21.830000,93600
2016-10-05,21.680000,22.860001,21.490000,21.719999,21.719999,142700
2016-10-06,21.629999,21.940001,20.010000,20.860001,20.860001,231600
2016-10-07,20.350000,21.770000,20.173000,21.190001,21.190001,62600
2016-10-10,20.959999,21.969999,20.850000,21.330000,21.330000,91600
2016-10-11,21.170000,21.870001,21.070000,21.580000,21.580000,52000
2016-10-12,21.500000,21.520000,21.150000,21.420000,21.420000,26600
2016-10-13,21.219999,21.900000,21.139999,21.400000,21.400000,25500
2016-10-14,21.400000,21.760000,21.200001,21.459999,21.459999,33800
2016-10-17,21.400000,22.750000,21.400000,22.430000,22.430000,49900
2016-10-18,22.620001,22.620001,22.020000,22.410000,22.410000,28600
2016-10-19,21.920000,22.620001,21.920000,22.410000,22.410000,21900
2016-10-20,22.530001,22.530001,21.490000,21.990000,21.990000,24600
2016-10-21,21.790001,22.466000,21.589001,22.100000,22.100000,19200
2016-10-24,22.469999,22.469999,21.980000,22.160000,22.160000,25200
2016-10-25,22.370001,22.500000,22.170000,22.280001,22.280001,25300
2016-10-26,21.160000,22.430000,21.070000,22.059999,22.059999,39200
2016-10-27,21.794001,22.334000,20.150000,20.320000,20.320000,62800
2016-10-28,20.299999,20.660000,19.480000,19.670000,19.670000,29600
2016-10-31,19.400000,19.400000,17.798000,18.799999,18.799999,109800
2016-11-01,19.000999,19.000999,17.610001,17.870001,17.870001,25900
2016-11-02,17.840000,18.016001,17.662001,18.000000,18.000000,10900
2016-11-03,18.059999,18.420000,17.450001,17.930000,17.930000,33700
2016-11-04,18.110001,18.559999,17.809999,18.270000,18.270000,30400
2016-11-07,18.500000,18.750000,18.340000,18.719999,18.719999,20100
2016-11-08,18.799999,20.510000,18.600000,19.900000,19.900000,36300
2016-11-09,20.000000,21.865000,20.000000,21.799999,21.799999,48300
2016-11-10,21.900000,23.660000,21.709999,23.360001,23.360001,82500
2016-11-11,23.379999,24.520000,23.379999,24.299999,24.299999,78400
2016-11-14,24.510000,24.510000,23.840000,24.160000,24.160000,31800
2016-11-15,23.540001,24.020000,21.465000,23.900000,23.900000,30100
2016-11-16,23.500000,23.959999,23.400000,23.910000,23.910000,37500
2016-11-17,23.950001,25.000000,23.950001,24.990000,24.990000,56000
2016-11-18,25.000000,25.200001,23.910000,25.129999,25.129999,47600
2016-11-21,25.110001,25.500000,24.125000,25.200001,25.200001,41700
2016-11-22,25.200001,25.250000,24.650000,25.219999,25.219999,33400
2016-11-23,24.820000,25.200001,24.575001,25.120001,25.120001,19200
2016-11-25,24.260000,25.500000,24.260000,25.490000,25.490000,2700
2016-11-28,25.410000,25.600000,24.379999,25.010000,25.010000,25600
2016-11-29,25.000000,25.250000,24.559999,24.990000,24.990000,17200
2016-11-30,24.940001,25.100000,24.584999,24.950001,24.950001,20700
2016-12-01,25.065001,25.070000,23.101999,24.260000,24.260000,35800
2016-12-02,22.791000,25.049999,22.791000,24.870001,24.870001,42300
2016-12-05,25.120001,26.250000,25.120001,26.240000,26.240000,54800
2016-12-06,26.320000,26.360001,25.100000,25.879999,25.879999,28300
2016-12-07,25.760000,26.000000,24.856001,25.580000,25.580000,35000
2016-12-08,25.580000,25.775000,21.620001,22.910000,22.910000,57400
2016-12-09,22.860001,22.969999,21.750000,22.000000,22.000000,32300
2016-12-12,21.809999,21.809999,19.260000,20.200001,20.200001,48500
2016-12-13,20.230000,20.566000,20.030001,20.090000,20.090000,39700
2016-12-14,20.049999,20.850000,19.670000,20.290001,20.290001,34500
2016-12-15,20.490000,22.070000,19.700001,21.309999,21.309999,52200
2016-12-16,21.590000,23.650000,21.360001,22.889999,22.889999,203300
2016-12-19,23.290001,23.350000,21.910000,22.719999,22.719999,47300
2016-12-20,22.600000,23.200001,22.230000,22.840000,22.840000,135400
2016-12-21,22.950001,23.010000,21.389999,21.879999,21.879999,61200
2016-12-22,22.020000,22.299999,21.299999,21.799999,21.799999,46700
2016-12-23,21.750000,22.025000,21.740000,21.940001,21.940001,34100
2016-12-27,22.139999,22.400000,21.677000,21.969999,21.969999,31300
2016-12-28,22.520000,22.540001,21.500000,21.900000,21.900000,53600
2016-12-29,22.080000,22.290001,21.746000,22.190001,22.190001,19900
2016-12-30,22.209999,22.389999,21.570000,21.990000,21.990000,38300
2017-01-03,22.260000,22.500000,20.889999,21.180000,21.180000,67400
2017-01-04,21.400000,21.600000,21.000000,21.080000,21.080000,42900
2017-01-05,20.700001,21.610001,20.400000,21.049999,21.049999,54600
2017-01-06,21.230000,21.580000,20.590000,20.750000,20.750000,13500
2017-01-09,20.520000,21.799999,20.090000,20.400000,20.400000,73200
2017-01-10,20.320000,20.320000,19.430000,19.590000,19.590000,27400
2017-01-11,20.090000,20.090000,19.270000,19.540001,19.540001,10000
2017-01-12,19.400000,19.715000,18.032000,18.930000,18.930000,43600
2017-01-13,18.910000,19.809999,18.309999,19.540001,19.540001,19500
2017-01-17,19.410000,19.750000,18.010000,18.969999,18.969999,39500
2017-01-18,19.820000,19.820000,18.660000,18.920000,18.920000,11000
2017-01-19,19.040001,19.790001,18.090000,18.330000,18.330000,18800
2017-01-20,18.309999,19.670000,16.590000,17.730000,17.730000,60500
2017-01-23,17.730000,18.135000,17.190001,17.770000,17.770000,32900
2017-01-24,17.770000,18.780001,17.420000,18.459999,18.459999,21600
2017-01-25,18.469999,19.600000,17.757999,19.520000,19.520000,23700
2017-01-26,19.450001,20.139999,18.705000,19.969999,19.969999,21100
2017-01-27,19.950001,19.959999,19.250000,19.280001,19.280001,16100
2017-01-30,19.290001,19.889999,18.400000,18.799999,18.799999,16200
2017-01-31,18.730000,18.750000,17.639999,18.040001,18.040001,14500
2017-02-01,18.629999,19.150000,18.040001,18.209999,18.209999,4600
2017-02-02,18.500000,19.840000,18.440001,18.639999,18.639999,15500
2017-02-03,18.889999,19.254999,17.700001,19.139999,19.139999,18300
