Date,Open,High,Low,Close,Adj Close,Volume
2015-08-05,18.000000,22.250000,15.500000,16.250000,16.250000,1535200
2015-08-06,16.480000,19.500000,16.459999,19.320000,19.320000,331600
2015-08-07,19.309999,24.900000,19.309999,24.540001,24.540001,269200
2015-08-10,29.700001,42.849998,27.500000,35.139999,35.139999,539300
2015-08-11,35.980000,37.688000,28.160000,29.730000,29.730000,243600
2015-08-12,28.910000,36.000000,28.000000,32.049999,32.049999,236000
2015-08-13,35.000000,43.000000,32.520000,36.490002,36.490002,406800
2015-08-14,37.980000,39.500000,33.680000,34.840000,34.840000,233100
2015-08-17,35.419998,36.299999,32.040001,34.110001,34.110001,124100
2015-08-18,34.720001,34.720001,31.450001,32.220001,32.220001,141000
2015-08-19,31.600000,31.690001,29.379999,31.280001,31.280001,119800
2015-08-20,30.430000,31.000000,28.004999,28.180000,28.180000,156500
2015-08-21,27.230000,27.940001,25.270000,27.389999,27.389999,140700
2015-08-24,25.719999,26.799999,23.000000,26.799999,26.799999,52600
2015-08-25,27.000000,27.000000,23.031000,23.070000,23.070000,64300
2015-08-26,24.000000,26.141001,22.049999,22.750000,22.750000,113300
2015-08-27,22.750000,28.000000,22.500000,25.670000,25.670000,145600
2015-08-28,25.110001,29.100000,24.530001,27.400000,27.400000,61800
2015-08-31,27.610001,30.080000,27.389999,28.110001,28.110001,175400
2015-09-01,27.120001,28.940001,26.624001,28.750000,28.750000,19600
2015-09-02,29.000000,32.000000,27.000000,30.040001,30.040001,80200
2015-09-03,30.000000,33.060001,28.250000,28.780001,28.780001,87100
2015-09-04,27.930000,29.500000,27.129999,28.799999,28.799999,81100
2015-09-08,29.760000,30.209999,27.309999,27.889999,27.889999,64500
2015-09-09,28.299999,29.030001,25.000000,26.110001,26.110001,64800
2015-09-10,25.549999,25.969999,23.209999,23.990000,23.990000,81200
2015-09-11,23.900000,23.900000,19.200001,20.799999,20.799999,311300
2015-09-14,21.219999,21.219999,20.010000,20.730000,20.730000,84900
2015-09-15,21.650000,23.629999,20.799999,21.020000,21.020000,169400
2015-09-16,20.610001,21.459999,20.250000,20.590000,20.590000,115800
2015-09-17,20.480000,20.584000,18.209999,20.000000,20.000000,143800
2015-09-18,19.730000,20.860001,19.010000,19.510000,19.510000,119900
2015-09-21,19.309999,20.250000,18.430000,18.580000,18.580000,110600
2015-09-22,18.120001,18.910000,17.670000,17.990000,17.990000,61900
2015-09-23,18.030001,18.620001,17.700001,18.580000,18.580000,36700
2015-09-24,18.219999,19.000000,16.499001,17.250000,17.250000,141900
2015-09-25,17.600000,18.150000,15.540000,16.080000,16.080000,132400
2015-09-28,15.920000,15.920000,12.160000,14.030000,14.030000,217100
2015-09-29,14.520000,14.720000,12.000000,12.660000,12.660000,143400
2015-09-30,12.800000,14.714000,12.800000,14.310000,14.310000,422100
2015-10-01,14.800000,14.800000,12.235000,13.260000,13.260000,148200
2015-10-02,12.930000,13.380000,12.200000,13.030000,13.030000,115500
2015-10-05,13.130000,14.580000,12.570000,14.460000,14.460000,87600
2015-10-06,14.610000,14.750000,13.390000,14.090000,14.090000,58100
2015-10-07,14.360000,14.360000,13.230000,13.520000,13.520000,141000
2015-10-08,13.330000,14.690000,13.050000,14.520000,14.520000,70200
2015-10-09,14.500000,14.711000,13.780000,14.380000,14.380000,89700
2015-10-12,14.190000,14.840000,13.660000,14.680000,14.680000,51400
2015-10-13,14.470000,14.550000,14.160000,14.360000,14.360000,52000
2015-10-14,14.230000,15.700000,14.200000,15.230000,15.230000,93400
2015-10-15,15.250000,17.819000,15.250000,17.320000,17.320000,135600
2015-10-16,17.400000,18.250000,15.824000,16.020000,16.020000,98600
2015-10-19,16.139999,16.950001,15.550000,16.040001,16.040001,140600
2015-10-20,15.850000,16.170000,14.600000,15.120000,15.120000,121700
2015-10-21,15.050000,15.990000,13.867000,14.100000,14.100000,199500
2015-10-22,14.340000,15.250000,12.750000,12.840000,12.840000,185600
2015-10-23,13.120000,13.720000,12.347000,12.780000,12.780000,141900
2015-10-26,12.620000,13.070000,12.160000,12.840000,12.840000,47900
2015-10-27,12.840000,12.840000,12.410000,12.510000,12.510000,84900
2015-10-28,12.590000,13.760000,12.510000,12.770000,12.770000,100200
2015-10-29,12.810000,13.500000,12.470000,12.590000,12.590000,87400
2015-10-30,12.600000,13.136000,12.360000,12.590000,12.590000,55000
2015-11-02,12.670000,13.300000,12.670000,13.120000,13.120000,60100
2015-11-03,13.040000,14.310000,12.940000,13.960000,13.960000,33800
2015-11-04,14.080000,14.410000,13.490000,13.660000,13.660000,77900
2015-11-05,13.500000,14.770000,13.500000,14.290000,14.290000,96400
2015-11-06,14.120000,14.450000,13.340000,14.110000,14.110000,106800
2015-11-09,14.090000,14.270000,13.140000,13.370000,13.370000,110900
2015-11-10,13.280000,13.550000,12.800000,12.800000,12.800000,66300
2015-11-11,12.910000,13.220000,12.760000,13.050000,13.050000,72600
2015-11-12,12.600000,13.470000,12.330000,12.710000,12.710000,103300
2015-11-13,12.710000,13.560000,12.670000,12.960000,12.960000,64100
2015-11-16,12.870000,14.050000,12.660000,13.250000,13.250000,123700
2015-11-17,13.260000,13.840000,13.100000,13.590000,13.590000,65300
2015-11-18,13.590000,13.930000,13.120000,13.300000,13.300000,79800
2015-11-19,13.250000,13.700000,12.800000,13.260000,13.260000,44500
2015-11-20,13.320000,13.620000,12.920000,13.000000,13.000000,34700
2015-11-23,12.860000,13.700000,12.800000,13.400000,13.400000,98200
2015-11-24,13.470000,14.270000,13.310000,13.480000,13.480000,41300
2015-11-25,13.360000,14.230000,13.040000,13.640000,13.640000,140100
2015-11-27,13.640000,14.040000,13.310000,13.400000,13.400000,46300
2015-11-30,13.560000,13.800000,12.600000,13.570000,13.570000,54600
2015-12-01,13.570000,13.580000,13.030000,13.530000,13.530000,36300
2015-12-02,13.390000,13.880000,13.020000,13.030000,13.030000,46700
2015-12-03,13.080000,13.950000,12.750000,13.140000,13.140000,58100
2015-12-04,13.040000,13.360000,12.850000,12.960000,12.960000,48500
2015-12-07,12.820000,13.200000,12.620000,13.100000,13.100000,73300
2015-12-08,12.840000,13.500000,12.840000,13.370000,13.370000,31000
2015-12-09,13.830000,13.830000,12.800000,13.170000,13.170000,90300
2015-12-10,13.110000,13.270000,12.760000,13.220000,13.220000,73800
2015-12-11,12.990000,13.430000,12.760000,13.190000,13.190000,72600
2015-12-14,13.260000,13.650000,12.930000,13.370000,13.370000,76700
2015-12-15,13.420000,13.470000,13.020000,13.070000,13.070000,46100
2015-12-16,13.300000,14.500000,13.180000,13.350000,13.350000,120200
2015-12-17,13.550000,14.220000,12.550000,13.030000,13.030000,82600
2015-12-18,13.070000,13.160000,12.120000,12.220000,12.220000,124500
2015-12-21,12.240000,12.490000,10.890000,11.670000,11.670000,47500
2015-12-22,11.660000,11.879000,11.101000,11.460000,11.460000,12700
2015-12-23,11.560000,11.750000,11.060000,11.450000,11.450000,154800
2015-12-24,11.490000,12.770000,10.990000,11.210000,11.210000,62800
2015-12-28,11.090000,11.400000,10.600000,10.610000,10.610000,42700
2015-12-29,10.630000,10.800000,9.780000,10.190000,10.190000,82000
2015-12-30,10.070000,10.070000,9.397000,9.610000,9.610000,88700
2015-12-31,9.610000,10.200000,9.330000,10.070000,10.070000,105300
2016-01-04,9.810000,9.840000,9.000000,9.670000,9.670000,119600
2016-01-05,9.600000,9.780000,9.250000,9.250000,9.250000,40900
2016-01-06,9.010000,9.380000,8.920000,9.100000,9.100000,55900
2016-01-07,8.990000,8.990000,8.541000,8.750000,8.750000,38700
2016-01-08,8.780000,9.350000,8.720000,8.770000,8.770000,45700
2016-01-11,8.800000,8.800000,8.080000,8.540000,8.540000,59800
