,date,open,high,low,close,adj close,volume,close_delta,rolling_std,daily_k_stds,event_flag,return,net_return
0,2014-03-20,16.0,17.6,16.0,17.27,17.27,5402600,,,,0,0.0,-0.0
1,2014-03-21,17.610001,19.309998999999998,17.0,18.16,18.16,1060100,0.05153445280833813,,,0,0.0,-0.0
2,2014-03-24,19.290001,19.290001,16.9,17.139999,17.139999,574500,-0.05616745594713657,,,0,0.0,-0.0
3,2014-03-25,17.209999,18.139999,17.209999,17.299999,17.299999,332500,0.009334889692817372,,,0,0.0,-0.0
4,2014-03-26,17.5,17.5,15.52,15.55,15.55,525100,-0.10115601740786218,,,0,0.0,-0.0
5,2014-03-27,15.5,15.5,14.138,14.48,14.48,485200,-0.06881028938906752,,,0,0.0,-0.0
6,2014-03-28,14.44,15.28,14.25,15.1,15.1,149300,0.04281767955801108,,,0,0.0,-0.0
7,2014-03-31,15.5,15.5,14.0,14.41,14.41,280200,-0.045695364238410585,,,0,0.0,-0.0
8,2014-04-01,14.35,14.7,13.75,14.13,14.13,265600,-0.019430950728660634,,,0,0.0,-0.0
9,2014-04-02,14.07,14.43,14.0,14.08,14.08,114800,-0.0035385704175513455,,,0,0.0,-0.0
10,2014-04-03,13.89,14.35,13.77,14.09,14.09,130300,0.0007102272727272929,0.04893516954078325,0.014513636703258576,0,0.0,-0.0
11,2014-04-04,13.78,14.0,12.73,12.8,12.8,294400,-0.09155429382540803,0.046882770834320124,-1.952834531665234,0,0.0,-0.0
12,2014-04-07,12.52,12.69,11.101,11.52,11.52,291300,-0.10000000000000009,0.051111524263001216,-1.956505923897645,0,0.0,-0.0
13,2014-04-08,11.71,12.3,10.82,11.3,11.3,202100,-0.0190972222222221,0.04894736431165854,-0.3901583362206374,0,0.0,-0.0
14,2014-04-09,11.55,12.49,11.47,12.16,12.16,194000,0.07610619469026547,0.05613972926666469,1.3556566033434134,0,0.0,-0.0
15,2014-04-10,12.3,12.63,11.58,11.92,11.92,68500,-0.019736842105263164,0.053770575714493514,-0.3670565517107384,0,0.0,-0.0
16,2014-04-11,12.0,12.38,11.51,11.71,11.71,80500,-0.017617449664429463,0.04940154054390087,-0.35661741456774304,0,0.0,-0.0
17,2014-04-14,12.05,12.5,10.08,12.19,12.19,296600,0.040990606319385,0.052666379404646434,0.7783068967860102,0,0.0,-0.0
18,2014-04-15,12.62,12.62,11.35,11.76,11.76,101800,-0.03527481542247746,0.05304088576235767,-0.6650495163395531,0,0.0,-0.0
19,2014-04-16,12.2,12.7,12.13,12.59,12.59,232600,0.07057823129251695,0.05985610849161849,1.1791316387098545,0,0.0,-0.0
20,2014-04-17,12.54,13.19,12.0,12.84,12.84,157800,0.019857029388403502,0.0605211710010347,0.3281005482868799,0,0.0,-0.0
21,2014-04-21,12.85,12.949,12.5,12.73,12.73,85000,-0.008566978193146335,0.052941328272313064,-0.16182023520604868,0,0.0,-0.0
22,2014-04-22,13.05,13.14,12.1,12.24,12.24,221600,-0.03849175176747843,0.04247783478290044,-0.9061608710567655,0,0.0,-0.0
23,2014-04-23,12.08,12.32,11.05,11.52,11.52,225300,-0.05882352941176472,0.04681309966786371,-1.2565613007708167,0,0.0,-0.0
